success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_any,inside_final,gmax_success,radius_success,sigma_success,no_collision,obs_collision,agent_collision,dwell_success,dwell_geom_success,dwell_success_no_collision,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,time_to_inside,time_to_gmax,time_to_radius,time_to_full_geom,success_hold_time,post_success_violation_count,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate,scene,method,seed
True,11.450000000000001,inf,inf,False,11.309352019088864,0.01271141531870564,0.5087281795511222,0.0,0.0,0.0001326257711361009,0.0001326257711361009,0.0001326257711361009,11.98981361422988,116,1.0,False,False,True,True,True,True,False,False,True,True,True,0.0001326257711361009,False,True,0.0,20.0,0.0,11.75,20.0,8.6,0,0.0,0.2712744230974352,0.0,a1_single_goal_reach,M1,0
True,11.4,inf,inf,False,11.291939473377903,0.012711415334533908,0.5087281795511222,0.0,0.0,0.00013027773705171373,0.00013027773705171373,0.00013027773705171373,11.972403416264559,117,1.0,False,False,True,True,True,True,False,False,True,True,True,0.00013027773705171373,False,True,0.0,20.0,0.0,11.75,20.0,8.65,0,0.0,0.2678361244073388,0.0,a1_single_goal_reach,M1,1
True,11.450000000000001,inf,inf,False,11.304354471280774,0.012711415323306512,0.5087281795511222,0.0,0.0,0.0001319475686165911,0.0001319475686165911,0.0001319475686165911,11.98481674454048,116,1.0,False,False,True,True,True,True,False,False,True,True,True,0.0001319475686165911,False,True,0.0,20.0,0.0,11.75,20.0,8.6,0,0.0,0.27028461199522036,0.0,a1_single_goal_reach,M1,2
True,14.700000000000001,inf,inf,False,11.62951442737975,199.52882608571736,0.0,0.0,0.0,0.03291800345256368,0.03291800345256368,0.03291800345256368,15.231883103883371,0,1.0,False,False,True,True,True,True,False,False,True,True,True,0.03291800345256368,False,True,0.0,20.0,0.0,15.0,20.0,5.3500000000000005,0,0.0,1.2533073875377068,0.0,a1_single_goal_reach,M2,0
True,14.700000000000001,inf,inf,False,11.62951442737975,199.5288260857174,0.0,0.0,0.0,0.015505457453121357,0.015505457453121357,0.015505457453121357,15.23188310388343,0,1.0,False,False,True,True,True,True,False,False,True,True,True,0.015505457453121357,False,True,0.0,20.0,0.0,14.950000000000001,20.0,5.3500000000000005,0,0.0,1.2433822363180307,0.0,a1_single_goal_reach,M2,1
True,14.700000000000001,inf,inf,False,11.62951442737975,199.52882608571736,0.0,0.0,0.0,0.027920455560629685,0.027920455560629685,0.027920455560629685,15.231883103883376,0,1.0,False,False,True,True,True,True,False,False,True,True,True,0.027920455560629685,False,True,0.0,20.0,0.0,14.950000000000001,20.0,5.3500000000000005,0,0.0,1.2504587852393052,0.0,a1_single_goal_reach,M2,2
True,12.9,0.6367026504269993,inf,False,12.55325778699309,1.8157947088508977,0.3166904422253923,0.0,0.0,9.889159887486776e-10,9.889159887486778e-10,9.889159887486778e-10,13.322412854105245,387,1.0,False,False,True,True,True,True,False,False,True,True,True,9.889159887486776e-10,False,True,0.0,35.0,0.0,13.200000000000001,35.0,22.150000000000002,0,0.0,3.30271469776273e-07,0.0,s1_single_obstacle,M1,0
True,12.65,0.6423237588459134,inf,False,12.460310294061395,0.7625129928596681,0.3181169757489301,0.0,0.0,9.87233360132676e-10,9.87233360132676e-10,9.87233360132676e-10,13.18454692542967,391,1.0,False,False,True,True,True,True,False,False,True,True,True,9.87233360132676e-10,False,True,0.0,35.0,0.0,13.0,35.0,22.400000000000002,0,0.0,2.682524552094827e-07,0.0,s1_single_obstacle,M1,1
True,12.700000000000001,0.6456547140958209,inf,False,12.486209192558006,0.7694908614962053,0.3166904422253923,0.0,0.0,9.845832557273385e-10,9.845832557273385e-10,9.845832557273385e-10,13.218262407421765,390,1.0,False,False,True,True,True,True,False,False,True,True,True,9.845832557273385e-10,False,True,0.0,35.0,0.0,13.05,35.0,22.35,0,0.0,2.80792666818698e-07,0.0,s1_single_obstacle,M1,2
True,23.75,1.1920672380724624,inf,False,15.333830679189715,475.6415972672548,0.0,0.0,0.0,0.001404875098738687,0.0014048750987386872,0.0014048750987386872,21.708292651706177,0,1.0,False,False,True,True,True,True,False,False,True,True,True,0.001404875098738687,False,True,0.0,35.0,0.0,24.05,35.0,11.3,0,0.0,0.019039853879854275,0.0,s1_single_obstacle,M2,0
