scene,method,success_rate,completion_time_mean,completion_time_std,collision_rate,obs_collision_rate,agent_collision_rate,min_obs_distance_mean,min_agent_distance_mean,gmax_mean,radius_var_mean,control_cost_mean,control_smoothness_mean,input_sat_mean,stall_steps_mean,inside_any_rate,inside_final_rate,gmax_success_rate,radius_success_rate,sigma_success_rate,no_collision_rate,dwell_success_rate,dwell_geom_success_rate,dwell_success_no_collision_rate,radius_error_final_mean,success_geom_final_rate,success_no_collision_rate,gmax_reach_time_mean,time_to_inside_mean,time_to_gmax_mean,time_to_radius_mean,time_to_full_geom_mean,success_hold_time_mean,post_success_violation_count_mean,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate_mean
a1_single_goal_reach,M1,1.0,11.433333333333335,0.02886751345948183,0.0,0.0,0.0,inf,inf,0.0,0.0,11.301881987915849,0.012711415325515354,0.5087281795511222,116.33333333333333,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00013161702560146856,0.0,1.0,0.0,20.0,0.0,11.75,20.0,8.616666666666667,0.0,0.0,0.26979838649999816,0.0
a1_single_goal_reach,M2,1.0,14.700000000000001,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,11.629514427379751,199.52882608571736,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02544797215543824,0.0,1.0,0.0,20.0,0.0,14.966666666666669,20.0,5.3500000000000005,0.0,0.0,1.2490494696983474,0.0
a3_multi_agent_safety_crossing,M10,0.0,28.0,0.0,1.0,0.0,1.0,inf,0.0007846280587296902,119.98049575074174,0.059068590238410164,49.96598212615813,1707.2799216899905,0.022974846504258267,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2680594669286137,1.0,0.0,0.0,0.0,0.0,4.65,4.65,0.0,0.0,117.5572653664898,0.254763058337721,1.0
a3_multi_agent_safety_crossing,M7,0.0,28.0,0.0,1.0,0.0,1.0,inf,0.4736604755755202,64.39665558701641,0.027345659870349443,28.502993877740952,529.1067789903274,0.022479698950287185,298.3333333333333,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4373069087619845,1.0,0.0,0.0,0.0,0.0,4.65,4.65,0.0,0.0,64.39783544231985,0.43803514762717394,1.0
s1_single_obstacle,M1,1.0,12.75,0.13228756555322932,0.0,0.0,0.0,0.6415603744562445,inf,0.0,0.0,12.499925757870832,1.115932854402257,0.3171659533999049,389.3333333333333,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.869108682028974e-10,0.0,1.0,0.0,35.0,0.0,13.083333333333334,35.0,22.3,0.0,0.0,2.9310553060148455e-07,0.0
s1_single_obstacle,M2,1.0,22.733333333333334,0.8976822006330137,0.0,0.0,0.0,1.1965584312329292,inf,0.0,0.0,15.919627724787228,522.8169050903647,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00892742560535959,0.0,1.0,0.0,35.0,0.0,23.01666666666667,35.0,12.316666666666668,0.0,0.0,0.01903985387985427,0.0
s1_single_obstacle,M3,1.0,16.483333333333334,0.1040832999733057,0.0,0.0,0.0,1.2689127302197796,inf,0.0,0.0,20.789794832980267,812.8380781592546,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01577482176022565,0.0,1.0,0.0,35.0,0.0,16.733333333333334,35.0,18.566666666666666,0.0,0.0,0.019039853879854268,0.0
