scene,method,success_rate,collision_rate,obs_collision_rate,agent_collision_rate,min_obs_distance_mean,min_agent_distance_mean,completion_time_mean,input_sat_mean,control_cost_mean,control_smoothness_mean
s4_narrow_passage_medium,M6,0.0,1.0,0.0,1.0,0.6567522176651999,0.26415080546667363,16.720000000000002,0.060313497017616874,102.9101101025963,1434.9186674568268
s4_narrow_passage_medium,M7,0.0,1.0,0.0,1.0,0.8826493462785996,0.26671686430289704,17.585,0.03297960882230545,100.79285190781447,1405.6775392830468
