success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_any,inside_final,gmax_success,radius_success,sigma_success,no_collision,obs_collision,agent_collision,dwell_success,dwell_geom_success,dwell_success_no_collision,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,time_to_inside,time_to_gmax,time_to_radius,time_to_full_geom,success_hold_time,post_success_violation_count,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate,scene,method,seed,speed_scale,t_pred
False,14.15,-0.2684343668508783,0.4212017535836944,True,87.74243919452432,0.21991256839774656,0.19091354396277246,259.4701930094298,0.2540280135464927,1.9505866647754717,1.6634326111047364,1.6728206202334903,109.92017517048556,86,1.0,False,False,False,False,True,False,True,True,True,True,False,1.0494133352245283,False,False,68.0,68.0,68.0,13.25,68.0,53.900000000000006,0,260.197107024364,1.0448008702787652,0.0,e1_tracking_single_obstacle,M7,10,0.5,0.3
False,14.05,-0.26681278435836187,0.42037281526005343,True,87.24030654954026,0.21981697489902904,0.18956649522409993,258.80626529555684,0.25663210489645,1.9864943589670103,1.7120953117984958,1.7228882254507258,109.27345405716,15,1.0,False,False,False,False,True,False,True,True,True,True,False,1.0135056410329897,False,False,68.0,68.0,68.0,13.200000000000001,68.0,54.0,0,259.1618281798109,1.009299612635427,0.0,e1_tracking_single_obstacle,M7,11,0.5,0.3
False,14.100000000000001,-0.27660886937832985,0.42414388369968087,True,87.1815694820997,0.17093578019354858,0.19226059270144502,258.3189374835344,0.25539147418920166,1.9808945674871812,1.7046221128343007,1.714156311833352,109.13948762292762,135,1.0,False,False,False,False,True,False,True,True,True,True,False,1.0191054325128188,False,False,68.0,68.0,68.0,13.25,68.0,53.95,0,258.73930681999553,1.0149613895171377,0.0,e1_tracking_single_obstacle,M7,12,0.5,0.3
False,14.100000000000001,-0.26718564804745837,0.42225997272866933,True,86.82807687850567,0.16991311480634877,0.1914033798677443,259.78786852699795,0.25468384998223853,1.9525926987285185,1.6662840073931653,1.6760680269573576,109.21787112970635,42,1.0,False,False,False,False,True,False,True,True,True,True,False,1.0474073012714815,False,False,68.0,68.0,68.0,13.200000000000001,68.0,53.95,0,260.51765389476697,1.042739271870176,0.0,e1_tracking_single_obstacle,M7,13,0.5,0.3
False,14.15,-0.4418498400425953,0.42994923258720075,True,87.26218437417664,0.4309082862996821,0.1920156747489591,258.9494130726987,0.25698232398427817,1.9881056561634265,1.7142421161878107,1.7253963737100695,109.74751643188829,0,1.0,False,False,False,False,True,False,True,True,True,True,False,1.0118943438365735,False,False,68.0,68.0,68.0,13.25,68.0,53.900000000000006,0,259.298169391745,1.007643091905947,0.0,e1_tracking_single_obstacle,M7,14,0.5,0.3
False,14.15,-0.2596564546882848,0.42164187807912606,True,87.61054620099438,0.176023417883981,0.19275042860641686,258.57021140611073,0.25604783486730626,1.9838413662649177,1.7085548598464184,1.7187535356466626,109.71147004783776,78,1.0,False,False,False,False,True,False,True,True,True,True,False,1.0161586337350823,False,False,68.0,68.0,68.0,13.3,68.0,53.900000000000006,0,258.9433184324534,1.012014257039706,0.0,e1_tracking_single_obstacle,M7,15,0.5,0.3
False,14.100000000000001,-0.28142254323770155,0.4212396810728381,True,87.23943274578014,0.17794094874210056,0.19152583884398727,259.0371419304993,0.2572069137512704,1.989151259946478,1.715630814451516,1.7270207616278705,109.93499462288003,0,1.0,False,False,False,False,True,False,True,True,True,True,False,1.010848740053522,False,False,68.0,68.0,68.0,13.25,68.0,53.95,0,259.37821460341087,1.0065727251694525,0.0,e1_tracking_single_obstacle,M7,16,0.5,0.3
False,14.200000000000001,-0.3333787256774907,0.41783532517032107,True,87.9007649456136,0.18999900705998035,0.19189321577271615,258.4590200276979,0.2557625467739228,1.9825590969239208,1.7068430108496992,1.7167537355851132,109.81095719070582,105,1.0,False,False,False,False,True,False,True,True,True,True,False,1.0174409030760792,False,False,68.0,68.0,68.0,13.3,68.0,53.85,0,258.8475928237347,1.0133114383793287,0.0,e1_tracking_single_obstacle,M7,17,0.5,0.3
False,14.15,-0.24506471538583552,0.4238243471255283,True,87.18196956028248,0.18826632693697382,0.19177075679647318,260.03098522897807,0.2551852071634025,1.9541352727157049,1.6684727473803236,1.6785622820146395,109.50924360558255,9,1.0,False,False,False,False,True,False,True,True,True,True,False,1.0458647272842951,False,False,68.0,68.0,68.0,13.25,68.0,53.900000000000006,0,260.76382916705865,1.0411496644081075,0.0,e1_tracking_single_obstacle,M7,18,0.5,0.3
False,14.100000000000001,-0.24936494754786243,0.42080048230647144,True,87.62193295769886,0.23555118216485288,0.19005633112907175,258.98488617946657,0.2571119065303133,1.98871947646568,1.7150480378359192,1.726343795756206,109.96945661366152,0,1.0,False,False,False,False,True,False,True,True,True,True,False,1.01128052353432,False,False,68.0,68.0,68.0,13.25,68.0,53.95,0,259.31413175726,1.0070391905415916,0.0,e1_tracking_single_obstacle,M7,19,0.5,0.3
False,14.100000000000001,-0.23304883123543652,0.4233766515545735,True,87.8203416393786,0.18055425401416442,0.19091354396277246,258.39210399612466,0.2555981183266994,1.9818257894372444,1.7058613853217446,1.7156082856173622,109.97466074161451,121,1.0,False,False,False,False,True,False,True,True,True,True,False,1.0181742105627556,False,False,68.0,68.0,68.0,13.25,68.0,53.95,0,258.7868895824362,1.0140572081650636,0.0,e1_tracking_single_obstacle,M7,20,0.5,0.3
False,14.200000000000001,-0.21003817506853573,0.42294309022962745,True,87.45995668928146,0.16605803662415733,0.1928728875826598,258.9172276351138,0.2569070672799485,1.9877591148993246,1.7137797815602172,1.7248566004879051,109.82330800746074,0,1.0,False,False,False,False,True,False,True,True,True,True,False,1.0122408851006754,False,False,68.0,68.0,68.0,13.3,68.0,53.85,0,259.26583526062865,1.0080021799137506,0.0,e1_tracking_single_obstacle,M7,21,0.5,0.3
False,14.200000000000001,-0.2877124384784735,0.43203001248757283,True,87.21429130383446,0.16621029793806585,0.19275042860641686,258.8998641134195,0.2568617979513492,1.9875492743471252,1.7135010555551287,1.72453050411612,109.67051083310835,0,1.0,False,False,False,False,True,False,True,True,True,True,False,1.0124507256528748,False,False,68.0,68.0,68.0,13.25,68.0,53.85,0,259.2505778335924,1.0082155887088202,0.0,e1_tracking_single_obstacle,M7,22,0.5,0.3
False,14.100000000000001,-0.3266509344042361,0.4240293939063538,True,87.21837270368735,0.1962479447855794,0.19066862601028656,259.0084466452254,0.2572620583996014,1.9894424079233184,1.7159866713108252,1.7274513259139603,109.49067768379513,0,1.0,False,False,False,False,True,False,True,True,True,True,False,1.0105575920766816,False,False,68.0,68.0,68.0,13.200000000000001,68.0,53.95,0,259.30194638657645,1.0063449202752421,0.0,e1_tracking_single_obstacle,M7,23,0.5,0.3
False,14.100000000000001,-0.2581063535103433,0.42488551024208127,True,87.47732092242912,0.18558207737608579,0.19103600293901543,258.7812349703032,0.2565786349249471,1.9862518168586094,1.7117698929503806,1.7225092205227066,109.72387664013158,22,1.0,False,False,False,False,True,False,True,True,True,True,False,1.0137481831413906,False,False,68.0,68.0,68.0,13.25,68.0,53.95,0,259.13453953702094,1.0095545147592602,0.0,e1_tracking_single_obstacle,M7,24,0.5,0.3
False,14.100000000000001,-0.26044008016937437,0.4243449809565412,True,87.49320620819131,0.18152263029615812,0.19030124908155768,258.61657021344047,0.25616559126405153,1.984373188879176,1.709264560876518,1.7195825577596797,109.67834934050018,66,1.0,False,False,False,False,True,False,True,True,True,True,False,1.015626811120824,False,False,68.0,68.0,68.0,13.200000000000001,68.0,53.95,0,258.98436840494793,1.0114736022365813,0.0,e1_tracking_single_obstacle,M7,25,0.5,0.3
