scene,speed_scale,t_pred,success_rate,collision_rate,obs_collision_rate,agent_collision_rate,min_obs_distance_mean,min_agent_distance_mean,completion_time_mean,gmax_mean,radius_error_final_mean,input_sat_mean
e1_tracking_single_obstacle,0.8,1.3,0.0,1.0,1.0,1.0,-0.25384633505360815,0.42416244908018813,14.886666666666667,258.3260203746262,1.017318664441848,0.2017879010531472
e1_tracking_single_obstacle,0.8,1.0,0.0,1.0,1.0,1.0,-0.25504274856092796,0.42413310550709754,14.893333333333334,261.57412405469074,0.995503434038245,0.20166136011102948
e1_tracking_single_obstacle,0.8,0.7,0.0,1.0,1.0,1.0,-0.25631715504178565,0.42410311587251986,14.901666666666667,265.0688567980877,0.9713611944927006,0.20152257327128745
e1_tracking_single_obstacle,0.7,1.3,0.0,1.0,1.0,1.0,-0.2590538098245189,0.42394430733930516,14.63,256.2891456466603,1.0335832221497452,0.19829782023022288
e1_tracking_single_obstacle,0.6,1.3,0.0,1.0,1.0,1.0,-0.2592113700995759,0.4235794474384948,14.373333333333335,254.36182001122924,1.0504113131093922,0.19488121479304432
e1_tracking_single_obstacle,0.5,1.3,0.0,1.0,1.0,1.0,-0.2593210922034801,0.4231447972459595,14.125,252.77673705579383,1.0613622189899752,0.1916401338884807
e1_tracking_single_obstacle,0.7,1.0,0.0,1.0,1.0,1.0,-0.26001159892846887,0.4239125566283183,14.631666666666668,259.0466787932992,1.0137056684484285,0.19820801698097804
e1_tracking_single_obstacle,0.5,1.0,0.0,1.0,1.0,1.0,-0.26003368369152546,0.42311080859692296,14.126666666666667,254.43467540756794,1.0509502498616565,0.19155849457098537
e1_tracking_single_obstacle,0.6,1.0,0.0,1.0,1.0,1.0,-0.26004845695604867,0.4235428585855977,14.38,256.69038547516914,1.0331358959812127,0.1947791656461752
e1_tracking_single_obstacle,0.5,0.7,0.0,1.0,1.0,1.0,-0.26074913897215013,0.42307682947071573,14.13,256.2802218931493,1.0382795757822432,0.19146869132174058
e1_tracking_single_obstacle,0.6,0.7,0.0,1.0,1.0,1.0,-0.26089062804281055,0.42350558120952436,14.38,259.0610321413906,1.0162515046080034,0.1947097722263042
e1_tracking_single_obstacle,0.7,0.7,0.0,1.0,1.0,1.0,-0.260976949417318,0.42387860732686244,14.636666666666667,261.750056984319,0.9943803310265218,0.1980488203118622
e1_tracking_single_obstacle,0.5,0.3,0.0,1.0,1.0,1.0,-0.2617075859594213,0.42303137500194177,14.131666666666668,258.8412968976951,1.0191108158324795,0.1913829700383705
e1_tracking_single_obstacle,0.6,0.3,0.0,1.0,1.0,1.0,-0.26201983208310387,0.4234550634390679,14.385,262.2191376022496,0.9942915773427756,0.19458323128418648
e1_tracking_single_obstacle,0.7,0.3,0.0,1.0,1.0,1.0,-0.26227096239829933,0.423830300758422,14.646666666666668,264.7092541924244,0.965798272727571,0.19785288594987346
e1_tracking_single_obstacle,0.8,0.3,0.0,1.0,1.0,1.0,-0.26246336834898154,0.42415103121162173,14.915000000000001,267.4892076727277,0.9425909673670317,0.2013674585680464
