scene,method,topo_rho_floor,success_rate,collision_rate,obs_collision_rate,agent_collision_rate,min_obs_distance_mean,min_obs_distance_min,min_agent_distance_mean,min_agent_distance_min,completion_time_mean,input_sat_mean,control_cost_mean,control_smoothness_mean,radius_error_final_mean,last_10s_inside_rate_mean
s4_narrow_passage_medium,M7,0.6,0.0,1.0,0.0,1.0,0.9316520874230242,0.7748108501900302,0.301844177387408,0.29544576672324596,17.871666666666666,0.030732417811069498,92.05534438294617,720.8061801735901,2.177117766822115,1.0
s4_narrow_passage_medium,M7,0.65,0.03333333333333333,0.9666666666666667,0.0,0.9666666666666667,0.9043408729917768,0.7593447190394202,0.3062132989351156,0.29709071780320556,17.718333333333337,0.032799278679428494,92.17143523484856,736.7941851112221,2.1612825391631514,1.0
s4_narrow_passage_medium,M7,0.7,0.03333333333333333,0.9666666666666667,0.0,0.9666666666666667,0.8433093238125274,0.7397793266130159,0.31096006640473756,0.2996569130772759,17.528333333333332,0.03691219309196837,92.58955863153427,718.2108311045981,2.1477541884558957,1.0
