success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_any,inside_final,gmax_success,radius_success,sigma_success,no_collision,dwell_success,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,eta_min,sigma_omega,k_t,r0,lambda_curl,scene,method,seed
False,28.700000000000003,0.7288529748339994,0.20648577968669393,True,89.32151984916435,2651.3089824200456,0.027338329170135997,72.62365163080185,0.012702599321893713,0.2741890735305125,0.002149045356694731,0.002149045356694731,146.98876978092665,0,0.0,True,True,True,False,True,False,True,2.5258109264694872,False,False,29.5,0.05,3.0,0.6,1.2,0.3,s4_narrow_passage,M7,0
False,28.1,0.7274028039559186,0.20230057716449734,True,96.61319708941056,3149.088910900876,0.035248404107688036,72.64676528998197,0.012703775275427766,0.2741864929705199,0.0021429689203938296,0.0021429689203938296,155.12865643704515,0,0.0,True,True,True,False,True,False,True,2.52581350702948,False,False,28.900000000000002,0.05,3.0,0.6,1.2,0.5,s4_narrow_passage,M7,0
False,28.0,0.7223871949462672,0.20211522646105043,True,105.51198107344793,3795.975245743944,0.041909519844573966,72.69018082354327,0.01270640781416931,0.2741806589235704,0.0021297445579223804,0.0021297445579223804,163.58599715211193,0,0.0,True,True,True,False,True,False,True,2.5258193410764296,False,False,28.75,0.05,3.0,0.6,1.2,0.7,s4_narrow_passage,M7,0
False,29.700000000000003,0.7283862862418691,0.21235729030716746,True,88.54208077584127,2613.277262145318,0.02844851512628365,72.58014292612023,0.012849946207707482,0.2756667004807268,0.0021399349878970203,0.0021399349878970203,146.2266222798616,0,0.0,True,True,True,False,True,False,True,2.524333299519273,False,False,30.0,0.05,3.0,0.6,1.5,0.3,s4_narrow_passage,M7,0
False,29.25,0.727893189025324,0.203619987793085,True,95.67025592909488,3105.8986366373283,0.03566472384124341,72.59062959557717,0.012850342061607576,0.27566584776782943,0.0021378134146086223,0.0021378134146086223,154.31911900069073,0,0.0,True,True,True,False,True,False,True,2.5243341522321705,False,False,29.1,0.05,3.0,0.6,1.5,0.5,s4_narrow_passage,M7,0
False,29.1,0.7232132028833063,0.209658247719279,True,105.7047456506511,3838.2791643993464,0.04274215931168471,72.66136464633584,0.012853514998409156,0.2756588176658592,0.0021220682416075378,0.0021220682416075378,164.3941024889577,0,0.0,True,True,True,False,True,False,True,2.5243411823341404,False,False,28.900000000000002,0.05,3.0,0.6,1.5,0.7,s4_narrow_passage,M7,0
False,31.1,0.7287323850826002,0.2574899223133128,True,86.93072745701204,2508.873272520317,0.029558701082431308,72.6707923532421,0.012946892471272666,0.2765718985200606,0.0021091164721956245,0.0021091164721956245,144.72772484807885,0,0.0,True,True,True,False,True,False,True,2.523428101479939,False,False,30.6,0.05,3.0,0.6,1.8,0.3,s4_narrow_passage,M7,0
False,30.55,0.7276268067694562,0.20693257869444315,True,96.01653717563035,3156.9752150466534,0.03608104357479878,72.60370252376134,0.012943606644676905,0.27657918984885455,0.0021252347590414665,0.0021252347590414665,155.82974042611806,0,0.0,True,True,True,False,True,False,True,2.523420810151145,False,False,29.8,0.05,3.0,0.6,1.8,0.5,s4_narrow_passage,M7,0
False,30.450000000000003,0.7234075855661624,0.2159090274909612,True,106.55980436038827,3915.459302049597,0.043158479045240075,72.6760776042407,0.012947222987113921,0.2765711643016086,0.002107499386151175,0.002107499386151175,165.47573258366066,0,0.0,True,True,True,False,True,False,True,2.5234288356983914,False,False,29.75,0.05,3.0,0.6,1.8,0.7,s4_narrow_passage,M7,0
False,27.150000000000002,0.7285683607916129,0.20699473314898556,True,90.18382851554294,2679.3069629464844,0.028032195392728283,72.59944527108827,0.013379013856687551,0.28111532907867604,0.002177235302774168,0.002177235302774168,148.0499569135537,0,0.0,True,True,True,False,True,False,True,2.5188846709213237,False,False,28.05,0.05,3.0,0.9,1.2,0.3,s4_narrow_passage,M7,0
