source_run,source_file,scene,method,success_rate,completion_time_mean,completion_time_std,collision_rate,min_obs_distance_mean,min_agent_distance_mean,gmax_mean,radius_var_mean,control_cost_mean,control_smoothness_mean,input_sat_mean,stall_steps_mean,inside_any_rate,inside_final_rate,gmax_success_rate,radius_success_rate,sigma_success_rate,no_collision_rate,dwell_success_rate,radius_error_final_mean,success_geom_final_rate,success_no_collision_rate,gmax_reach_time_mean,obs_collision_rate,agent_collision_rate,dwell_geom_success_rate,dwell_success_no_collision_rate,time_to_inside_mean,time_to_gmax_mean,time_to_radius_mean,time_to_full_geom_mean,success_hold_time_mean,post_success_violation_count_mean,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate_mean
outputs/debug_after_metric_fix,outputs/debug_after_metric_fix/summary_metrics.csv,s3_static_encirclement,M6,1.0,3.366666666666667,0.0288675134594812,0.0,inf,0.713330557141421,60.00005629924876,4.007918365489947e-15,25.18655289646219,0.3954757140996579,0.0707625707625707,842.3333333333334,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8031820215383562,0.0,1.0,0.0,,,,,,,,,,,,,
outputs/debug_after_metric_fix,outputs/debug_after_metric_fix/summary_metrics.csv,s3_static_encirclement,M7,1.0,3.366666666666667,0.0288675134594812,0.0,inf,0.713330557141421,60.00005629924876,4.007918365489947e-15,25.18655289646219,0.3954757140996579,0.0707625707625707,842.3333333333334,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8031820215383562,0.0,1.0,0.0,,,,,,,,,,,,,
outputs/debug_after_metric_fix,outputs/debug_after_metric_fix/summary_metrics.csv,s4_narrow_passage,M1,0.0,11.783333333333331,0.0763762615825977,1.0,0.6509220465901746,1.7616661088539349e-13,359.9998162253255,4.534135331476256e-23,81.59631024216672,0.2809940279086395,0.2110741049125728,871.6666666666666,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.7999999990110407,0.0,0.0,60.0,,,,,,,,,,,,,
outputs/debug_after_metric_fix,outputs/debug_after_metric_fix/summary_metrics.csv,s4_narrow_passage,M3,0.0,42.31666666666667,4.575569181351471,1.0,0.7307195277126161,0.0006055133687166,179.9992235097004,7.582305104168703e-05,174.7143929271106,9207.545905194427,0.0442686650013877,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.781142432719392,0.0,0.0,60.0,,,,,,,,,,,,,
outputs/debug_after_metric_fix,outputs/debug_after_metric_fix/summary_metrics.csv,s4_narrow_passage,M4,0.6666666666666666,18.516666666666666,0.1607275126832145,0.3333333333333333,0.3168327653024312,0.5152796259561335,73.89445134754914,0.1808492519996623,91.76164761282077,1990.662487384584,0.0617078360625404,0.0,1.0,1.0,1.0,0.0,1.0,0.6666666666666666,1.0,1.836963610039679,0.0,0.6666666666666666,19.05,,,,,,,,,,,,,
outputs/debug_after_metric_fix,outputs/debug_after_metric_fix/summary_metrics.csv,s4_narrow_passage,M5,0.0,27.98333333333333,0.125830573921179,1.0,0.7314036939130529,0.3227354248856874,85.90524076041737,0.2198835205654031,93.63353419029772,2680.7862849727644,0.0463040059209917,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.8567304262545652,0.0,0.0,28.01666666666667,,,,,,,,,,,,,
outputs/debug_after_metric_fix,outputs/debug_after_metric_fix/summary_metrics.csv,s4_narrow_passage,M6,0.0,18.516666666666666,0.1607275126832145,1.0,0.3205881783583246,0.3511440081414177,74.01636923792485,0.025419349462557,96.59502680633392,2335.047897601382,0.0617078360625404,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.441568331460987,0.0,0.0,19.05,,,,,,,,,,,,,
outputs/debug_after_metric_fix,outputs/debug_after_metric_fix/summary_metrics.csv,s4_narrow_passage,M7,0.0,28.05,0.149999999999999,1.0,0.7315074692760447,0.3048296459021282,69.30554806711665,0.0200919670162611,89.97254643977602,2492.423160899127,0.0461652326764733,194.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.4487317104224497,0.0,0.0,28.133333333333336,,,,,,,,,,,,,
outputs/debug_after_metric_fix,outputs/debug_after_metric_fix/summary_metrics.csv,s5_dense_tracking_easy,M1,0.0,17.400000000000002,0.0,1.0,0.61053779207358,0.0,360.0,3.0814879110195774e-33,141.08434129818144,0.7091838133205602,0.2485750240580353,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.5450623711101814,0.0,0.0,75.0,,,,,,,,,,,,,
outputs/debug_after_metric_fix,outputs/debug_after_metric_fix/summary_metrics.csv,s5_dense_tracking_easy,M3,0.0,25.266666666666666,0.0288675134594819,1.0,1.1397746785315588,0.0004987377546465,233.8643932265697,0.0001725031059725,264.8429226775119,8576.486174230367,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,1.0,0.0,1.0,2.772250475102623,0.0,0.0,44.51666666666667,,,,,,,,,,,,,
