step,time,agent,x,y,ux,uy
0,0.0,0,-7.088267075925242,-2.358001971219555,0.9934104466518179,0.11461101316488623
0,0.0,1,-7.162544420585444,-1.3786419314884486,0.9872581180011826,0.1591270193645911
0,0.0,2,-7.019886458355111,-0.489881355879052,0.9988903647730096,0.047096061514141654
0,0.0,3,-6.932556594335653,0.4686349239580615,0.995667085942596,-0.0929895360652643
0,0.0,4,-7.061985308644113,1.2639385121534068,0.984250763132341,-0.17677792600485065
0,0.0,5,-7.0603945825459,2.134814871412873,0.9942427865813236,-0.1071507404778093
1,0.05,0,-7.038596553592651,-2.3522714205613107,0.9934922405246898,0.11389981506666023
1,0.05,1,-7.113181514685385,-1.370685580520219,0.9874994757536805,0.1576222866107135
1,0.05,2,-6.969941940116461,-0.48752655280334495,0.9989207854770948,0.046446358170616375
1,0.05,3,-6.882773240038523,0.4639854471547983,0.9957543801313664,-0.09205006406999558
1,0.05,4,-7.012772770487496,1.2550996158531642,0.9845136233336139,-0.1753080868605223
1,0.05,5,-7.010682443216834,2.1294573343889827,0.9943010530931222,-0.10660870354310717
2,0.1,0,-6.988921941566416,-2.346576429807978,0.9935739164016466,0.11318512490871013
2,0.1,1,-7.063806540897701,-1.3628044661896832,0.9877380494849465,0.15612029159882007
2,0.1,2,-6.919995900842606,-0.4852042348948141,0.9989505162958642,0.04580246539929852
2,0.1,3,-6.832985521031954,0.45938294395129853,0.9958403266069616,-0.0911155516277199
2,0.1,4,-6.963547089320815,1.2463342115101381,0.9847742929705385,-0.17383783176140988
2,0.1,5,-6.960967390562178,2.124126899211827,0.9943595091903933,-0.10606208717135154
3,0.15000000000000002,0,-6.939243245746334,-2.3409171735625423,0.9936554552446288,0.11246704457836176
3,0.15000000000000002,1,-7.014419638423454,-1.3549984516097422,0.9879738149961981,0.1546212816208738
3,0.15000000000000002,2,-6.870048375027813,-0.4829141116248492,0.9989795674242485,0.04516440758132508
3,0.15000000000000002,3,-6.7831935047016065,0.45482716636991255,0.9959249342941695,-0.09018605820846225
3,0.15000000000000002,4,-6.914308374672288,1.2376423199220676,0.9850327310441317,-0.172367394299996
3,0.15000000000000002,5,-6.911249415102659,2.1188237948532596,0.9944181406461468,-0.10551095396026089
4,0.2,0,-6.889560472984102,-2.3352938213336243,0.9937368381060385,0.1117456775176717
4,0.2,1,-6.9650209476736435,-1.3472673875286985,0.9882067500406313,0.15312550088505958
4,0.2,2,-6.820099396656601,-0.48065589124578295,0.9990079491095791,0.044532206974355074
4,0.2,3,-6.733397257986898,0.45031786345948943,0.9960082125454404,-0.08926164005299672
4,0.2,4,-6.8650567381200815,1.229023950207068,0.9852888983455366,-0.17089700594775745
4,0.2,5,-6.861528508070351,2.1135482471552467,0.994476933175832,-0.10495536781006272
5,0.25,0,-6.8398736310788,-2.329706537457741,0.9938180461445064,0.11102112866309398
5,0.25,1,-6.915610610171612,-1.3396111124844454,0.9884368343129821,0.15163319036208497
5,0.25,2,-6.770148999201122,-0.4784292808970652,0.9990356716413685,0.04390588376257244
5,0.25,3,-6.683596847359626,0.4458547814568396,0.996090171119457,-0.08834235021185735
5,0.25,4,-6.815792293202804,1.22047909990968,0.9855427574643263,-0.1694268958968806
5,0.25,5,-6.81180466141156,2.1083004787647437,0.9945358724488759,-0.10439539387580006
6,0.30000000000000004,0,-6.790182728771574,-2.324155481024586,0.9938990606404583,0.11029350438414776
6,0.30000000000000004,1,-6.866188768455963,-1.3320294529663412,0.988664049436265,0.15014458763859773
6,0.30000000000000004,2,-6.720197215619053,-0.4762339867089366,0.9990627453414291,0.043285456107432466
6,0.30000000000000004,3,-6.633792338803653,0.44143766394624673,0.9961708201599239,-0.08742823858694107
6,0.30000000000000004,4,-6.766515155329588,1.2120077551148358,0.9857942727940467,-0.167957290906933
6,0.30000000000000004,5,-6.762077867789116,2.103080709070954,0.9945949441001506,-0.10383109851912764
7,0.35000000000000003,0,-6.740487775739552,-2.3186408058053787,0.9939798630114646,0.10956291242116846
7,0.35000000000000003,1,-6.81675556598415,-1.3245222235844114,0.9888883789457887,0.1486599267778756
7,0.35000000000000003,2,-6.670244078351981,-0.47406971390356495,0.999089180554331,0.04267094019904075
7,0.35000000000000003,3,-6.583983797795657,0.4370662520168997,0.9962501701746138,-0.08651935197550836
7,0.35000000000000003,4,-6.7172254416898864,1.2036098905694892,0.9860434105350294,-0.16648841515675086
7,0.35000000000000003,5,-6.7123481205841085,2.0978891541449975,0.9946541337413581,-0.10326254925964143
8,0.4,0,-6.690788782588978,-2.3131626601843203,0.9940604348273416,0.10882946182223006
8,0.4,1,-6.76731114703686,-1.3170892272455177,0.9891098082705498,0.1471794381879162
8,0.4,2,-6.620289619324264,-0.4719361668936129,0.9991149876382035,0.04206235030805502
8,0.4,3,-6.534171289286927,0.4327402844181243,0.9963282320147037,-0.08561573411639078
8,0.4,4,-6.667923271163135,1.1952854698116517,0.986290138694522,-0.16502049010178343
8,0.4,5,-6.662615413897041,2.0927260266820156,0.9947134269723173,-0.10268981472579523
9,0.45,0,-6.641085760847611,-2.307721187093209,0.994140757824989,0.10809326287932171
9,0.45,1,-6.717855656623333,-1.3097302553361219,0.989328324712108,0.14570334849703193
9,0.45,2,-6.570333869942354,-0.46983304937821013,0.9991401769558805,0.04145969883800459
9,0.45,3,-6.484354877686191,0.42845949771230474,0.996405016854426,-0.08471742573821534
9,0.45,4,-6.618608764228409,1.1870344453065627,0.9865344270841828,-0.16355373433710896
9,0.45,5,-6.612879742548425,2.0875915359457258,0.9947728093921389,-0.10211296460544812
10,0.5,0,-6.591378722956361,-2.302316523949243,0.9942208139229383,0.10735442706386975
10,0.5,1,-6.668389240387727,-1.3024450879112703,0.9895439174210621,0.14423188043703095
10,0.5,2,-6.520376861094561,-0.4677600644363099,0.9991647588663884,0.04086299637792546
10,0.5,3,-6.43453462684347,0.42422362642539396,0.9964805361710654,-0.08382446460946325
10,0.5,4,-6.5692820428742,1.1788567585897072,0.9867762473150024,-0.16208836346631
10,0.5,5,-6.563141102078818,2.0824858877154533,0.9948322666102754,-0.10153206959609865
