success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_any,inside_final,gmax_success,radius_success,sigma_success,no_collision,obs_collision,agent_collision,dwell_success,dwell_geom_success,dwell_success_no_collision,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,time_to_inside,time_to_gmax,time_to_radius,time_to_full_geom,success_hold_time,post_success_violation_count,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate,scene,method,seed,topo_rho_floor
False,16.85,0.5665336452115148,0.2587245790512124,True,102.54390223186297,1413.0560065730351,0.06658343736995423,75.16223267335332,0.010269446668796622,0.260686103943628,0.006578293055008688,0.006578293055008688,139.88344126916334,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5393138960563717,False,False,23.25,22.75,23.25,19.650000000000002,40.0,23.200000000000003,0,74.80368871114797,2.541341684297779,1.0,s4_narrow_passage_medium,M6,10,0.0
False,16.85,0.689477783121321,0.26592432500794855,True,102.44076491662523,1441.8513278946605,0.06158967956720766,75.54489062382996,0.012055852467604935,0.2566163430590008,0.004174318949578917,0.004174318949578917,139.87718906939185,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.543383656940999,False,False,23.1,22.55,23.1,19.55,40.0,23.200000000000003,0,74.79897182752953,2.5413436010220223,1.0,s4_narrow_passage_medium,M6,11,0.0
False,16.900000000000002,0.7103286564997584,0.26506527176347283,True,103.28372447526914,1475.26854487737,0.06928838951310862,73.1408641050046,0.010261574645111968,0.26066230682758046,0.00653371183145953,0.00653371183145953,140.44085435810325,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.539337693172419,False,False,23.200000000000003,22.6,23.200000000000003,19.55,40.0,23.150000000000002,0,74.7906559597717,2.541343514074358,1.0,s4_narrow_passage_medium,M6,12,0.0
False,16.650000000000002,0.6075046376014195,0.26662281622690626,True,102.85080575388879,1440.2000157979323,0.0568039950062422,75.2489294201666,0.010268934411115345,0.26068806849071435,0.006573484912050309,0.006573484912050309,140.16304839537116,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5393119315092854,False,False,22.950000000000003,22.5,22.950000000000003,19.400000000000002,40.0,23.400000000000002,0,74.81387874618868,2.5413433399227476,1.0,s4_narrow_passage_medium,M6,13,0.0
False,16.650000000000002,0.6333673301059537,0.26187549309739366,True,103.1526596324207,1446.306423484602,0.05222638368705784,75.59031900221544,0.012055240442026771,0.256616178308853,0.004178784824583299,0.004178784824583299,140.37929181822383,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5433838216911466,False,False,22.8,22.450000000000003,22.8,19.400000000000002,40.0,23.400000000000002,0,74.79441089892012,2.5413436487211896,1.0,s4_narrow_passage_medium,M6,14,0.0
False,16.95,0.6291083800996298,0.2647749425117769,True,101.77776192280005,1369.8157032138618,0.06325426550145652,74.28468555429554,0.01205561694004819,0.2566472347565808,0.004205960924121141,0.004205960924121141,139.2098173517345,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.543352765243419,False,False,24.0,23.1,24.0,19.650000000000002,40.0,23.1,0,74.79566920504946,2.541341967331893,1.0,s4_narrow_passage_medium,M6,15,0.0
False,16.75,0.5848653073205143,0.2649811448318443,True,101.81582581464143,1364.4342481000563,0.057636287973366625,74.59516130300513,0.010268264945661779,0.26067663079807935,0.006570036179635913,0.006570036179635913,139.09164139258897,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5393233692019206,False,False,23.150000000000002,22.400000000000002,23.150000000000002,19.450000000000003,40.0,23.3,0,74.80685863796998,2.541342725474294,1.0,s4_narrow_passage_medium,M6,16,0.0
False,16.7,0.6852246493598193,0.25928949024876463,True,104.03910043035629,1493.2245780301364,0.060965459841864335,75.28059371169617,0.010268588724702423,0.260689001076224,0.0065704964039495235,0.0065704964039495235,141.08655045185145,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5393109989237757,False,False,22.700000000000003,22.35,22.700000000000003,19.400000000000002,40.0,23.35,0,74.82300250545981,2.5413300894052386,1.0,s4_narrow_passage_medium,M6,17,0.0
False,16.95,0.6369942057733107,0.2631350621124543,True,102.45730089942757,1436.9715526402797,0.05826050769870995,74.87608784210732,0.012057142831685581,0.2566339231936555,0.004182295634716988,0.004182295634716988,140.11048602355297,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.543366076806344,False,False,22.950000000000003,22.650000000000002,22.950000000000003,19.650000000000002,40.0,23.1,0,74.80838301231697,2.5413429675177635,1.0,s4_narrow_passage_medium,M6,18,0.0
False,16.650000000000002,0.6374436055038657,0.2687449137743392,True,102.61565605925719,1407.3669399884254,0.0599250936329588,75.2447230459969,0.010268965964962143,0.2606880001033515,0.006573857938585207,0.006573857938585207,139.9233890852073,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5393119998966482,False,False,22.85,22.75,22.85,19.450000000000003,40.0,23.400000000000002,0,74.81403404185836,2.5413432467600754,1.0,s4_narrow_passage_medium,M6,19,0.0
False,16.75,0.7406320333343432,0.2660271752146276,True,103.38152042973236,1462.166423739379,0.06304619225967541,75.62178494282931,0.012053838993486872,0.256618070255319,0.0041923032608816154,0.0041923032608816154,140.63260906473874,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.543381929744681,False,False,23.05,22.450000000000003,23.05,19.450000000000003,40.0,23.3,0,74.81019714574632,2.541343773881245,1.0,s4_narrow_passage_medium,M6,20,0.0
False,17.0,0.6697895995773304,0.2594244903776438,True,103.57436874634841,1472.8934215376514,0.05867665418227216,75.60456968872846,0.012053302220043588,0.2566248061200817,0.004199701223057095,0.004199701223057095,140.88467499386803,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.543375193879918,False,False,22.75,22.650000000000002,22.75,19.700000000000003,40.0,23.05,0,74.84141241969773,2.541329938602462,1.0,s4_narrow_passage_medium,M6,21,0.0
False,16.5,0.6035289838568663,0.2662779573926033,True,102.82980873700777,1395.2708900980087,0.06075738660008323,74.68255212761927,0.01026863598726227,0.26067731709711,0.006573011160835,0.006573011160835,139.8322357384859,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5393226829028896,False,False,23.85,22.700000000000003,23.85,19.35,40.0,23.55,0,74.81362140648123,2.54134272421339,1.0,s4_narrow_passage_medium,M6,22,0.0
False,16.400000000000002,0.5673529509936868,0.2658393767158918,True,102.64062343990514,1384.632335715228,0.05826050769870995,75.04354182640154,0.012052963410632929,0.25665948057629806,0.004236218306509115,0.004236218306509115,139.4840490860825,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.543340519423702,False,False,22.5,22.150000000000002,22.5,19.25,40.0,23.650000000000002,0,74.8278967001025,2.5413426060381776,1.0,s4_narrow_passage_medium,M6,23,0.0
False,16.150000000000002,0.6660535571638866,0.24204909345917366,True,104.03088584461295,1476.4842181393374,0.06013316687473991,75.20511441380917,0.012057260845794227,0.2566238504055569,0.004171787015314219,0.004171787015314219,140.76875030380134,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.543376149594443,False,False,22.900000000000002,22.3,22.900000000000002,19.3,40.0,23.900000000000002,0,74.80296885659385,2.541343426125987,1.0,s4_narrow_passage_medium,M6,24,0.0
False,16.8,0.7070938278187471,0.26652308240975187,True,103.44316701874841,1468.3129891043154,0.0626300457761132,75.33645721326499,0.010264415922674136,0.2606746523075876,0.006549219876036698,0.006549219876036698,140.67876403643425,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5393253476924125,False,False,22.85,22.85,22.85,19.450000000000003,40.0,23.25,0,74.80158966791461,2.541343600547508,1.0,s4_narrow_passage_medium,M6,25,0.0
