scene,method,topo_rho_floor,success_rate,collision_rate,obs_collision_rate,agent_collision_rate,min_obs_distance_mean,min_agent_distance_mean,completion_time_mean,input_sat_mean,control_cost_mean,control_smoothness_mean,radius_error_final_mean,last_10s_inside_rate_mean
s4_narrow_passage_medium,M6,0.0,0.0,1.0,0.0,1.0,0.6562373313352912,0.2635083690735238,16.723333333333336,0.06045914828686364,102.91772853039812,1433.6420040535852,2.541619232449151,1.0
s4_narrow_passage_medium,M6,0.15,0.0,1.0,0.0,1.0,0.6564435665372353,0.27751337020413586,16.726666666666667,0.06016090997364406,96.40940478452167,944.4194983136484,2.5060738208017392,1.0
s4_narrow_passage_medium,M6,0.25,0.0,1.0,0.0,1.0,0.6565195946979953,0.28324875661541793,16.726666666666667,0.06015397419891802,95.40479369296322,842.5119900525052,2.38562192214345,1.0
s4_narrow_passage_medium,M6,0.35,0.0,1.0,0.0,1.0,0.6561183705441099,0.28804404059066874,16.713333333333335,0.06021639617145235,94.92367735810117,787.3071962338246,2.3028835005786785,1.0
s4_narrow_passage_medium,M6,0.45,0.0,1.0,0.0,1.0,0.6562307867692113,0.295427715713335,16.728333333333335,0.06003606602857539,94.3291594045229,764.0704911294638,2.239447126475509,1.0
s4_narrow_passage_medium,M6,0.55,0.03333333333333333,0.9666666666666667,0.0,0.9666666666666667,0.6564820431831841,0.302954509776951,16.73166666666667,0.05995283673186295,94.2831674473715,729.9950194289868,2.195679121492325,1.0
s4_narrow_passage_medium,M6,0.65,0.1,0.9,0.0,0.9,0.6565029942531672,0.31382117228470163,16.728333333333335,0.05997364405604106,94.22280394092066,747.0018723634975,2.16276933293424,1.0
s4_narrow_passage_medium,M6,0.75,0.2,0.8,0.0,0.8,0.6544724867442379,0.32621216551794563,16.716666666666665,0.0601123595505618,94.19113953643986,691.9653137281583,2.134868037989925,1.0
s4_narrow_passage_medium,M7,0.0,0.0,1.0,0.0,1.0,0.980054704903646,0.26635058978119897,20.193333333333335,0.014253017062005826,97.8955724990719,1478.4101769644471,2.541744778878179,1.0
s4_narrow_passage_medium,M7,0.15,0.0,1.0,0.0,1.0,0.9855033053609532,0.2775415774865132,19.513333333333335,0.018338188375641558,93.45130779274777,1098.4118517800093,2.5022281492444036,1.0
s4_narrow_passage_medium,M7,0.25,0.0,1.0,0.0,1.0,0.9805574655073174,0.2844253639355063,19.045,0.020516021639617143,92.33493379192194,954.1458086906721,2.3858603520474215,1.0
s4_narrow_passage_medium,M7,0.35,0.0,1.0,0.0,1.0,0.9793814025981182,0.28988406453216997,18.668333333333337,0.021917048134276598,92.10860481317968,874.4638767756268,2.3026540735007726,1.0
s4_narrow_passage_medium,M7,0.45,0.0,1.0,0.0,1.0,0.9667894806896883,0.3022406459396683,18.336666666666666,0.02482313774448606,91.75135762138152,831.3002701050713,2.239135045888287,1.0
s4_narrow_passage_medium,M7,0.55,0.0,1.0,0.0,1.0,0.9543527681924483,0.3056172868553564,18.028333333333332,0.028034401442641143,91.95024388855651,777.3865083072229,2.1957435069992752,1.0
s4_narrow_passage_medium,M7,0.65,0.03333333333333333,0.9666666666666667,0.0,0.9666666666666667,0.9043408729917768,0.3062132989351156,17.718333333333337,0.032799278679428494,92.17143523484856,736.7941851112221,2.1612825391631514,1.0
s4_narrow_passage_medium,M7,0.75,0.0,1.0,0.0,1.0,0.7998329377592952,0.3145860897011056,17.35166666666667,0.041545290608961026,92.92825890640748,696.0597264414664,2.136614683514505,1.0
