success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_any,inside_final,gmax_success,radius_success,sigma_success,no_collision,obs_collision,agent_collision,dwell_success,dwell_geom_success,dwell_success_no_collision,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,time_to_inside,time_to_gmax,time_to_radius,time_to_full_geom,success_hold_time,post_success_violation_count,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate,scene,method,seed,speed_scale,variant
False,14.600000000000001,-0.22520115117042316,0.3818412367094186,True,91.83272423675132,0.14081186666566892,0.19752632867989223,267.35573860242044,0.15265647793384993,2.0251409208545232,1.7760912978318935,1.8218920059523573,120.97079415465636,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9748590791454768,False,False,68.0,68.0,68.0,13.75,68.0,53.45,0,267.44942959850425,0.9718350682628757,0.0,e1_tracking_single_obstacle,M7,10,0.7,baseline
False,14.5,-0.2139125781365614,0.38237212976952695,True,91.36299897804413,0.14049270279119305,0.19630173891746264,267.3657820058398,0.15058935541241833,2.023343123963835,1.7730804072366726,1.8181015877799356,120.34354872017309,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9766568760361651,False,False,68.0,68.0,68.0,13.65,68.0,53.550000000000004,0,267.5126283636209,0.9734692800606317,0.0,e1_tracking_single_obstacle,M7,11,0.7,baseline
False,14.55,-0.22478240824780094,0.3830688584145312,True,91.51298084352786,0.12934175495203942,0.1970364927749204,267.5302710751783,0.15142243365786853,2.025354968973818,1.7759344745367944,1.8221587961694035,121.17845163275156,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9746450310261818,False,False,68.0,68.0,68.0,13.700000000000001,68.0,53.5,0,267.68010023135025,0.9713536517371323,0.0,e1_tracking_single_obstacle,M7,12,0.7,baseline
False,14.5,-0.20295676937557838,0.3816106757369634,True,91.07251344322212,0.12884147620220432,0.19666911584619154,267.40891490370063,0.15289727959237862,2.0258618105989754,1.7770869591665557,1.823328260382697,120.50657990274273,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9741381894010246,False,False,68.0,68.0,68.0,13.65,68.0,53.550000000000004,0,267.5077255594465,0.9710692881691736,0.0,e1_tracking_single_obstacle,M7,13,0.7,baseline
False,14.55,-0.31866246622975114,0.38561218181445067,True,91.62097960097309,0.12520650300543637,0.19777124663237816,265.80744339276157,0.1308836973192773,2.005878843464977,1.7407064604160816,1.7849956733027315,121.44585228212055,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.994121156535023,False,False,68.0,68.0,68.0,13.700000000000001,68.0,53.5,0,266.20780311194846,0.9910164077073864,0.0,e1_tracking_single_obstacle,M7,14,0.7,baseline
False,14.600000000000001,-0.19574718722470885,0.3826215356649327,True,91.8605103161173,0.1308699394167201,0.19777124663237816,266.96482555845535,0.14503835488012065,2.0184313006026913,1.7646484290919118,1.8077611222927696,120.8584591176082,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9815686993973087,False,False,68.0,68.0,68.0,13.75,68.0,53.45,0,267.3037589600223,0.9784053436327915,0.0,e1_tracking_single_obstacle,M7,15,0.7,baseline
False,14.55,-0.21981986156239686,0.38192387912996156,True,91.4728871424433,0.13161633426944028,0.19728141072740632,267.53305263590266,0.15231727145046817,2.026165331705716,1.7772791901227865,1.8238626588953069,121.17592303539053,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.973834668294284,False,False,68.0,68.0,68.0,13.700000000000001,68.0,53.5,0,267.6594157141883,0.9706056549179746,0.0,e1_tracking_single_obstacle,M7,16,0.7,baseline
False,14.65,-0.281067274965597,0.3759808654626776,True,92.13381474973608,0.13174505833998865,0.19813862356110704,267.1906916600317,0.14647809952778518,2.0203948501703146,1.7677420987499735,1.811771783971155,121.40976951502637,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9796051498296854,False,False,68.0,68.0,68.0,13.8,68.0,53.400000000000006,0,267.5145445868651,0.9762621002065152,0.0,e1_tracking_single_obstacle,M7,17,0.7,baseline
False,14.55,-0.19024534152230055,0.3853690869659916,True,91.45140310433491,0.13551734512209682,0.19691403379867745,266.7862111653908,0.14425539947106947,2.016884513192515,1.7623543480837245,1.8046284453411612,120.57701292848233,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9831154868074852,False,False,68.0,68.0,68.0,13.700000000000001,68.0,53.5,0,267.11978772984764,0.9800754598672122,0.0,e1_tracking_single_obstacle,M7,18,0.7,baseline
False,14.55,-0.20848614913669106,0.38152180407687386,True,91.6986460140334,0.14538083450673742,0.19679157482243448,267.4930282806344,0.15257414468850836,2.026114736859819,1.7773027320068275,1.8237934892233012,121.17197494319085,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9738852631401809,False,False,68.0,68.0,68.0,13.700000000000001,68.0,53.5,0,267.6079615623067,0.9707146599712769,0.0,e1_tracking_single_obstacle,M7,19,0.7,baseline
