scene,variant,speed_scale,success_rate,collision_rate,obs_collision_rate,agent_collision_rate,min_obs_distance_mean,min_agent_distance_mean,completion_time_mean,gmax_mean,radius_error_final_mean
e1_tracking_single_obstacle,baseline,0.7,0.0,1.0,1.0,1.0,-0.2055163484971709,0.38381233558423394,14.563333333333334,267.09756425785383,0.9788735736030479
e1_tracking_single_obstacle,baseline,0.85,0.0,1.0,1.0,1.0,-0.20930764918256822,0.3850996071468743,14.955000000000002,270.47505706397703,0.9480052480451205
e1_tracking_single_obstacle,baseline,1.0,0.0,1.0,1.0,1.0,-0.21003948392791177,0.3865640810582582,15.363333333333335,273.5286162285137,0.919370649789794
e1_tracking_single_obstacle,c_like,0.7,0.0,1.0,1.0,1.0,-0.260976949417318,0.42387860732686244,14.636666666666667,261.750056984319,0.9943803310265218
e1_tracking_single_obstacle,c_like,0.85,0.0,1.0,1.0,1.0,-0.25597236905659293,0.42425132783818503,15.036666666666667,265.43578874382723,0.9587234154699984
e1_tracking_single_obstacle,c_like,1.0,0.0,1.0,1.0,1.0,-0.25508476156816945,0.4246615339781617,15.453333333333335,269.25161681793776,0.9275723758497185
e2_tracking_sparse_obstacles,baseline,0.7,0.0,1.0,1.0,1.0,-0.12900698787712916,0.26568022558458043,14.886666666666667,267.9758266725743,0.9753759747477397
e2_tracking_sparse_obstacles,baseline,0.85,0.0,1.0,1.0,1.0,-0.13535272729103898,0.2658356665604721,15.326666666666666,271.96000653120456,0.9413446999615442
e2_tracking_sparse_obstacles,baseline,1.0,0.0,1.0,1.0,1.0,-0.14198624052615907,0.2679309667761755,15.816666666666666,275.1149441738162,0.9062770755341425
e2_tracking_sparse_obstacles,c_like,0.7,0.0,1.0,1.0,1.0,-0.46440032450083085,0.38662008038813855,15.021666666666668,268.78617902200426,0.9904106909807286
e2_tracking_sparse_obstacles,c_like,0.85,0.0,1.0,1.0,1.0,-0.4592948731278504,0.3853806095094182,15.366666666666667,267.77830889073334,0.948684743503071
e2_tracking_sparse_obstacles,c_like,1.0,0.0,1.0,1.0,1.0,-0.4549683170220748,0.38880992380045754,15.791666666666666,277.3993084316233,0.9187101059063897
