success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,scene,method,seed
True,12.9,0.6179590429992388,inf,False,12.55325778699309,1.8157947088508977,0.3166904422253923,0.0,0.0,9.889159887486776e-10,9.889159887486778e-10,9.889159887486778e-10,13.322412854105245,387,1.0,s1_single_obstacle,M1,0
True,12.65,0.6258663847476365,inf,False,12.460310294061395,0.7625129928596681,0.3181169757489301,0.0,0.0,9.87233360132676e-10,9.87233360132676e-10,9.87233360132676e-10,13.18454692542967,391,1.0,s1_single_obstacle,M1,1
True,12.700000000000001,0.6395561931006566,inf,False,12.486209192558006,0.7694908614962053,0.3166904422253923,0.0,0.0,9.845832557273385e-10,9.845832557273385e-10,9.845832557273385e-10,13.218262407421765,390,1.0,s1_single_obstacle,M1,2
True,16.6,1.2496061791751183,inf,False,20.770647651199273,807.425102577293,0.0,0.0,0.0,0.007797688956820333,0.007797688956820333,0.007797688956820333,26.88812307684906,0,1.0,s1_single_obstacle,M3,0
True,16.400000000000002,1.2405750815173873,inf,False,20.803232109259262,816.7045044633023,0.0,0.0,0.0,0.023786197262201835,0.023786197262201835,0.023786197262201835,26.914202441379818,0,1.0,s1_single_obstacle,M3,1
True,16.45,1.2338870179794585,inf,False,20.79550473848226,814.3846274371682,0.0,0.0,0.0,0.01574057906165478,0.015740579061654783,0.015740579061654783,26.90810171343063,0,1.0,s1_single_obstacle,M3,2
False,65.0,inf,7.500593209207417e-11,True,41.19457351907211,0.07626849461763573,0.08877786318216756,330.06383263004574,7.263747506580616e-23,9.85012942195565e-10,9.688167256624258e-10,9.688167256624258e-10,45.27813576460375,1101,0.0,s2_same_side_expansion,M1,0
False,65.0,inf,7.073990611659435e-11,True,41.126631034989806,0.07626849461773232,0.08852165001281066,330.18489381701755,5.266405016475949e-23,9.918456151381564e-10,9.747954011001417e-10,9.747954011001417e-10,45.210193397781005,1102,0.0,s2_same_side_expansion,M1,1
False,65.0,inf,7.194075076674883e-11,True,41.05733870494702,0.07626849461763248,0.08826543684345375,329.8136069372737,2.660638863330412e-23,9.86038746878299e-10,9.687283723143449e-10,9.687283723143449e-10,45.14090090062333,1102,0.0,s2_same_side_expansion,M1,2
False,65.0,inf,0.008650439840902096,True,226.38401401527764,15345.15878756901,0.0,161.64737427746294,0.00013709713426328902,0.01906695341454531,0.005832428194608738,0.005832428194608738,297.02172052572655,0,0.0,s2_same_side_expansion,M3,0
False,65.0,inf,0.004002147549056679,True,226.3840140152776,15349.798992826816,0.0,166.68480641135048,9.025939287660158e-05,0.011897590392011473,0.007858533134577576,0.007858533134577576,297.02172052572655,0,0.0,s2_same_side_expansion,M3,1
