scene,method,success_rate,completion_time_mean,completion_time_std,collision_rate,min_obs_distance_mean,min_agent_distance_mean,gmax_mean,radius_var_mean,control_cost_mean,control_smoothness_mean,input_sat_mean,stall_steps_mean
s1_single_obstacle,M1,1.0,12.75,0.13228756555322932,0.0,0.6277938736158439,inf,0.0,0.0,12.499925757870832,1.115932854402257,0.3171659533999049,389.3333333333333
s1_single_obstacle,M3,1.0,16.483333333333334,0.1040832999733057,0.0,1.2413560928906546,inf,0.0,0.0,20.789794832980267,812.8380781592546,0.0,0.0
s2_same_side_expansion,M1,0.0,65.0,0.0,1.0,inf,7.256219632513911e-11,330.020777794779,5.063597128795659e-23,41.12618108633631,0.07626849461766684,0.08852165001281065,1101.6666666666667
s2_same_side_expansion,M3,0.0,65.0,0.0,1.0,inf,0.005143537857404401,161.24885409682645,8.526336672722594e-05,226.3840140152776,15349.798992826814,0.0,0.0
s2_same_side_expansion,M4,1.0,7.416666666666667,0.02886751345948144,0.0,inf,0.7451562942904252,60.00000007163744,6.058125250285594e-19,39.43269275821098,0.07236062916381703,0.07951148689042617,1089.3333333333333
s2_same_side_expansion,M5,1.0,7.416666666666667,0.02886751345948144,0.0,inf,0.7451562942904252,60.00000007163744,6.058125250285594e-19,39.43269275821098,0.07236062916381703,0.07951148689042617,1089.3333333333333
s2_same_side_expansion,M6,0.0,65.0,0.0,0.0,inf,0.7434538304062137,60.00000024758,9.853283116026759e-23,39.35481752501119,0.07328643178128731,0.07938338030574771,1084.0
s2_same_side_expansion,M7,0.0,65.0,0.0,0.0,inf,0.7434538304062137,60.00000024758,9.853283116026759e-23,39.35481752501119,0.07328643178128731,0.07938338030574771,1084.0
s3_static_encirclement,M1,0.0,50.0,0.0,1.0,inf,6.406508469169769e-10,97.37866139932204,5.03427146981201e-23,28.31406114851707,0.07626849094287662,0.07237207237207237,841.6666666666666
s3_static_encirclement,M3,0.0,4.366666666666667,0.02886751345948093,1.0,inf,0.003358165033934987,199.7122983292043,8.599119649955794e-05,174.18170486494455,11953.168744111812,0.0,0.0
s3_static_encirclement,M4,0.6666666666666666,18.900000000000002,26.93339005769604,0.0,inf,0.8627855461916495,60.0000001133133,8.373081203680215e-19,26.420641800007854,0.8644326020060867,0.08086358086358086,836.3333333333334
s3_static_encirclement,M5,0.6666666666666666,18.900000000000002,26.93339005769604,0.0,inf,0.8627855461916495,60.0000001133133,8.373081203680215e-19,26.420641800007854,0.8644326020060867,0.08086358086358086,836.3333333333334
s3_static_encirclement,M6,1.0,3.366666666666667,0.02886751345948128,0.0,inf,0.713330557141421,60.00005629924876,4.007918365489947e-15,25.18655289646219,0.3954757140996579,0.07076257076257075,842.3333333333334
s3_static_encirclement,M7,1.0,3.366666666666667,0.02886751345948128,0.0,inf,0.713330557141421,60.00005629924876,4.007918365489947e-15,25.18655289646219,0.3954757140996579,0.07076257076257075,842.3333333333334
s4_narrow_passage,M1,0.0,11.783333333333333,0.0763762615825977,1.0,0.6748315065602911,1.7616661088539346e-13,359.9998162253255,4.5341353314762546e-23,81.59631024216672,0.2809940279086395,0.21107410491257284,871.6666666666666
s4_narrow_passage,M3,0.0,42.31666666666667,4.575569181351471,1.0,0.7293294215651116,0.0006055133687166053,179.9992235097004,7.582305104168703e-05,174.7143929271106,9207.545905194429,0.044268665001387736,0.0
s4_narrow_passage,M4,0.6666666666666666,18.516666666666666,0.16072751268321456,0.3333333333333333,0.33402989873799505,0.5152796259561335,73.89445134754914,0.1808492519996623,91.76164761282077,1990.6624873845838,0.06170783606254047,0.0
s4_narrow_passage,M5,0.0,27.983333333333334,0.12583057392117908,1.0,0.7296589356997151,0.3227354248856874,85.90524076041737,0.21988352056540317,93.63353419029772,2680.7862849727644,0.046304005920991764,0.0
s4_narrow_passage,M6,0.0,18.516666666666666,0.16072751268321456,1.0,0.33756210614903437,0.3511440081414177,74.01636923792485,0.025419349462557046,96.59502680633393,2335.047897601382,0.06170783606254047,0.0
s4_narrow_passage,M7,0.0,28.05,0.14999999999999902,1.0,0.7297580928546594,0.3048296459021282,69.30554806711665,0.02009196701626113,89.97254643977602,2492.423160899127,0.046165232676473315,194.0
