scene,speed_scale,t_pred,success_rate,collision_rate,obs_collision_rate,agent_collision_rate,min_obs_distance_mean,min_agent_distance_mean,completion_time_mean,gmax_mean,radius_error_final_mean,input_sat_mean
e1_tracking_single_obstacle,0.5,1.3,0.0,1.0,1.0,1.0,-0.19849653254954835,0.38229720485544666,14.063333333333334,259.83521938566054,1.0384475142406084,0.1910727406318883
e1_tracking_single_obstacle,0.5,1.0,0.0,1.0,1.0,1.0,-0.19907440020391232,0.3822396538123343,14.065000000000001,261.1671538637953,1.0280397303084905,0.19096660951914443
e1_tracking_single_obstacle,0.5,0.7,0.0,1.0,1.0,1.0,-0.19965540421670566,0.3821821669778766,14.065000000000001,262.6761938438941,1.0165672618316008,0.1908972160992734
e1_tracking_single_obstacle,0.5,0.3,0.0,1.0,1.0,1.0,-0.200433728671024,0.38210559087681123,14.066666666666666,264.85213354605963,0.9995657112197395,0.19075434729365662
e1_tracking_single_obstacle,0.6,1.3,0.0,1.0,1.0,1.0,-0.201326446809203,0.3831275457840359,14.311666666666667,261.11814719903145,1.0273371325747798,0.1942036084578333
e1_tracking_single_obstacle,0.6,1.0,0.0,1.0,1.0,1.0,-0.20201593280544325,0.3830546210971665,14.313333333333334,263.0463612175138,1.0123046325817868,0.19408114948159033
e1_tracking_single_obstacle,0.6,0.7,0.0,1.0,1.0,1.0,-0.2027086913118644,0.38298208412795814,14.313333333333334,264.9379738947308,0.9977399915021077,0.1940035921299698
e1_tracking_single_obstacle,0.6,0.3,0.0,1.0,1.0,1.0,-0.20363750774538716,0.3828854094561393,14.315000000000001,267.4121345355569,0.9777914808806949,0.1938729692219773
e1_tracking_single_obstacle,0.7,1.3,0.0,1.0,1.0,1.0,-0.20391531009377414,0.383978074258795,14.561666666666667,262.8176726064329,1.0125167950394134,0.1974977549187689
e1_tracking_single_obstacle,0.7,1.0,0.0,1.0,1.0,1.0,-0.20471331918643274,0.3838949102499185,14.563333333333334,265.0152059010168,0.9955785068265172,0.19739570577189974
e1_tracking_single_obstacle,0.7,0.7,0.0,1.0,1.0,1.0,-0.2055163484971709,0.38381233558423394,14.563333333333334,267.09756425785383,0.9788735736030479,0.19729365662503062
e1_tracking_single_obstacle,0.8,1.3,0.0,1.0,1.0,1.0,-0.2062828517882994,0.38485998258227533,14.813333333333334,264.42952390570395,0.9982457459289328,0.20097150787819415
e1_tracking_single_obstacle,0.7,0.3,0.0,1.0,1.0,1.0,-0.20659428091544713,0.3837029777085386,14.565000000000001,269.9311433006765,0.955259242432339,0.1971426238876643
e1_tracking_single_obstacle,0.8,1.0,0.0,1.0,1.0,1.0,-0.20718585023991634,0.38475866151691257,14.813333333333334,267.12228226562974,0.976460200526044,0.20079598334557922
e1_tracking_single_obstacle,0.8,0.7,0.0,1.0,1.0,1.0,-0.20809616112417764,0.38465849025632437,14.818333333333333,269.44408941453037,0.9571861974494678,0.20066536043758673
e1_tracking_single_obstacle,0.8,0.3,0.0,1.0,1.0,1.0,-0.2093190555342583,0.38452617141901235,14.823333333333334,272.30876694896483,0.9335519827301784,0.20048575393909707
