success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_any,inside_final,gmax_success,radius_success,sigma_success,no_collision,obs_collision,agent_collision,dwell_success,dwell_geom_success,dwell_success_no_collision,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,time_to_inside,time_to_gmax,time_to_radius,time_to_full_geom,success_hold_time,post_success_violation_count,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate,scene,method,seed,speed_scale,t_pred
False,14.100000000000001,-0.22201328665789666,0.3803847571575557,True,87.45515619615536,0.1557552136218149,0.19079108498652952,265.0612084704135,0.14886348014508716,2.003834201191806,1.7480286287382858,1.7592308479162493,109.15552513270828,130,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9961657988081938,False,False,68.0,68.0,68.0,13.25,68.0,53.95,0,265.2657796930289,0.992710451752969,0.0,e1_tracking_single_obstacle,M7,10,0.5,0.3
False,14.0,-0.20937405162695744,0.38110930913006363,True,87.00194346066463,0.15504519749373727,0.18956649522409993,265.0584707897114,0.14779460396516905,2.0022940597927907,1.7457007784037033,1.7566037448958787,108.48634634707724,164,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9977059402072093,False,False,68.0,68.0,68.0,13.200000000000001,68.0,54.050000000000004,0,265.2736842679168,0.9941543862510761,0.0,e1_tracking_single_obstacle,M7,11,0.5,0.3
False,14.05,-0.22148285227536257,0.3817003471129983,True,87.11724536091725,0.14266374097681803,0.19030124908155768,264.4384106478292,0.1385017761458018,1.9959608625801775,1.7336897851895274,1.7438903099487364,108.95946714909432,166,1.0,False,False,False,False,True,False,True,True,True,True,False,1.0040391374198225,False,False,68.0,68.0,68.0,13.25,68.0,54.0,0,264.9091725314584,1.000153599940782,0.0,e1_tracking_single_obstacle,M7,12,0.5,0.3
False,14.0,-0.19778219249725437,0.3798835249928807,True,86.72718200030081,0.1445288188809047,0.19005633112907175,265.10774713266335,0.14906797021602206,2.0045847940821395,1.7490529551973109,1.7604314350325891,108.65664907346199,108,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9954152059178605,False,False,68.0,68.0,68.0,13.200000000000001,68.0,54.050000000000004,0,265.31740215568755,0.9919370532239492,0.0,e1_tracking_single_obstacle,M7,13,0.5,0.3
False,14.05,-0.27895498969687393,0.38170282630861163,True,87.16969552918347,0.13897158764658196,0.19128092089150134,264.53951389119675,0.1389869695757979,1.9967031059353422,1.734862819797637,1.745202970483106,109.11620983943489,152,1.0,False,False,False,False,True,False,True,True,True,True,False,1.0032968940646578,False,False,68.0,68.0,68.0,13.25,68.0,54.0,0,265.0091975903467,0.9993795922467933,0.0,e1_tracking_single_obstacle,M7,14,0.5,0.3
False,14.100000000000001,-0.19130408497747997,0.38131314587389264,True,87.48009816634209,0.1449234035364967,0.1914033798677443,264.56739851069767,0.13942920614767645,1.9967032019497672,1.7350704384729956,1.7453415189796644,108.91475530518548,170,1.0,False,False,False,False,True,False,True,True,True,True,False,1.0032967980502328,False,False,68.0,68.0,68.0,13.3,68.0,53.95,0,265.0438567172967,0.9993124281892682,0.0,e1_tracking_single_obstacle,M7,15,0.5,0.3
False,14.05,-0.2146503391490483,0.3807352734004028,True,87.10006086386804,0.14712879326665707,0.19066862601028656,265.22928826558655,0.14910039262532346,2.0052248751338424,1.7499123316734706,1.761467779694145,109.25562529036917,82,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9947751248661576,False,False,68.0,68.0,68.0,13.25,68.0,54.0,0,265.44424945586945,0.991222924134666,0.0,e1_tracking_single_obstacle,M7,16,0.5,0.3
False,14.15,-0.2778501019954509,0.373799469594886,True,87.7375370632733,0.14521712670190157,0.19152583884398727,264.9526842551001,0.14279840424308798,1.9995285468930162,1.7401683272269752,1.750801438614073,109.48355390732806,168,1.0,False,False,False,False,True,False,True,True,True,True,False,1.0004714531069838,False,False,68.0,68.0,68.0,13.3,68.0,53.900000000000006,0,265.34771442079216,0.9964378895177706,0.0,e1_tracking_single_obstacle,M7,17,0.5,0.3
False,14.05,-0.18731834510300494,0.3838713326773448,True,87.09080971588605,0.15027940766731812,0.1905461670340436,264.3126899222963,0.1381135807211005,1.994881771827636,1.7321334210598835,1.7420800802035412,108.67675792396696,200,1.0,False,False,False,False,True,False,True,True,True,True,False,1.005118228172364,False,False,68.0,68.0,68.0,13.25,68.0,54.0,0,264.79074814186157,1.0012338298653276,0.0,e1_tracking_single_obstacle,M7,18,0.5,0.3
False,14.05,-0.2056808652627935,0.38017458375712915,True,87.30163420580186,0.15989739799786745,0.19030124908155768,265.14236523013443,0.14924745817938515,2.005338506791024,1.7500628688181112,1.761617200494602,109.27022090391537,87,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9946614932089761,False,False,68.0,68.0,68.0,13.25,68.0,54.0,0,265.3588642250011,0.991159363065965,0.0,e1_tracking_single_obstacle,M7,19,0.5,0.3
False,14.100000000000001,-0.17405704317577853,0.3829270577356979,True,87.46641928988618,0.14080012183181262,0.19066862601028656,264.4275585468523,0.13866827432358153,1.9957131374052093,1.7334541267028196,1.7435552270975887,109.58403208760112,184,1.0,False,False,False,False,True,False,True,True,True,True,False,1.0042868625947907,False,False,68.0,68.0,68.0,13.25,68.0,53.95,0,264.9054414264254,1.0003614747041099,0.0,e1_tracking_single_obstacle,M7,20,0.5,0.3
False,14.100000000000001,-0.1569144455866135,0.38387185382047756,True,87.34427608807749,0.13882774193008554,0.1916482978202302,265.13096675364443,0.14917213603977442,2.0050050242849857,1.7496201344546363,1.7610973322801486,109.35095169191823,96,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9949949757150143,False,False,68.0,68.0,68.0,13.3,68.0,53.95,0,265.34392498895613,0.9915036498326009,0.0,e1_tracking_single_obstacle,M7,21,0.5,0.3
False,14.100000000000001,-0.22544693541330973,0.3898858676107697,True,87.23463154866769,0.14447204299881883,0.19189321577271615,265.21997949497745,0.1483452506089407,2.00406613838433,1.7481791532850033,1.7595047075175112,109.2575702479741,108,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9959338616156699,False,False,68.0,68.0,68.0,13.25,68.0,53.95,0,265.44223504580833,0.9923181365190896,0.0,e1_tracking_single_obstacle,M7,22,0.5,0.3
False,14.05,-0.2694352844547204,0.3783476714467697,True,87.04712123048965,0.14979632637015358,0.19005633112907175,265.10417032522605,0.14880962731964623,2.003942840756074,1.748161893786505,1.7594026415531836,108.85335934097589,123,1.0,False,False,False,False,True,False,True,True,True,True,False,0.996057159243926,False,False,68.0,68.0,68.0,13.200000000000001,68.0,54.0,0,265.31069050866574,0.9925706573298416,0.0,e1_tracking_single_obstacle,M7,23,0.5,0.3
False,14.05,-0.21001689306665128,0.3883195989789319,True,87.23692679009518,0.14594111489103512,0.19079108498652952,265.165293012437,0.14809019290851536,2.0033917406167454,1.7472207228567438,1.7583899615406369,109.13346913773839,128,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9966082593832546,False,False,68.0,68.0,68.0,13.25,68.0,54.0,0,265.3864229378222,0.9930072320932805,0.0,e1_tracking_single_obstacle,M7,24,0.5,0.3
False,14.05,-0.2087821562158061,0.38055921830188677,True,87.1628663057206,0.14454815438237953,0.19030124908155768,265.08579232456805,0.14687736304755888,2.0018150161736035,1.7447448656905624,1.7556033751196345,109.00322332197541,166,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9981849838263965,False,False,68.0,68.0,68.0,13.200000000000001,68.0,54.0,0,265.3282371607001,0.9945094733434968,0.0,e1_tracking_single_obstacle,M7,25,0.5,0.3
False,14.05,-0.22542782043591425,0.3795467178782795,True,87.29664564767147,0.15746829098139353,0.19030124908155768,264.56350142724045,0.13909429945135254,1.9968873210287679,1.7351475036478412,1.745524476474203,109.35322485250066,148,1.0,False,False,False,False,True,False,True,True,True,True,False,1.0031126789712321,False,False,68.0,68.0,68.0,13.25,68.0,54.0,0,265.03266415756826,0.999189140122082,0.0,e1_tracking_single_obstacle,M7,26,0.5,0.3
False,14.05,-0.22403829656094898,0.37898881265201195,True,87.10858953560214,0.14764202853744346,0.19017879010531472,264.2917537375797,0.13786084090738282,1.9948641837062067,1.7319894927844226,1.7419729373437884,109.0444859880169,191,1.0,False,False,False,False,True,False,True,True,True,True,False,1.0051358162937933,False,False,68.0,68.0,68.0,13.200000000000001,68.0,54.0,0,264.7608403000647,1.001301366605886,0.0,e1_tracking_single_obstacle,M7,27,0.5,0.3
False,14.05,-0.1837913186496467,0.38107762297782094,True,87.30288755623909,0.15186587015588363,0.1905461670340436,265.20276873246394,0.14878012728573492,2.004500261415037,1.7488816239797134,1.7602786688091678,109.27788135674413,101,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9954997385849631,False,False,68.0,68.0,68.0,13.25,68.0,54.0,0,265.4170798687697,0.9919403470753093,0.0,e1_tracking_single_obstacle,M7,28,0.5,0.3
