step,time,agent,x,y,ux,uy
0,0.0,0,-7.088267075925242,-2.358001971219555,0.9659486887161308,0.2587337060082556
0,0.0,1,-7.162544420585444,-1.3786419314884486,0.9872372662991876,0.15925633388106922
0,0.0,2,-7.019886458355111,-0.489881355879052,0.9988973501329697,0.04694767027096151
0,0.0,3,-6.932556594335653,0.4686349239580615,0.9956955409982524,-0.09268435403716521
0,0.0,4,-7.061985308644113,1.2639385121534068,0.9842340154202461,-0.17687114727662334
0,0.0,5,-7.0603945825459,2.134814871412873,0.9674456991078961,-0.2530786817032859
1,0.05,0,-7.039969641489436,-2.345065285919142,0.9663681591980833,0.2571625570424627
1,0.05,1,-7.113182557270485,-1.370679114794395,0.9874602290924143,0.15786796955363794
1,0.05,2,-6.969941590848462,-0.48753397236550394,0.9989253079079458,0.04634899207704859
1,0.05,3,-6.88277181728574,0.46400070625620327,0.9957754654532899,-0.09182168723908614
1,0.05,4,-7.0127736078731004,1.2550949547895756,0.984478010309872,-0.1755079686639848
1,0.05,5,-7.012022297590505,2.122160937327709,0.9678218503441749,-0.25163637624690793
2,0.1,0,-6.991651233529532,-2.332207158067019,0.9667878711774095,0.25558014789899397
2,0.1,1,-7.0638095458158645,-1.3627857163167132,0.9876815838760838,0.1564771188427221
2,0.1,2,-6.919995325453065,-0.4852165227616515,0.9989527896042848,0.04575285768466971
2,0.1,3,-6.832983044013076,0.45940962189424894,0.9958546328084849,-0.09095905759759249
2,0.1,4,-6.963549707357607,1.2463195563563763,0.9847209835088022,-0.1741395546241132
2,0.1,5,-6.9636312050732965,2.1095791185153634,0.9681986816421951,-0.25018255878426654
3,0.15000000000000002,0,-6.9433118399706615,-2.3194281506720693,0.9672077277921677,0.2539866357787646
3,0.15000000000000002,1,-7.01442546662206,-1.354961860374577,0.9879012800301469,0.15508404419248537
3,0.15000000000000002,2,-6.8700476859728505,-0.482928879877418,0.9989797956324432,0.04515935962299479
3,0.15000000000000002,3,-6.7831903123726525,0.4548616690143693,0.9959330290639822,-0.0900966229310216
3,0.15000000000000002,4,-6.9143136581821665,1.2376125786251706,0.9849628746360808,-0.1727661293042888
3,0.15000000000000002,5,-6.915221270991187,2.0970699905761503,0.9685761106332236,-0.24871734511960164
4,0.2,0,-6.894951453581053,-2.306728818883131,0.9676276309124099,0.2523821858792672
4,0.2,1,-6.9650304026205525,-1.3472076581649528,0.9881192681753108,0.15368900971750432
4,0.2,2,-6.820098696191228,-0.48067091189626826,0.9990063266533608,0.04456858926193106
4,0.2,3,-6.733393660919454,0.4503568378678182,0.9960106408681786,-0.08923453995181059
4,0.2,4,-6.865065514450363,1.2289742721599561,0.9852036240291692,-0.17138791977506299
4,0.2,5,-6.866792465459525,2.0846341233201704,0.9689540536922294,-0.24724085763741635
5,0.25,0,-6.8465700720354326,-2.294109709589168,0.9680474812361024,0.25076697136191184
5,0.25,1,-6.915624439211787,-1.3395232076790775,0.9883355002188801,0.15229228100353295
5,0.25,2,-6.7701483798585596,-0.4784424824331717,0.9990323835744739,0.04398063676808844
5,0.25,3,-6.683593128876045,0.4458951108702277,0.9960874555232139,-0.08837296414177694
5,0.25,4,-6.815805333248904,1.220404876171203,0.9854431728029356,-0.17000515586277407
5,0.25,5,-6.818344762774914,2.0722720804382995,0.9693324260061321,-0.24575322529741342
6,0.30000000000000004,0,-6.798167697973628,-2.2815713610210726,0.968467178388214,0.2491411733085398
6,0.30000000000000004,1,-6.866207664200843,-1.3319085936289008,0.9885499293984984,0.15089412490627127
6,0.30000000000000004,2,-6.720196760679836,-0.4762434505947673,0.9990579675454774,0.04339559106217066
6,0.30000000000000004,3,-6.633788756099884,0.44147646266313884,0.9961634609894434,-0.08751204962890226
6,0.30000000000000004,4,-6.766533174608758,1.2119046183780642,0.9856814629076441,-0.16861806997718476
6,0.30000000000000004,5,-6.769878141474607,2.059984419173429,0.9697111416448282,-0.2442545836212357
7,0.35000000000000003,0,-6.749744339054217,-2.2691143023556455,0.9688866210227894,0.24750498066703167
7,0.35000000000000003,1,-6.816780167730918,-1.3243638873835872,0.9887625103237129,0.14949480934845547
7,0.35000000000000003,2,-6.670243862302562,-0.47407367104165876,0.9990830799538478,0.042813539777851566
7,0.35000000000000003,3,-6.583980583050412,0.4371008601816937,0.9962386458888987,-0.08665194906585433
7,0.35000000000000003,4,-6.717249101463375,1.203473714879205,0.98591843718581,-0.16722689693449916
