step,time,target_x,target_y,pred_target_x,pred_target_y
0,0.0,8.5,-0.2,8.612,-0.2
1,0.05,8.507999995916668,-0.19999300000178644,8.619999824416713,-0.19979700010182808
2,0.1,8.515999967333354,-0.19997200002858326,8.627999281334054,-0.1995800008289161
3,0.15000000000000002,8.523999889750153,-0.19993700014470275,8.635998346253698,-0.19934900284582402
4,0.2,8.531999738667308,-0.1998880004573328,8.643996994678512,-0.19910400685998378
5,0.25,8.539999489585288,-0.19982500111653345,8.651995202112643,-0.1988450136216939
6,0.30000000000000004,8.547999118004862,-0.1997480023152414,8.659992944061585,-0.19857202392412227
7,0.35000000000000003,8.555998599427175,-0.19965700428926497,8.667990196032262,-0.19828503860329919
8,0.4,8.563997909353821,-0.19955200731728565,8.675986933533094,-0.197984058538117
9,0.45,8.57199702328692,-0.19943301172085648,8.683983132074081,-0.19766908465032693
10,0.5,8.579995916729192,-0.19930001786440113,8.69197876716687,-0.19734011790453593
11,0.55,8.587994565184031,-0.19915302615521335,8.699973814324833,-0.19699715930820458
12,0.6000000000000001,8.595992944155583,-0.1989920370434555,8.707968249063148,-0.19664020991164372
13,0.65,8.603991029148819,-0.19881705102215638,8.715962046898863,-0.19626927080801032
14,0.7000000000000001,8.611988795669609,-0.1986280686272104,8.723955183350975,-0.195884343133305
15,0.75,8.6199862192248,-0.19842509043737594,8.731947633940514,-0.19548542806636834
16,0.8,8.627983275322288,-0.19820811707427383,8.739939374190607,-0.19507252682887777
17,0.8500000000000001,8.635979939471095,-0.19797714920238485,8.747930379626554,-0.194645640685343
18,0.9,8.643976187181444,-0.19773218752904723,8.755920625775905,-0.19420477094310185
19,0.9500000000000001,8.651971993964832,-0.19747323280445703,8.763910088168542,-0.19374991895231863
20,1.0,8.659967335334109,-0.19720028582166216,8.77189874233674,-0.1932810861059765
21,1.05,8.667962186803544,-0.19691334741656236,8.77988656381525,-0.19279827383987552
22,1.1,8.675956523888916,-0.19661241846790714,8.787873528141379,-0.19230148363262872
23,1.1500000000000001,8.683950322107568,-0.19629749989729026,8.795859610855052,-0.19179071700565484
24,1.2000000000000002,8.691943556978504,-0.19596859266915012,8.803844787498898,-0.19126597552317676
25,1.25,8.699936204022448,-0.19562569779076477,8.811829033618322,-0.19072726079221483
26,1.3,8.707928238761921,-0.19526881631224943,8.819812324761571,-0.19017457446258237
27,1.35,8.715919636721326,-0.1948979493265528,8.827794636479826,-0.1896079182268803
28,1.4000000000000001,8.723910373427014,-0.1945130979694561,8.835775944327265,-0.18902729382049427
29,1.4500000000000002,8.731900424407357,-0.194114263419565,8.843756223861137,-0.18843270302158477
30,1.5,8.739889765192832,-0.1937014468983106,8.85173545064184,-0.18782414765108624
31,1.55,8.747878371316087,-0.1932746496699428,8.859713600233,-0.18720162957269865
32,1.6,8.755866218312025,-0.1928338730415288,8.867690648201544,-0.18656515069288418
33,1.6500000000000001,8.76385328171787,-0.19237911836294505,8.875666570117762,-0.18591471296085726
34,1.7000000000000002,8.771839537073244,-0.1919103870268786,8.883641341555403,-0.1852503183685841
35,1.75,8.77982495992025,-0.19142768046881867,8.891614938091736,-0.18457196895077255
36,1.8,8.787809525803533,-0.19093100016705347,8.899587335307626,-0.1838796667848669
37,1.85,8.79579321027037,-0.19042034764266622,8.907558508787615,-0.18317341399104214
38,1.9000000000000001,8.803775988870731,-0.18989572445952946,8.91552843411999,-0.18245321273219653
39,1.9500000000000002,8.811757837157364,-0.18935713222430164,8.923497086896859,-0.18171906521394623
40,2.0,8.819738730685865,-0.18880457258642097,8.931464442714232,-0.1809709736846173
41,2.0500000000000003,8.827718645014752,-0.18823804723810075,8.939430477172085,-0.18020894043523936
42,2.1,8.835697555705543,-0.18765755791432498,8.947395165874445,-0.17943296779953916
43,2.15,8.843675438322835,-0.1870631063928411,8.95535848442946,-0.17864305815393164
44,2.2,8.851652268434364,-0.18645469449415658,8.963320408449471,-0.17783921391751464
45,2.25,8.859628021611098,-0.1858323240815327,8.971280913551094,-0.1770214375520608
46,2.3000000000000003,8.867602673427294,-0.18519599706097847,8.979239975355288,-0.17618973156200973
47,2.35,8.875576199460593,-0.1845457153812442,8.987197569487433,-0.1753440984944597
48,2.4000000000000004,8.883548575292073,-0.1838814810338172,8.995153671577402,-0.17448454093916144
49,2.45,8.89151977650634,-0.18320329605291538,9.003108257259637,-0.17361106152851005
50,2.5,8.8994897786916,-0.182511162515479,9.011061302173228,-0.17272366293753483
51,2.5500000000000003,8.907458557439723,-0.18180508254116615,9.019012781961981,-0.17182234788389295
52,2.6,8.915426088346331,-0.18108505829234717,9.026962672274493,-0.17090711912786205
53,2.6500000000000004,8.923392347010871,-0.18035109197409555,9.034910948764237,-0.1699779794723292
54,2.7,8.931357309036677,-0.17960318583418222,9.042857587089614,-0.1690349317627836
55,2.75,8.939320950031062,-0.17884134216306913,9.050802562914058,-0.16807797888730808
56,2.8000000000000003,8.947283245605382,-0.17806556329390152,9.058745851906082,-0.16710712377656967
57,2.85,8.955244171375112,-0.17727585160250287,9.066687429739373,-0.16612236940381264
58,2.9000000000000004,8.963203702959921,-0.1764722095073637,9.074627272092853,-0.16512371878484564
59,2.95,8.971161815983752,-0.17565463946963708,9.082565354650757,-0.16411117497803512
60,3.0,8.979118486074892,-0.17482314399313098,9.090501653102724,-0.16308474108429613
61,3.0500000000000003,8.98707368886604,-0.1739777256243001,9.098436143143836,-0.1620444202470821
62,3.1,8.995027399994399,-0.17311838695223686,9.106368800474728,-0.1609902156523741
63,3.1500000000000004,9.002979595101731,-0.17224513060866514,9.114299600801644,-0.15992213052867274
64,3.2,9.010930249834447,-0.17135795926793276,9.122228519836511,-0.1588401681469888
65,3.25,9.018879339843672,-0.17045687564700043,9.130155533297023,-0.15774433182083047
66,3.3000000000000003,9.026826840785324,-0.1695418825054359,9.138080616906707,-0.15663462490619548
67,3.35,9.034772728320187,-0.16861298264540556,9.146003746395,-0.15551105080156097
68,3.4000000000000004,9.042716978113988,-0.1676701789116642,9.153924897497324,-0.15437361294787147
69,3.45,9.050659565837469,-0.1667134741915479,9.161844045955162,-0.1532223148285299
70,3.5,9.058600467166459,-0.16574287141496336,9.169761167516125,-0.15205715996938513
71,3.5500000000000003,9.066539657781954,-0.1647583735543814,9.177676237934037,-0.1508781519387235
72,3.6,9.074477113370191,-0.16375998362482613,9.185589232968999,-0.14968529434725644
73,3.6500000000000004,9.082412809622717,-0.16274770468386504,9.193500128387472,-0.14847859084810847
74,3.7,9.090346722236468,-0.16172153983160262,9.201408899962342,-0.14725804513680912
75,3.75,9.098278826913845,-0.1606814922106669,9.209315523473006,-0.14602366095127772
76,3.8000000000000003,9.106209099362781,-0.15962756500620423,9.217219974705433,-0.14477544207181609
77,3.85,9.114137515296825,-0.15855976144586464,9.225122229452248,-0.14351339232109245
78,3.9000000000000004,9.122064050435208,-0.1574780847997962,9.233022263512803,-0.1422375155641336
79,3.95,9.129988680502922,-0.1563825383806324,9.240920052693248,-0.1409478157083108
80,4.0,9.137911381230795,-0.155273125543484,9.248815572806611,-0.1396442967033295
81,4.05,9.145832128355561,-0.1541498496859267,9.256708799672866,-0.13832696254121543
82,4.1000000000000005,9.15375089761994,-0.15301271424799187,9.264599709119016,-0.13699581725630333
83,4.15,9.161667664772706,-0.15186172271215548,9.272488276979153,-0.1356508649252242
84,4.2,9.169582405568764,-0.15069687860332867,9.280374479094545,-0.13429210966689395
85,4.25,9.17749509576923,-0.14951818548884555,9.288258291313706,-0.1329195556424994
86,4.3,9.185405711141494,-0.14832564697845307,9.296139689492465,-0.1315332070554865
87,4.3500000000000005,9.193314227459302,-0.14711926672429926,9.304018649494047,-0.13013306815154635
88,4.4,9.201220620502832,-0.1458990484209221,9.311895147189144,-0.12871914321860273
89,4.45,9.20912486605876,-0.14466499580524045,9.319769158455989,-0.12729143658680084
90,4.5,9.21702693992034,-0.14341711265653825,9.327640659180425,-0.12584995262848994
91,4.55,9.224926817887475,-0.14215540279645794,9.335509625255987,-0.1243946957582148
92,4.6000000000000005,9.232824475766797,-0.14087987008898367,9.343376032583977,-0.12292567043269712
93,4.65,9.240719889371737,-0.13959051844043427,9.351239857073528,-0.12144288115082671
94,4.7,9.248613034522593,-0.13828735179944748,9.35910107464168,-0.11994633245364394
95,4.75,9.256503887046616,-0.13697037415697083,9.366959661213462,-0.11843602892432872
96,4.800000000000001,9.264392422778077,-0.13563958954624686,9.37481559272196,-0.11691197518818397
97,4.8500000000000005,9.27227861755834,-0.13429500204280254,9.38266884510839,-0.11537417591262321
98,4.9,9.280162447235941,-0.13293661576443605,9.39051939432217,-0.1138226358071555
99,4.95,9.288043887666657,-0.13156443487120456,9.398367216321,-0.1122573596233715
100,5.0,9.295922914713582,-0.13017846356541007,9.406212287070934,-0.11067835215492733
101,5.050000000000001,9.303799504247204,-0.12877870609158973,9.414054582546447,-0.10908561823753325
102,5.1000000000000005,9.311673632145471,-0.12736516673649917,9.421894078730515,-0.10747916274893514
103,5.15,9.319545274293874,-0.12593784982910167,9.429730751614688,-0.10585899060890175
104,5.2,9.327414406585516,-0.12449675974055371,9.43756457719916,-0.10422510677920857
105,5.25,9.335281004921184,-0.12304190088419348,9.445395531492846,-0.10257751626362446
106,5.300000000000001,9.343145045209427,-0.1215732777155239,9.453223590513458,-0.10091622410789292
107,5.3500000000000005,9.351006503366628,-0.12009089473220334,9.461048730287567,-0.09924123539972093
108,5.4,9.358865355317079,-0.1185947564740284,9.468870926850693,-0.09755255526875996
109,5.45,9.36672157699305,-0.1170848675229207,9.476690156247363,-0.09585018888659098
110,5.5,9.374575144334868,-0.11556123250291425,9.48450639453119,-0.09413414146670998
111,5.550000000000001,9.38242603329099,-0.11402385608014064,9.492319617764954,-0.09240441826451136
112,5.6000000000000005,9.390274219818076,-0.11247274296281286,9.500129802020666,-0.09066102457726999
113,5.65,9.39811967988106,-0.11090789790121464,9.507936923379638,-0.08890396574412869
114,5.7,9.405962389453224,-0.10932932568768268,9.515740957932572,-0.08713324714607867
115,5.75,9.41380232451628,-0.10773703115659239,9.523541881779616,-0.08534887420594353
116,5.800000000000001,9.421639461060431,-0.10613101918434478,9.531339671030448,-0.08355085238836422
117,5.8500000000000005,9.429473775084453,-0.1045112946893512,9.539134301804342,-0.08173918719978211
118,5.9,9.437305242595764,-0.10287786263201551,9.54692575023025,-0.07991388418841927
119,5.95,9.445133839610504,-0.10123072801472252,9.554713992446866,-0.07807494894426517
120,6.0,9.452959542153598,-0.09956989588182069,9.562499004602703,-0.07622238709905754
121,6.050000000000001,9.460782326258839,-0.09789537131960681,9.57028076285617,-0.07435620432626525
122,6.1000000000000005,9.468602167968957,-0.09620715945631196,9.578059243375636,-0.07247640634107251
123,6.15,9.476419043335692,-0.0945052654620826,9.585834422339513,-0.07058299890035813
124,6.2,9.484232928419871,-0.09278969454896845,9.59360627593632,-0.06867598780268161
125,6.25,9.492043799291475,-0.09106045197090418,9.601374780364761,-0.06675537888826304
126,6.300000000000001,9.499851632029719,-0.08931754302369321,9.609139911833799,-0.06482117803896509
127,6.3500000000000005,9.507656402723121,-0.08756097304499298,9.616901646562724,-0.06287339117827649
128,6.4,9.515458087469579,-0.08579074741429818,9.62465996078123,-0.06091202427129349
129,6.45,9.523256662376436,-0.08400687155292297,9.632414830729482,-0.05893708332470027
130,6.5,9.531052103560565,-0.08220935092398585,9.640166232658203,-0.056948574386751986
131,6.550000000000001,9.538844387148433,-0.08039819103239228,9.647914142828727,-0.05494650354725565
132,6.6000000000000005,9.546633489276177,-0.07857339742481803,9.655658537513085,-0.052930876937551684
133,6.65,9.554419386089679,-0.07673497568969238,9.663399392994076,-0.050901700730495256
134,6.7,9.562202053744635,-0.07488293145718036,9.671136685565335,-0.04885898114043684
135,6.75,9.56998146840663,-0.07301727039916547,9.678870391531408,-0.046802724423203046
136,6.800000000000001,9.577757606251215,-0.07113799822923408,9.686600487207832,-0.04473293687607932
137,6.8500000000000005,9.585530443463973,-0.06924512070265487,9.694326948921189,-0.04264962483778753
138,6.9,9.593299956240596,-0.06733864361636496,9.702049753009197,-0.04055279468847034
139,6.95,9.601066120786959,-0.06541857280894775,9.709768875820778,-0.03844245284966726
140,7.0,9.608828913319186,-0.06348491416061891,9.717484293716122,-0.03631860578429884
141,7.050000000000001,9.616588310063733,-0.06153767359320661,9.725195983066767,-0.034181259996645126
142,7.1000000000000005,9.624344287257454,-0.05957685707013405,9.732903920255673,-0.03203042203232641
143,7.15,9.632096821147673,-0.05760247059639945,9.740608081677285,-0.029866098478281432
144,7.2,9.639845887992264,-0.05561452021856056,9.748308443737619,-0.027688295962750097
145,7.25,9.647591464059712,-0.0536130120247135,9.756004982854318,-0.025497021155250547
146,7.300000000000001,9.6553335256292,-0.05159795214447549,9.76369767545674,-0.023292280766560113
147,7.3500000000000005,9.663072048990667,-0.04956934674896599,9.771386497986017,-0.021074081548694654
148,7.4,9.670807010444893,-0.04752720205078753,9.779071426895138,-0.018842430294887653
149,7.45,9.678538386303565,-0.04547152430400683,9.786752438649012,-0.016597333839569486
150,7.5,9.68626615288935,-0.043402319804134504,9.794429509724552,-0.014338799058345425
151,7.550000000000001,9.69399028653597,-0.041319594888108935,9.802102616610728,-0.012066832867977686
152,7.6000000000000005,9.70171076358827,-0.039223355934272286,9.80977173580866,-0.009781442226359686
153,7.65,9.709427560402295,-0.03711360936235583,9.817436843831672,-0.00748263413249961
154,7.7,9.71714065334536,-0.03499036163345612,9.82509791720538,-0.00517041562649476
155,7.75,9.724850018796129,-0.0328536192500177,9.832754932467754,-0.002844793789512537
156,7.800000000000001,9.732555633144672,-0.030703388755812827,9.84040786616919,-0.0005057757437683733
157,7.8500000000000005,9.74025747279255,-0.028539676735920172,9.84805669487258,0.0018466313474973135
158,7.9,9.747955514152888,-0.02636248981670694,9.855701395153398,0.004212420280038827
159,7.95,9.75564973365044,-0.02417183466580522,9.863341943599751,0.006591583808630553
160,8.0,9.763340107721662,-0.021967717992095542,9.870978316812469,0.0089841146470852
161,8.05,9.771026612814794,-0.01975014654568366,9.878610491405162,0.011390005468278785
162,8.1,9.778709225389916,-0.017519127117879674,9.886238444004304,0.013809248904173267
163,8.15,9.786387921919035,-0.015274666541179344,9.893862151249294,0.016241837545837016
164,8.200000000000001,9.79406267888615,-0.013016771689241091,9.901481589792535,0.018687763943469562
165,8.25,9.801733472787319,-0.01074544947686637,9.909096736299503,0.02114702060642297
166,8.3,9.809400280130747,-0.00846070685997774,9.916707567448817,0.023619600003225584
167,8.35,9.817063077436842,-0.00616255083559758,9.924314059932314,0.026105494561605026
168,8.4,9.82472184123829,-0.003850988441826797,9.931916190455114,0.0286046966685113
169,8.450000000000001,9.832376548080134,-0.0015260267578234843,9.9395139357357,0.03111719867013981
170,8.5,9.840027174519841,0.0008123270962188955,9.947107272505985,0.033642992871955026
171,8.55,9.847673697127375,0.0031640659590933817,9.954696177511376,0.03618207153871407
172,8.6,9.855316092485264,0.005529182628602303,9.962280627510863,0.038734426894491254
173,8.65,9.862954337188679,0.007907669861576483,9.96986059927707,0.04130005112269911
174,8.700000000000001,9.870588407845501,0.010299520373901805,9.97743606959634,0.04387893636611659
175,8.75,9.878218281076396,0.01270472684053739,9.985007015268803,0.04647107472690908
176,8.8,9.885843933514883,0.015123281895539936,9.992573413108442,0.04907645826665455
177,8.85,9.893465341807405,0.01755517813208715,10.000135239943168,0.05169507900636857
178,8.9,9.901082482613408,0.02000040810249845,10.007692472614897,0.054326928926526935
179,8.950000000000001,9.908695332605403,0.02245896431825886,10.015245087979606,0.05697199996709122
180,9.0,9.916303868469042,0.024930839250042414,10.022793062907416,0.05963028402753394
181,9.05,9.923908066903191,0.02741602532773335,10.030336374282662,0.062301772966861534
182,9.1,9.931507904619998,0.02991451494045122,10.037874999003957,0.06498645860364118
183,9.15,9.939103358344967,0.03242630043657435,10.045408913984271,0.06768433271602603
184,9.200000000000001,9.946694404817025,0.03495137412376112,10.052938096150992,0.07039538704177822
185,9.25,9.9542810207886,0.037489728268975314,10.06046252244601,0.07311961327829598
186,9.3,9.961863183025683,0.04004135509850901,10.06798216982577,0.07585700308263825
187,9.35,9.969440868307913,0.04260624679800762,10.075497015261362,0.07860754807155149
188,9.4,9.977014053428631,0.04518439551249215,10.083007035738575,0.08137123982149361
189,9.450000000000001,9.984582715194964,0.047775793346384376,10.090512208257978,0.08414806986866102
190,9.5,9.992146830427894,0.0503804323635299,10.098012509834987,0.0869380297090133
191,9.55,9.99970637596232,0.05299830458722432,10.105507917499933,0.08974111079830119
192,9.600000000000001,10.007261328647145,0.05562940200023575,10.11299840829814,0.0925573045520908
193,9.65,10.014811665345327,0.05827371654482988,10.12048395928998,0.09538660234579038
194,9.700000000000001,10.022357362933967,0.06093124012279644,10.127964547550958,0.09822899551467863
195,9.75,10.029898398304374,0.06360196459547118,10.135440150171785,0.10108447535392834
196,9.8,10.03743474836213,0.06628588178376282,10.142910744258428,0.10395303311863505
197,9.850000000000001,10.044966390027174,0.06898298346817633,10.150376306932204,0.10683466002384209
198,9.9,10.052493300233854,0.0716932613888398,10.157836815329828,0.10972934724456923
199,9.950000000000001,10.060015455931016,0.07441670724553034,10.1652922466035,0.11263708591584023
200,10.0,10.067532834082064,0.07715331269769649,10.172742577920971,0.11555786713270705
201,10.05,10.075045411665032,0.0799030693644861,10.180187786465602,0.11849168195027937
202,10.100000000000001,10.082553165672657,0.08266596882477145,10.18762784943645,0.12143852138375155
203,10.15,10.09005607311245,0.08544200261717527,10.195062744048329,0.12439837640843031
204,10.200000000000001,10.097554111006762,0.0882311622400968,10.20249244753188,0.12737123795976246
205,10.25,10.105047256392858,0.09103343915173545,10.20991693713364,0.13035709693336045
206,10.3,10.112535486322985,0.09384882477012191,10.217336190116116,0.13335594418503502
207,10.350000000000001,10.120018777864445,0.09667731047313899,10.224750183757854,0.1363677705308179
208,10.4,10.127497108099664,0.09951888759855193,10.2321588953535,0.1393925667469937
209,10.450000000000001,10.134970454126263,0.10237354744403276,10.239562302213884,0.1424303235701262
210,10.5,10.142438793057122,0.10524128126718757,10.246960381666076,0.1454810316970871
