scene,method,k_s,k_t,r0,topo_rho_floor,success_rate,collision_rate,obs_collision_rate,agent_collision_rate,min_obs_distance_mean,min_agent_distance_mean,completion_time_mean,input_sat_mean,control_cost_mean,control_smoothness_mean,radius_error_final_mean,last_10s_inside_rate_mean
s4_narrow_passage_easy,M4,3.4,1.4,1.8,0.65,1.0,0.0,0.0,0.0,0.9292882970975508,0.4510161300232911,15.75,0.026989079563182528,91.29002001179609,457.7423030325327,1.9668420798286426,0.9971666666666666
s4_narrow_passage_easy,M5,3.4,1.4,1.8,0.65,1.0,0.0,0.0,0.0,1.049672189746515,0.44534716266952085,16.061666666666667,0.0051222048881955275,90.33071832530217,446.9598751968787,1.9667028234964639,0.9893333333333333
s4_narrow_passage_easy,M6,3.4,1.4,1.8,0.65,0.7666666666666667,0.23333333333333334,0.0,0.23333333333333334,0.9295155530711755,0.3665388439260422,15.75,0.02690240942971052,91.45777726079152,459.2503100429554,2.0385635525575987,0.9938333333333333
s4_narrow_passage_easy,M7,3.4,1.4,1.8,0.65,0.7333333333333333,0.26666666666666666,0.0,0.26666666666666666,1.0498152494307578,0.3638174681046202,16.061666666666667,0.005078869821459525,90.50414124843502,448.0806350362436,2.0380088661504088,0.9845
s4_narrow_passage_hard,M4,3.4,1.4,1.8,0.65,0.06666666666666667,0.9333333333333333,0.0,0.9333333333333333,0.42832560535596614,0.3818410087003155,18.58833333333333,0.05486168933296327,104.90240375561358,1772.5015091752182,1.9682616734611877,1.0
s4_narrow_passage_hard,M5,3.4,1.4,1.8,0.65,0.0,1.0,0.0,1.0,0.7066236070819926,0.36539080117367817,19.891666666666666,0.04262651494125266,103.97581218969528,1859.455997288483,1.9672642574735422,1.0
s4_narrow_passage_hard,M6,3.4,1.4,1.8,0.65,0.0,1.0,0.0,1.0,0.4379553253686147,0.36958808433657925,18.593333333333337,0.05471366453881025,104.92364151742831,1450.3541001837552,2.036862673228474,1.0
s4_narrow_passage_hard,M7,3.4,1.4,1.8,0.65,0.0,1.0,0.0,1.0,0.7004083664203556,0.3619629720388781,19.878333333333334,0.0430243315755389,104.05700730621562,1562.8074698861294,2.038124028029009,1.0
s4_narrow_passage_medium,M4,3.4,1.4,1.8,0.65,0.7,0.3,0.0,0.3,0.5794534765076822,0.41174541477163457,16.713333333333335,0.0731585518102372,94.62626700769987,815.9622935671258,1.9672399941543144,1.0
s4_narrow_passage_medium,M5,3.4,1.4,1.8,0.65,0.3,0.7,0.0,0.7,0.8084863780083437,0.34738591141689396,17.696666666666665,0.04536690248300735,92.57861905174624,808.6574315637112,1.9656949710692118,1.0
s4_narrow_passage_medium,M6,3.4,1.4,1.8,0.65,0.6,0.4,0.0,0.4,0.5815443767739794,0.37215898636649286,16.721666666666668,0.07314468026078513,94.74047105080363,741.9157995077538,2.0378337966601814,1.0
s4_narrow_passage_medium,M7,3.4,1.4,1.8,0.65,0.2,0.8,0.0,0.8,0.8060408787976677,0.3335842952276541,17.696666666666665,0.045464003329171866,92.61939577382431,746.9321087794195,2.0396876949022062,1.0
