success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_any,inside_final,gmax_success,radius_success,sigma_success,no_collision,obs_collision,agent_collision,dwell_success,dwell_geom_success,dwell_success_no_collision,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,time_to_inside,time_to_gmax,time_to_radius,time_to_full_geom,success_hold_time,post_success_violation_count,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate,scene,method,seed,k_s,k_t,r0,topo_rho_floor
True,16.0,0.9251225942766954,0.5938035818725579,False,91.11825268640202,475.7264415258893,0.02782111284451378,72.4914232777482,0.13265855700562382,0.8331123339048149,0.006368908836173969,0.006368908836173969,117.38062845677796,0,0.0,True,True,True,False,True,True,False,False,True,True,True,1.966887666095185,False,True,21.55,21.450000000000003,21.55,18.7,32.0,16.05,0,93.89039580201697,1.934327280775442,0.995,s4_narrow_passage_easy,M4,10,3.4,1.4,1.8,0.65
True,15.75,0.9175105996123256,0.41067156755591394,False,91.19643636043175,462.60257621569826,0.02080083203328133,72.31107808905666,0.1287144241739771,0.8355434037244917,0.009519143082075509,0.009519143082075509,116.95224275379867,0,0.0,True,True,True,False,True,True,False,False,True,True,True,1.9644565962755083,False,True,22.0,21.6,22.0,18.45,32.0,16.3,0,89.7115611997034,1.9425191016575802,1.0,s4_narrow_passage_easy,M4,11,3.4,1.4,1.8,0.65
True,15.950000000000001,0.9458577692640766,0.5501329490618042,False,90.93670700793987,470.2068939812221,0.02314092563702548,72.47154220332737,0.1333155165924622,0.8327067148421051,0.005952557699862652,0.005952557699862652,117.16200845697195,0,0.0,True,True,True,False,True,True,False,False,True,True,True,1.9672932851578948,False,True,21.400000000000002,21.400000000000002,21.400000000000002,18.650000000000002,32.0,16.1,0,92.6902471691086,1.9365749666140608,0.985,s4_narrow_passage_easy,M4,12,3.4,1.4,1.8,0.65
True,15.3,0.9268509311223045,0.291526548325378,False,91.02061110290924,400.5826080904528,0.030681227249089962,72.2081426091969,0.12960558394138813,0.834994901420528,0.009729100787527636,0.009729100787527636,116.09466126067245,0,0.0,True,True,True,False,True,True,False,False,True,True,True,1.9650050985794718,False,True,21.950000000000003,21.700000000000003,21.950000000000003,18.3,32.0,16.75,0,83.8746358285292,1.9471444530369464,1.0,s4_narrow_passage_easy,M4,13,3.4,1.4,1.8,0.65
True,15.5,0.9569529911573764,0.3254424402618022,False,91.43929542605457,449.6159746396228,0.02418096723868955,72.2578425515567,0.1355981337799944,0.8313075764370669,0.0037785122275559467,0.0037785122275559467,116.80348864948007,0,0.0,True,True,True,False,True,True,False,False,True,True,True,1.968692423562933,False,True,22.05,21.650000000000002,22.05,18.45,32.0,16.55,0,88.11817371222187,1.9439175062486982,0.995,s4_narrow_passage_easy,M4,14,3.4,1.4,1.8,0.65
True,15.950000000000001,0.9684586214019308,0.5006916729109656,False,91.43998615252713,476.6944332976636,0.01846073842953718,72.47257449924848,0.13330081179065742,0.832717107210911,0.005867311903194397,0.005867311903194397,117.6179078287502,0,0.0,True,True,True,False,True,True,False,False,True,True,True,1.9672828927890889,False,True,21.55,21.450000000000003,21.55,18.650000000000002,32.0,16.1,0,93.52102490156754,1.9351801900764332,0.995,s4_narrow_passage_easy,M4,15,3.4,1.4,1.8,0.65
True,15.8,0.9395430006450174,0.4885585383338908,False,91.34544002596058,475.4544501836821,0.02626105044201768,72.34205260429789,0.1296182078595433,0.8349841518949482,0.00854467496493871,0.00854467496493871,117.34864577622865,0,0.0,True,True,True,False,True,True,False,False,True,True,True,1.9650158481050517,False,True,21.900000000000002,21.5,21.900000000000002,18.5,32.0,16.25,0,91.37373565894347,1.9404741320006706,1.0,s4_narrow_passage_easy,M4,16,3.4,1.4,1.8,0.65
True,16.0,0.9461649711811235,0.581000613809405,False,91.6322839600102,472.75868728897757,0.01924076963078523,72.4722718047831,0.1314639145750963,0.8338475261343907,0.0071703802977119676,0.0071703802977119676,117.72666790058604,0,0.0,True,True,True,False,True,True,False,False,True,True,True,1.966152473865609,False,True,21.8,21.450000000000003,21.8,18.7,32.0,16.05,0,93.42964992604655,1.9350429919225705,0.995,s4_narrow_passage_easy,M4,17,3.4,1.4,1.8,0.65
True,15.9,0.9587100711201355,0.5644900363643296,False,91.23938187693363,478.97061528336246,0.02782111284451378,72.43974600719272,0.131128620719763,0.8340527504828762,0.007303260976952093,0.007303260976952093,117.36609704526082,0,0.0,True,True,True,False,True,True,False,False,True,True,True,1.9659472495171237,False,True,21.900000000000002,21.400000000000002,21.900000000000002,18.6,32.0,16.150000000000002,0,92.84247370262037,1.9375211200376226,0.995,s4_narrow_passage_easy,M4,18,3.4,1.4,1.8,0.65
True,15.65,0.8236618332657133,0.4331461567717834,False,91.42706829659107,462.8846274039717,0.04628185127405096,72.35015921360626,0.1361933635813088,0.830943885047232,0.004605426041948615,0.004605426041948615,117.33186749899252,0,0.0,True,True,True,False,True,True,False,False,True,True,True,1.9690561149527679,False,True,21.75,21.650000000000002,21.75,18.6,32.0,16.400000000000002,0,90.8808776362975,1.9393086419286425,0.995,s4_narrow_passage_easy,M4,19,3.4,1.4,1.8,0.65
