step,time,agent,omega,rho,psi_tilde,phi
15,0.75,0,0.0,1.0,0.9987084955029412,0.0
15,0.75,1,0.0,1.0,0.9987084955029412,0.0
15,0.75,2,0.0,1.0,0.9987084955029412,0.0
15,0.75,3,0.0,1.0,0.9987084955029412,0.0
15,0.75,4,0.0,1.0,0.9987084955029412,0.0
15,0.75,5,0.0,1.0,0.9987084955029412,0.0
16,0.8,0,0.0,1.0,0.9987154750442966,0.0
16,0.8,1,0.0,1.0,0.9987154750442966,0.0
16,0.8,2,0.0,1.0,0.9987154750442966,0.0
16,0.8,3,0.0,1.0,0.9987154750442966,0.0
16,0.8,4,0.0,1.0,0.9987154750442966,0.0
16,0.8,5,0.0,1.0,0.9987154750442966,0.0
17,0.8500000000000001,0,0.0,1.0,0.9987225660553399,0.0
17,0.8500000000000001,1,0.0,1.0,0.9987225660553399,0.0
17,0.8500000000000001,2,0.0,1.0,0.9987225660553399,0.0
17,0.8500000000000001,3,0.0,1.0,0.9987225660553399,0.0
17,0.8500000000000001,4,0.0,1.0,0.9987225660553399,0.0
17,0.8500000000000001,5,0.0,1.0,0.9987225660553399,0.0
18,0.9,0,0.0,1.0,0.9987298822986052,0.0
18,0.9,1,0.0,1.0,0.9987298822986052,0.0
18,0.9,2,0.0,1.0,0.9987298822986052,0.0
18,0.9,3,0.0,1.0,0.9987298822986052,0.0
18,0.9,4,0.0,1.0,0.9987298822986054,0.0
18,0.9,5,0.0,1.0,0.9987298822986052,0.0
19,0.9500000000000001,0,0.0,1.0,0.99873749723379,0.0
19,0.9500000000000001,1,0.0,1.0,0.99873749723379,0.0
19,0.9500000000000001,2,0.0,1.0,0.99873749723379,0.0
19,0.9500000000000001,3,0.0,1.0,0.99873749723379,0.0
19,0.9500000000000001,4,0.0,1.0,0.9987374972337902,0.0
19,0.9500000000000001,5,0.0,1.0,0.99873749723379,0.0
20,1.0,0,0.0,1.0,0.9987454469483379,0.0
20,1.0,1,0.0,1.0,0.9987454469483379,0.0
20,1.0,2,0.0,1.0,0.9987454469483379,0.0
20,1.0,3,0.0,1.0,0.9987454469483379,0.0
20,1.0,4,0.0,1.0,0.9987454469483382,0.0
20,1.0,5,0.0,1.0,0.9987454469483379,0.0
21,1.05,0,0.0,1.0,0.9987537346060037,0.0
21,1.05,1,0.0,1.0,0.9987537346060037,0.0
21,1.05,2,0.0,1.0,0.9987537346060037,0.0
21,1.05,3,0.0,1.0,0.9987537346060037,0.0
21,1.05,4,0.0,1.0,0.9987537346060037,0.0
21,1.05,5,0.0,1.0,0.9987537346060037,0.0
22,1.1,0,0.0,1.0,0.9987623359482694,0.0
