success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_any,inside_final,gmax_success,radius_success,sigma_success,no_collision,obs_collision,agent_collision,dwell_success,dwell_geom_success,dwell_success_no_collision,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,time_to_inside,time_to_gmax,time_to_radius,time_to_full_geom,success_hold_time,post_success_violation_count,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate,scene,method,seed,eta_min,sigma_omega
False,19.8,0.9629392228799982,0.2701167924000392,True,97.81265008778658,1462.8930554704914,0.01893466500208073,75.037044640645,0.010269158274666323,0.260683239353198,0.006579400761800149,0.006579400761800149,139.03883580323586,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.539316760646802,False,False,25.950000000000003,25.450000000000003,25.950000000000003,22.35,40.0,20.25,0,74.88932024843041,2.5412859459551123,1.0,s4_narrow_passage_medium,M7,10,0.06,2.0
False,19.8,0.9844437765487875,0.25608824638999145,True,97.91838611729946,1494.1123642505445,0.020599250936329586,74.36257325419535,0.01026696608528783,0.26067587202991743,0.006561733176763621,0.006561733176763621,139.04958732932988,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5393241279700822,False,False,25.5,25.3,25.5,22.35,40.0,20.25,0,74.85229363772018,2.541323729373013,1.0,s4_narrow_passage_medium,M7,11,0.06,2.0
False,19.85,0.9729032414295353,0.2581833838312939,True,98.04288880452748,1503.7901073857847,0.02372034956304619,75.30507688487232,0.01026272582955944,0.26065925643584725,0.006543032343146464,0.006543032343146464,139.26958496353492,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5393407435641526,False,False,25.650000000000002,25.35,25.650000000000002,22.400000000000002,40.0,20.200000000000003,0,74.95564670372107,2.541307941190673,1.0,s4_narrow_passage_medium,M7,12,0.06,2.0
False,19.6,0.9743995498471631,0.26694923992177905,True,98.2489569360618,1477.9354078354747,0.013524760715771952,75.07636172070112,0.010269559496340399,0.2606831404417778,0.0065794137957267415,0.0065794137957267415,139.27846924733672,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.539316859558222,False,False,25.950000000000003,25.55,25.950000000000003,22.1,40.0,20.450000000000003,0,74.91751148637464,2.54133154811983,1.0,s4_narrow_passage_medium,M7,13,0.06,2.0
False,19.05,0.9618888691758845,0.2666028885724418,True,98.71928029299244,1446.115446498301,0.00957136912193092,75.18413372782133,0.010269308424245187,0.26068701217175777,0.006577510964882172,0.006577510964882172,139.2650584876004,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.539312987828242,False,False,25.05,24.8,25.05,21.6,40.0,21.0,0,74.83293950001594,2.5413410551240316,1.0,s4_narrow_passage_medium,M7,14,0.06,2.0
False,19.8,0.9794422667251108,0.2680280824783558,True,97.97548928820746,1475.556449318377,0.022888056595921764,75.34215715404912,0.010266596294733603,0.26068942653381694,0.006556356136021778,0.006556356136021778,139.34763447612696,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.539310573466183,False,False,26.150000000000002,25.650000000000002,26.150000000000002,22.35,40.0,20.25,0,74.92381522046517,2.54132973082085,1.0,s4_narrow_passage_medium,M7,15,0.06,2.0
False,19.650000000000002,0.9778162009605011,0.2680288224155111,True,97.83377917280012,1464.695208926911,0.01706200582605077,74.95726924285042,0.010269489805567768,0.2606806322930716,0.0065793850597820665,0.0065793850597820665,139.06914293457547,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5393193677069283,False,False,25.450000000000003,25.35,25.450000000000003,22.150000000000002,40.0,20.400000000000002,0,74.91910501707459,2.541329481902273,1.0,s4_narrow_passage_medium,M7,16,0.06,2.0
False,19.55,0.9969893109526817,0.2689068064252211,True,97.64204005445134,1431.313896949126,0.016229712858926344,74.50704415182386,0.010267752171860522,0.26067645833538444,0.006566731691808742,0.006566731691808742,138.81393820145053,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5393235416646154,False,False,25.55,25.450000000000003,25.55,22.1,40.0,20.5,0,74.88265245213034,2.5413308918994444,1.0,s4_narrow_passage_medium,M7,17,0.06,2.0
False,19.900000000000002,0.9841478577321727,0.26670926921395643,True,98.38060506908259,1493.3405633141401,0.021431543903454017,73.1640616111223,0.010261620251387748,0.2606627196180203,0.006533280084466789,0.006533280084466789,139.5704887921259,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5393372803819796,False,False,25.75,25.650000000000002,25.75,22.400000000000002,40.0,20.150000000000002,0,74.92333572042752,2.5413281986436673,1.0,s4_narrow_passage_medium,M7,18,0.06,2.0
False,19.700000000000003,0.9749754267737318,0.26814680185557654,True,97.90183975758367,1449.3557910242178,0.02039117769454848,75.2051447869254,0.010269182646990659,0.2606873790430871,0.0065760833403758255,0.0065760833403758255,138.99051791933186,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.539312620956913,False,False,25.8,25.3,25.8,22.25,40.0,20.35,0,74.92648451999594,2.541330355616447,1.0,s4_narrow_passage_medium,M7,19,0.06,2.0
False,19.700000000000003,0.9936569025837934,0.26133056180744324,True,95.9282776449556,1311.8688937204497,0.015605493133583021,75.30952193689774,0.010268258626502201,0.26068903840713037,0.006563549546679058,0.006563549546679058,136.6219552826931,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5393109615928693,False,False,25.6,25.6,25.6,22.25,40.0,20.35,0,74.82250412971668,2.5412826380297107,1.0,s4_narrow_passage_medium,M7,20,0.06,2.0
False,19.950000000000003,0.9578304956944892,0.26780188463581006,True,97.87673225213983,1446.3501440503474,0.019350811485642945,73.19200868608328,0.010261638126735645,0.2606630649644411,0.006533453638609143,0.006533453638609143,138.96189872358656,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.539336935035559,False,False,25.900000000000002,25.900000000000002,25.900000000000002,22.5,40.0,20.1,0,74.93263141513495,2.541340132126528,1.0,s4_narrow_passage_medium,M7,21,0.06,2.0
False,19.5,0.9758461284082249,0.2680453692358418,True,98.2133090213188,1452.4087778432336,0.014773200166458594,74.4527855566052,0.010267435088382857,0.26067636776677117,0.006564968483392018,0.006564968483392018,139.28061471918943,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.539323632233229,False,False,25.450000000000003,25.35,25.450000000000003,22.05,40.0,20.55,0,74.87124594137207,2.5413296546889717,1.0,s4_narrow_passage_medium,M7,22,0.06,2.0
False,19.0,0.8767376807791634,0.2581279025029326,True,98.48225769445204,1435.505197629793,0.015189346650020807,75.1240674684361,0.010269473393605299,0.26068471466256676,0.006579310416269522,0.006579310416269522,138.96992704699645,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.539315285337433,False,False,24.650000000000002,24.5,24.650000000000002,21.55,40.0,21.05,0,74.90116420105538,2.5413229562938326,1.0,s4_narrow_passage_medium,M7,23,0.06,2.0
False,19.650000000000002,0.9820756925685716,0.26859915179797694,True,97.69631814954778,1442.219292796896,0.0178942987931752,75.0320837315829,0.012053034839140121,0.2566592456022149,0.004235900553902267,0.004235900553902267,138.781640067179,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.543340754397785,False,False,25.6,25.6,25.6,22.200000000000003,40.0,20.400000000000002,0,74.90196598696107,2.5413259923333116,1.0,s4_narrow_passage_medium,M7,24,0.06,2.0
False,19.75,0.9746152526417069,0.2680486450558431,True,98.23463009038483,1477.1900662300231,0.018310445276737412,75.27311015393911,0.010268587054197096,0.2606890943247683,0.006571177585615425,0.006571177585615425,139.45166428580512,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5393109056752317,False,False,25.55,25.35,25.55,22.25,40.0,20.3,0,74.92326968883204,2.54132930149157,1.0,s4_narrow_passage_medium,M7,25,0.06,2.0
False,19.650000000000002,0.9703550725262071,0.26721603544518135,True,98.36165693536769,1489.6584860546634,0.020599250936329586,74.4007244118302,0.012055039332848077,0.2566506740226251,0.004213643901654194,0.004213643901654194,139.45415734853043,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.543349325977375,False,False,25.75,25.200000000000003,25.75,22.200000000000003,40.0,20.400000000000002,0,74.87572744051263,2.541334244754599,1.0,s4_narrow_passage_medium,M7,26,0.06,2.0
False,19.35,1.0215014880526299,0.268902802503369,True,97.78917776488207,1443.7535051902078,0.011235955056179775,73.52246760555549,0.010262301909160226,0.2606656969516767,0.006535542621210154,0.006535542621210154,138.72956684502745,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.539334303048323,False,False,25.35,25.25,25.35,21.900000000000002,40.0,20.700000000000003,0,74.8277622778693,2.5413313795430876,1.0,s4_narrow_passage_medium,M7,27,0.06,2.0
False,19.650000000000002,0.9920821111603682,0.26612994990125105,True,98.48015327542893,1469.2257653575489,0.015397419891801914,75.29590050391622,0.010268248424383368,0.2606899972795618,0.006567980596377956,0.006567980596377956,139.39078560133981,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.539310002720438,False,False,25.450000000000003,25.450000000000003,25.450000000000003,22.200000000000003,40.0,20.400000000000002,0,74.92455832940506,2.5413298266192115,1.0,s4_narrow_passage_medium,M7,28,0.06,2.0
False,19.85,0.9767514905278569,0.2680453729220178,True,97.9344856815818,1468.0977284423943,0.019975031210986267,75.62127503271576,0.012053793891981614,0.256618095599919,0.0041927515923911324,0.0041927515923911324,139.1257104776114,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5433819044000807,False,False,25.8,25.700000000000003,25.8,22.400000000000002,40.0,20.200000000000003,0,74.9059754202627,2.5413284537550376,1.0,s4_narrow_passage_medium,M7,29,0.06,2.0
False,19.55,0.9943269058452031,0.26815182842961865,True,98.30003042010742,1458.7758808115934,0.0149812734082397,74.68004975654752,0.012054095979992423,0.2566557271442227,0.004226165496631336,0.004226165496631336,139.26095545990307,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5433442728557774,False,False,25.75,25.150000000000002,25.75,22.1,40.0,20.5,0,74.88698803415402,2.541328366389316,1.0,s4_narrow_passage_medium,M7,30,0.06,2.0
False,19.35,0.9987554452428655,0.2656107742663358,True,98.35883653540573,1476.5495892931735,0.011027881814398668,75.56654808450044,0.012055592973771309,0.25661601175277643,0.004175945832328003,0.004175945832328003,139.1500752166316,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5433839882472236,False,False,25.6,24.900000000000002,25.6,21.85,40.0,20.700000000000003,0,74.81720837523407,2.541336390850565,1.0,s4_narrow_passage_medium,M7,31,0.06,2.0
False,19.6,0.9952732010479923,0.2695359164198459,True,98.08923951655173,1468.3443366838255,0.018726591760299626,75.52391709649918,0.012052970174756114,0.2566445252164536,0.004218020165375484,0.004218020165375484,139.29502065146698,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5433554747835463,False,False,26.1,25.400000000000002,26.1,22.200000000000003,40.0,20.450000000000003,0,74.90853667381771,2.541307846048678,1.0,s4_narrow_passage_medium,M7,32,0.06,2.0
False,19.75,0.9690691020861208,0.26620560659684983,True,98.58339825521244,1474.3914734507212,0.01581356637536413,75.62327631475151,0.012054054189995625,0.2566176871019407,0.004189923356493903,0.004189923356493903,139.60432773746246,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5433823128980593,False,False,25.75,25.55,25.75,22.3,40.0,20.3,0,74.91493115622933,2.541329565913326,1.0,s4_narrow_passage_medium,M7,33,0.06,2.0
