scene,method,eta_min,sigma_omega,success_rate,collision_rate,obs_collision_rate,agent_collision_rate,min_obs_distance_mean,min_agent_distance_mean,completion_time_mean,input_sat_mean,control_cost_mean,control_smoothness_mean,radius_error_final_mean
s4_narrow_passage_medium,M7,0.06,4.0,0.0,1.0,0.0,1.0,0.9866114393539377,0.2677017147064145,20.25166666666667,0.014329310583992231,97.53256020472779,1469.5752964208805,2.5413455568014713
s4_narrow_passage_medium,M7,0.1,4.0,0.0,1.0,0.0,1.0,0.986352919893182,0.26748497143916744,20.030000000000005,0.015688722430295465,97.9044254697425,1477.8247861170237,2.5410736480943483
s4_narrow_passage_medium,M7,0.1,10.0,0.0,1.0,0.0,1.0,0.9844595119343246,0.26741140547298387,19.990000000000002,0.016125676238035788,97.93857858792563,1467.1049313847184,2.540805211219696
s4_narrow_passage_medium,M7,0.4,2.0,0.0,1.0,0.0,1.0,0.9683114104556493,0.2672641892462854,18.35666666666667,0.02439311971147177,99.51111118617882,1422.4564984317801,2.541481602471516
s4_narrow_passage_medium,M7,0.06,6.0,0.0,1.0,0.0,1.0,0.9856120603285045,0.2672437197463351,20.243333333333336,0.014121237342211126,97.5850420187989,1466.0982980043352,2.540936694224744
s4_narrow_passage_medium,M7,0.1,8.0,0.0,1.0,0.0,1.0,0.9865008126848542,0.2665276951761882,20.026666666666667,0.015820502150090166,97.96896813496035,1473.010417507561,2.5409398548053
s4_narrow_passage_medium,M7,0.06,8.0,0.0,1.0,0.0,1.0,0.980054704903646,0.26635058978119897,20.193333333333335,0.014253017062005826,97.8955724990719,1478.4101769644471,2.541744778878179
s4_narrow_passage_medium,M7,0.2,10.0,0.0,1.0,0.0,1.0,0.9855961834235326,0.26634602131101554,19.503333333333334,0.01880982105701207,98.74915541839142,1487.20088082587,2.541207953770813
s4_narrow_passage_medium,M7,0.06,2.0,0.0,1.0,0.0,1.0,0.9804819113898695,0.2662457102628748,19.628333333333334,0.0173116937161881,98.03363048991274,1459.8838471330887,2.5405332481059104
s4_narrow_passage_medium,M7,0.06,10.0,0.0,1.0,0.0,1.0,0.9786529809809347,0.2660551826467559,20.168333333333337,0.014537383825773338,98.06889066224802,1489.23449428502,2.5413417190609118
s4_narrow_passage_medium,M7,0.1,6.0,0.0,1.0,0.0,1.0,0.9863446939230666,0.26600116388874245,20.05,0.015771951727007908,97.92768406438172,1478.3667493574787,2.5413395146546454
s4_narrow_passage_medium,M7,0.2,8.0,0.0,1.0,0.0,1.0,0.9857064354278686,0.26587591729302223,19.515,0.01849077541961437,98.73665747632518,1491.5211654999757,2.541746004920651
s4_narrow_passage_medium,M7,0.3,8.0,0.0,1.0,0.0,1.0,0.9804926923385751,0.26555306263754797,19.029999999999998,0.02052989318906922,98.90474068105375,1461.5033567315238,2.541614727195366
s4_narrow_passage_medium,M7,0.3,4.0,0.0,1.0,0.0,1.0,0.9821763086962304,0.26549951518878767,19.011666666666667,0.02028714107365793,98.83310453117927,1456.8050530376288,2.541204896857511
s4_narrow_passage_medium,M7,0.4,10.0,0.0,1.0,0.0,1.0,0.9756188624083139,0.26543085733238053,18.615000000000002,0.02301290054099043,99.24760994359657,1441.521362416022,2.541079343060747
s4_narrow_passage_medium,M7,0.15,8.0,0.0,1.0,0.0,1.0,0.9859336898243533,0.2652999070605895,19.775,0.017526702732695243,98.22735961630424,1475.3252681817748,2.541347376530324
s4_narrow_passage_medium,M7,0.15,4.0,0.0,1.0,0.0,1.0,0.9861362354287895,0.26525352735153357,19.748333333333335,0.01727007906783188,98.12583955165636,1475.1189493634179,2.5412087251888176
s4_narrow_passage_medium,M7,0.4,8.0,0.0,1.0,0.0,1.0,0.9792327144216887,0.26504369887970775,18.63,0.022444167013455404,99.3488155986466,1449.6192106588956,2.5417553173747534
s4_narrow_passage_medium,M7,0.4,4.0,0.0,1.0,0.0,1.0,0.9764599542952264,0.26500998167516093,18.608333333333334,0.022194479123318074,99.35274142091224,1443.7070988674286,2.5412148937866217
s4_narrow_passage_medium,M7,0.2,4.0,0.0,1.0,0.0,1.0,0.9853473712045678,0.2649962363740938,19.483333333333334,0.01806769316132612,98.58714262793286,1480.1491997137412,2.540807479180414
s4_narrow_passage_medium,M7,0.3,2.0,0.0,1.0,0.0,1.0,0.9756647371440053,0.26486009311168285,18.671666666666667,0.022028020529893187,99.07090606775878,1432.9434347507781,2.541479494710434
s4_narrow_passage_medium,M7,0.2,6.0,0.0,1.0,0.0,1.0,0.9856710816423034,0.26470854013729467,19.530000000000005,0.018587876265778888,98.50544784625536,1478.2958463193834,2.541474785788362
s4_narrow_passage_medium,M7,0.4,6.0,0.0,1.0,0.0,1.0,0.9745646624312807,0.26455244568319,18.64,0.022145928700235816,99.3257132850794,1446.4409074096595,2.5412120283375046
s4_narrow_passage_medium,M7,0.15,6.0,0.0,1.0,0.0,1.0,0.986167582485713,0.264227372269276,19.791666666666668,0.017117492023859062,98.34787935759749,1486.61547613496,2.540940281282216
s4_narrow_passage_medium,M7,0.15,2.0,0.0,1.0,0.0,1.0,0.983129622358037,0.26411071926897967,19.22666666666667,0.01865029823831322,98.53988017817649,1460.4890325089982,2.5424212380243767
s4_narrow_passage_medium,M7,0.1,2.0,0.0,1.0,0.0,1.0,0.9776779116335743,0.26408947426271584,19.43166666666667,0.017942849216257453,98.28693302446278,1459.9794589292828,2.5410716898929318
