eta_min,sigma_omega,k_t,r0,lambda_curl,success_rate,collision_rate,completion_time_mean,min_obs_distance_mean,min_agent_distance_mean,gmax_mean,radius_var_mean,input_sat_mean,control_smoothness_mean,stall_steps_mean,inside_any_rate,inside_final_rate,gmax_success_rate,radius_success_rate,sigma_success_rate,no_collision_rate,dwell_success_rate,success_geom_final_rate,gmax_reach_time_mean
0.1,3.0,0.9,1.2,0.7,0.0,1.0,25.150000000000002,0.7218779046852759,0.21658351365856773,72.60996310818612,0.013385666953037341,0.040383014154870944,3745.962820593351,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,26.400000000000002
0.1,3.0,0.9,1.5,0.3,0.0,1.0,26.5,0.7284987360969895,0.2261287286249807,72.66919053335954,0.013804049886199064,0.024840410768803774,2689.7968030733373,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,27.1
0.1,3.0,0.9,1.5,0.5,0.0,1.0,26.25,0.7276663506238343,0.2239353020747568,72.52613296009181,0.013516310527592864,0.03177907299472662,3166.1458305817423,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,26.900000000000002
0.1,3.0,0.9,1.5,0.7,0.0,1.0,26.3,0.7232269168364691,0.22231166263455368,72.66921794383137,0.013804410594795613,0.039827921176797114,3766.476877120145,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,27.150000000000002
0.1,3.0,0.9,1.8,0.3,0.0,1.0,27.85,0.7286359747880888,0.24029057035066545,72.67070896020633,0.01383111806563001,0.025811823480432972,2599.463133784263,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,28.0
0.1,3.0,0.9,1.8,0.5,0.0,1.0,27.6,0.7275975849698877,0.22793403850964264,72.67066498844784,0.013831211034885597,0.03386067166250347,3121.899606188691,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,27.650000000000002
0.1,3.0,0.9,1.8,0.7,0.0,1.0,27.6,0.7244749825035368,0.22914903151428606,72.66927621431292,0.013833731402644682,0.04079933388842631,3760.2817993598173,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,27.5
0.1,3.0,1.2,1.2,0.3,0.0,1.0,24.700000000000003,0.7279792464360357,0.26880666816302,72.39452720057065,0.014286324874141278,0.02844851512628365,2632.400998850693,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,26.25
0.1,3.0,1.2,1.2,0.5,0.0,1.0,24.400000000000002,0.7268395774712768,0.2370192248351673,72.77976232604222,0.014142214344084246,0.033721898417985015,2928.0643551787525,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,25.75
0.1,3.0,1.2,1.2,0.7,0.0,1.0,24.25,0.7214613663983294,0.23162525922903798,72.39471874814085,0.014285972648532692,0.041076880377463224,3385.829134512107,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,25.6
0.1,3.0,1.2,1.5,0.3,0.0,1.0,25.650000000000002,0.7288908731280175,0.2598114154081221,72.31683654975573,0.013874408825770802,0.02678323619206217,2597.5061108715663,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,26.85
