scene,method,success_rate,completion_time_mean,completion_time_std,collision_rate,obs_collision_rate,agent_collision_rate,min_obs_distance_mean,min_agent_distance_mean,gmax_mean,radius_var_mean,control_cost_mean,control_smoothness_mean,input_sat_mean,stall_steps_mean,inside_any_rate,inside_final_rate,gmax_success_rate,radius_success_rate,sigma_success_rate,no_collision_rate,dwell_success_rate,dwell_geom_success_rate,dwell_success_no_collision_rate,radius_error_final_mean,success_geom_final_rate,success_no_collision_rate,gmax_reach_time_mean,time_to_inside_mean,time_to_gmax_mean,time_to_radius_mean,time_to_full_geom_mean,success_hold_time_mean,post_success_violation_count_mean,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate_mean
a1_single_goal_reach,M1,1.0,11.450000000000001,,0.0,0.0,0.0,inf,inf,0.0,0.0,11.309352019088864,0.01271141531870564,0.5087281795511222,116.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0001326257711361009,0.0,1.0,0.0,20.0,0.0,11.75,20.0,8.6,0.0,0.0,0.2712744230974352,0.0
a1_single_goal_reach,M2,1.0,14.700000000000001,,0.0,0.0,0.0,inf,inf,0.0,0.0,11.62951442737975,199.52882608571736,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03291800345256368,0.0,1.0,0.0,20.0,0.0,15.0,20.0,5.3500000000000005,0.0,0.0,1.2533073875377068,0.0
a3_multi_agent_safety_crossing,M10,0.0,28.0,,1.0,0.0,1.0,inf,0.0010665289774060656,120.05899164216055,0.06504208515082652,50.224119397463284,1711.3826172290865,0.0255496137849079,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.28486620053432793,1.0,0.0,0.0,0.0,0.0,4.7,4.7,0.0,0.0,117.04667366459333,0.24585488438487357,1.0
a3_multi_agent_safety_crossing,M7,0.0,28.0,,1.0,0.0,1.0,inf,0.49278243623422,60.00000013179474,0.024063824135090926,22.121672247341234,1.7126199773649895,0.0255496137849079,455.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4455251068664301,1.0,0.0,0.0,0.0,0.0,4.7,4.7,0.0,0.0,60.000000594222186,0.4455251068649936,1.0
s1_single_obstacle,M1,1.0,12.9,,0.0,0.0,0.0,0.6367026504269993,inf,0.0,0.0,12.55325778699309,1.8157947088508977,0.3166904422253923,387.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.889159887486776e-10,0.0,1.0,0.0,35.0,0.0,13.200000000000001,35.0,22.150000000000002,0.0,0.0,3.30271469776273e-07,0.0
s1_single_obstacle,M2,1.0,23.75,,0.0,0.0,0.0,1.1920672380724624,inf,0.0,0.0,15.333830679189715,475.6415972672548,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001404875098738687,0.0,1.0,0.0,35.0,0.0,24.05,35.0,11.3,0.0,0.0,0.019039853879854275,0.0
s1_single_obstacle,M3,1.0,16.6,,0.0,0.0,0.0,1.2632622728756395,inf,0.0,0.0,20.770647651199273,807.425102577293,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.007797688956820333,0.0,1.0,0.0,35.0,0.0,16.85,35.0,18.45,0.0,0.0,0.019039853879854268,0.0
