success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_any,inside_final,gmax_success,radius_success,sigma_success,no_collision,obs_collision,agent_collision,dwell_success,dwell_geom_success,dwell_success_no_collision,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,time_to_inside,time_to_gmax,time_to_radius,time_to_full_geom,success_hold_time,post_success_violation_count,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate,scene,method,seed,k_s,k_t,r0,config
False,17.75,0.8676826914770437,0.3016258960857679,True,92.55303460948444,730.5067694275214,0.03474823137744486,72.07154485115663,0.07281542133931679,0.6413696251386392,0.006430909785860557,0.006430909785860557,124.05562768174276,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1586303748613607,False,False,23.950000000000003,23.450000000000003,23.950000000000003,20.400000000000002,40.0,22.3,0,72.34851213803957,2.161775705879303,1.0,s4_narrow_passage_medium,M7,10,3.4,1.2,1.6,baseline_fixed_floor
False,17.85,0.9233850855833869,0.30154964880631957,True,91.79767945190939,770.209916043909,0.03058676654182272,72.00709116531961,0.0728112224139938,0.6413753085766085,0.006221875194108304,0.006221875194108304,123.59441159601761,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.158624691423391,False,False,24.05,23.55,24.05,20.5,40.0,22.200000000000003,0,72.36997021430162,2.1617746673322666,1.0,s4_narrow_passage_medium,M7,11,3.4,1.2,1.6,baseline_fixed_floor
False,17.85,0.7593447190394202,0.3017174581066746,True,92.33155482442223,741.2407234574935,0.04265501456512692,72.05336477800822,0.08060813072619855,0.6350627902445128,0.0001469841778244501,0.0001469841778244501,123.95987474876176,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.164937209755487,False,False,23.450000000000003,23.450000000000003,23.450000000000003,20.5,40.0,22.200000000000003,0,72.26401723626238,2.161791687782636,1.0,s4_narrow_passage_medium,M7,12,3.4,1.2,1.6,baseline_fixed_floor
False,17.650000000000002,0.9221157922950101,0.29915678254204797,True,92.00852128312869,789.1086579532193,0.03141905950894715,72.0295825928177,0.08064335293302664,0.6350354726881795,4.826162013238518e-05,4.826162013238518e-05,123.49408449961369,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1649645273118203,False,False,23.8,23.400000000000002,23.8,20.3,40.0,22.400000000000002,0,72.35732077801445,2.1617786116601647,1.0,s4_narrow_passage_medium,M7,13,3.4,1.2,1.6,baseline_fixed_floor
False,17.55,0.9676186700610356,0.31639604224403706,True,92.25228765380616,812.1380227967571,0.02600915522263837,72.29330385992822,0.07289850835996993,0.6412890145846406,0.006849862737796184,0.006849862737796184,123.63814428990634,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.158710985415359,False,False,24.25,23.55,24.25,20.200000000000003,40.0,22.5,0,72.34072497548863,2.161758767108826,1.0,s4_narrow_passage_medium,M7,14,3.4,1.2,1.6,baseline_fixed_floor
False,17.900000000000002,0.9381207952668105,0.2985466880470389,True,91.95436676451412,733.3961599298982,0.03766125676238036,72.05095298735992,0.08061280929540561,0.6350593548375377,5.126064694392566e-05,5.126064694392566e-05,123.91643620100317,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.164940645162462,False,False,24.3,23.8,24.3,20.55,40.0,22.150000000000002,0,72.4009368176816,2.1617824718388747,1.0,s4_narrow_passage_medium,M7,15,3.4,1.2,1.6,baseline_fixed_floor
False,17.650000000000002,0.8805183157719922,0.3006058986422748,True,92.21885366785007,747.2394197104059,0.03412401165210154,72.06590741002191,0.08064157672962434,0.635036787606027,0.0001225934431833042,0.0001225934431833042,123.80168003134432,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.164963212393973,False,False,23.900000000000002,23.400000000000002,23.900000000000002,20.3,40.0,22.400000000000002,0,72.34215125822571,2.1617867058987126,1.0,s4_narrow_passage_medium,M7,16,3.4,1.2,1.6,baseline_fixed_floor
False,17.6,0.8451498861890319,0.32688144117330487,True,92.89700919513601,766.9984640180196,0.041406575114440285,72.02888725941305,0.08062774959831359,0.6350477667259682,0.00010146333106777592,0.00010146333106777592,123.99854764614079,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1649522332740316,False,False,23.5,23.150000000000002,23.5,20.200000000000003,40.0,22.450000000000003,0,72.37797291136243,2.161786142899287,1.0,s4_narrow_passage_medium,M7,17,3.4,1.2,1.6,baseline_fixed_floor
False,17.900000000000002,0.9716126768995561,0.29910583318086836,True,91.87625839421419,783.3115503344834,0.0359966708281315,72.01840737004319,0.08064143911378331,0.635037013181321,6.410361811767084e-05,6.410361811767084e-05,123.74526469562582,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.164962986818679,False,False,24.0,23.75,24.0,20.55,40.0,22.150000000000002,0,72.39073974964732,2.1617801332238984,1.0,s4_narrow_passage_medium,M7,18,3.4,1.2,1.6,baseline_fixed_floor
False,17.5,0.8086762966255179,0.29709071780320556,True,91.88481575231988,771.8799712371938,0.04057428214731586,72.0871940033145,0.07696277663369515,0.6380232774334703,0.00308052412586565,0.00308052412586565,122.8965718115189,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1619767225665294,False,False,24.1,23.55,24.1,20.200000000000003,40.0,22.55,0,72.27845688774707,2.161753488391851,1.0,s4_narrow_passage_medium,M7,19,3.4,1.2,1.6,baseline_fixed_floor
False,17.8,0.9827342953508695,0.300775283760192,True,92.13910801827836,736.8931442920424,0.03058676654182272,72.11479958921217,0.0728465089160041,0.6413418278313863,0.006464704533806075,0.006464704533806075,123.95685104241177,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1586581721686136,False,False,23.75,23.75,23.75,20.450000000000003,40.0,22.25,0,72.35028288407372,2.1617784846743175,1.0,s4_narrow_passage_medium,M7,20,3.4,1.2,1.6,baseline_fixed_floor
False,17.95,0.8965582005871628,0.33359585643505035,True,92.61520591930974,719.1724008272834,0.03141905950894715,72.00595829618689,0.0805968438490955,0.6350718317775782,6.634825938866174e-05,6.634825938866174e-05,124.35452622118683,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1649281682224215,False,False,23.75,23.6,23.75,20.6,40.0,22.1,0,72.27516339074589,2.1617919070266156,1.0,s4_narrow_passage_medium,M7,21,3.4,1.2,1.6,baseline_fixed_floor
False,17.55,0.861352003080919,0.29959816164966774,True,92.35920953630946,648.7938964806901,0.03162713275072826,71.99294611366872,0.08063685316028947,0.6350405079348479,5.3974913025764865e-05,5.3974913025764865e-05,123.73840701666725,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.164959492065152,False,False,23.75,23.450000000000003,23.75,20.25,40.0,22.5,0,72.34442344689346,2.161793461364592,1.0,s4_narrow_passage_medium,M7,22,3.4,1.2,1.6,baseline_fixed_floor
False,17.2,0.8114273981823061,0.2992688044411752,True,93.06486879835612,661.7757897294049,0.039950062421972535,72.07582546671712,0.0728202247369458,0.6413651578440306,0.006318023142286924,0.006318023142286924,123.61440543391531,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.158634842155969,False,False,23.450000000000003,23.05,23.450000000000003,19.900000000000002,40.0,22.85,0,72.29781881016011,2.1617867708502705,1.0,s4_narrow_passage_medium,M7,23,3.4,1.2,1.6,baseline_fixed_floor
