success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_any,inside_final,gmax_success,radius_success,sigma_success,no_collision,obs_collision,agent_collision,dwell_success,dwell_geom_success,dwell_success_no_collision,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,time_to_inside,time_to_gmax,time_to_radius,time_to_full_geom,success_hold_time,post_success_violation_count,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate,scene,method,seed,k_s,k_t,r0,topo_rho_floor
True,16.150000000000002,0.7470188010730108,0.5292724307926807,False,89.87793469046721,368.43499062924116,0.04186167446697868,72.45071337425212,0.1579076238143201,0.8895570106703752,0.0058844794306272905,0.0058844794306272905,116.100714537362,0,0.0,True,True,True,False,True,True,False,False,True,True,True,1.9104429893296246,False,True,22.200000000000003,21.900000000000002,22.200000000000003,18.75,32.0,15.9,0,83.341080277277,1.8775752385068314,1.0,s4_narrow_passage_easy,M4,10,3.4,1.5,1.9,0.65
True,15.8,0.8892851662646746,0.46401122779234605,False,91.32108539643718,463.4499169723078,0.034841393655746226,72.54991573987128,0.15273235844401867,0.8925473382868129,0.006406797679156407,0.006406797679156407,117.0829179281859,0,0.0,True,True,True,False,True,True,False,False,True,True,True,1.907452661713187,False,True,21.75,21.450000000000003,21.75,18.45,32.0,16.25,0,90.40558554089453,1.881525469241209,1.0,s4_narrow_passage_easy,M4,11,3.4,1.5,1.9,0.65
True,16.05,0.9181109942421815,0.5501329490618042,False,91.02343733704696,476.78116172246524,0.036401456058242326,72.64152711219045,0.1526285819458638,0.892612138385168,0.008176083621645607,0.008176083621645607,117.35343011909919,0,0.0,True,True,True,False,True,True,False,False,True,True,True,1.9073878616148319,False,True,21.35,21.35,21.35,18.650000000000002,32.0,16.0,0,94.05910483552843,1.8750173199187714,0.995,s4_narrow_passage_easy,M4,12,3.4,1.5,1.9,0.65
True,15.350000000000001,0.8901942088729,0.35955432815746213,False,90.23049563537158,333.36013613707075,0.0405616224648986,72.73176814975234,0.15760581955836536,0.8897409793183465,0.009040475884732115,0.009040475884732115,115.29783056112709,0,0.0,True,True,True,False,True,True,False,False,True,True,True,1.9102590206816532,False,True,21.950000000000003,21.650000000000002,21.950000000000003,18.35,32.0,16.7,0,83.64330906299217,1.8816973311248533,1.0,s4_narrow_passage_easy,M4,13,3.4,1.5,1.9,0.65
True,15.600000000000001,0.9267394142587406,0.3780669821134607,False,91.3519748766564,434.1370354299542,0.0374414976599064,72.57023755354024,0.1527635182705713,0.8925237146103497,0.009412641925790402,0.009412641925790402,116.6557087087421,0,0.0,True,True,True,False,True,True,False,False,True,True,True,1.90747628538965,False,True,22.1,21.650000000000002,22.1,18.5,32.0,16.45,0,88.45163482147267,1.8827860924684143,0.995,s4_narrow_passage_easy,M4,14,3.4,1.5,1.9,0.65
True,16.05,0.9339732536632503,0.5006916729109656,False,91.48007947386395,481.53849122444245,0.028861154446177848,72.65598067535988,0.15249800860976429,0.892688339442718,0.008538074082283348,0.008538074082283348,117.75425492288346,0,0.0,True,True,True,False,True,True,False,False,True,True,True,1.9073116605572817,False,True,22.5,21.400000000000002,22.5,18.7,32.0,16.0,0,94.53397063795568,1.8736513854816212,1.0,s4_narrow_passage_easy,M4,15,3.4,1.5,1.9,0.65
True,15.850000000000001,0.9091493618388946,0.5457828291443609,False,91.38320841000073,469.31865661634413,0.034581383255330216,72.57959417619854,0.15304043750359922,0.8923731623159737,0.007010780898652027,0.007010780898652027,117.40471306809587,0,0.0,True,True,True,False,True,True,False,False,True,True,True,1.9076268376840262,False,True,21.650000000000002,21.400000000000002,21.650000000000002,18.55,32.0,16.2,0,92.20098683702085,1.878922499081996,1.0,s4_narrow_passage_easy,M4,16,3.4,1.5,1.9,0.65
True,16.05,0.9122717557199227,0.5869793857600337,False,91.71183676986246,479.72032470597463,0.026781071242849713,72.65483292494085,0.15243895249203646,0.8927220965927297,0.00861540649975219,0.00861540649975219,117.88909875676745,0,0.0,True,True,True,False,True,True,False,False,True,True,True,1.90727790340727,False,True,22.5,21.400000000000002,22.5,18.7,32.0,16.0,0,94.46403625443314,1.8737308105812174,1.0,s4_narrow_passage_easy,M4,17,3.4,1.5,1.9,0.65
True,16.0,0.9266614443637926,0.594165235741189,False,91.22077297163592,478.8813942963656,0.037701508060322415,72.62446995906613,0.1528717571828919,0.8924720326632114,0.007743012027069178,0.007743012027069178,117.4468843887869,0,0.0,True,True,True,False,True,True,False,False,True,True,True,1.9075279673367884,False,True,21.650000000000002,21.400000000000002,21.650000000000002,18.6,32.0,16.05,0,93.75974034075554,1.8760513595010964,1.0,s4_narrow_passage_easy,M4,18,3.4,1.5,1.9,0.65
True,15.65,0.9089118413307293,0.4077487782031602,False,91.88660428599886,453.20088553664874,0.03848153926157046,72.57268788244981,0.1529159249618792,0.8924375420457823,0.008410129048997036,0.008410129048997036,117.375260504303,0,0.0,True,True,True,False,True,True,False,False,True,True,True,1.9075624579542176,False,True,21.900000000000002,21.55,21.900000000000002,18.45,32.0,16.400000000000002,0,89.55537446482997,1.882790186575672,1.0,s4_narrow_passage_easy,M4,19,3.4,1.5,1.9,0.65
