scene,method,seed,success,collisions,no_collision,completion_time,min_obs_distance,min_agent_distance,queue_stability,corridor_activation,queue_activation,queue_mode,env_pressure,env_pressure_peak,env_anisotropy,form_anisotropy,tensor_axis_alignment,xi_axis_alignment,mode_entropy,dominant_mode_switches,progress,caution,reshape,spacing,xi_feedback_crowding_mean,xi_feedback_crowding_peak,xi_feedback_slot_order_readiness,xi_feedback_lateral_order_readiness,xi_feedback_forward_room_mean,xi_feedback_obstacle_block_mean,xi_feedback_release_ready,guard_release_signal,queue_guard_decay,directional_release_signal,passage_push_strength,nav_scale,safe_scale,directional_scale,guard_scale,forward_speed_along_axis,magnetic_drive_intent,magnetic_release_intent,magnetic_queue_scale,magnetic_effective_drive,magnetic_transport_release_proxy,spring_chain_storage,spring_head_release,spring_rear_support,spring_link_compression,spring_transport_hold,spring_recover_state,effective_lane_count,entry_flux,entry_flux_peak,risk_load,risk_load_peak,unified_r_peak,unified_r_late,unified_e,unified_e_peak,late_progress,late_caution,late_nav_scale,late_guard_scale,late_forward_speed_along_axis,late_magnetic_drive_intent,late_magnetic_release_intent,late_magnetic_queue_scale,late_magnetic_effective_drive,late_magnetic_transport_release_proxy,late_spring_chain_storage,late_spring_head_release,late_spring_rear_support,late_spring_transport_hold,late_spring_recover_state,late_effective_lane_count,late_entry_flux,late_risk_load,late_xi_feedback_release_ready,late_guard_release_signal,late_queue_guard_decay,late_directional_release_signal,late_passage_push_strength,mode_weight_encircle,mode_weight_corridor,mode_weight_queue,mode_weight_recover,post_exit_available,post_exit_steps,post_exit_agents_past_exit_ratio,post_exit_progress,post_exit_caution,post_exit_nav_scale,post_exit_guard_scale,post_exit_forward_speed_along_axis,post_exit_guard_over_nav_rate,post_exit_caution_over_progress_rate,post_exit_mode_weight_encircle,post_exit_mode_weight_corridor,post_exit_mode_weight_queue,post_exit_mode_weight_recover
d2_fast_target_single_obstacle,M43,10,0.0,1.0,0.0,19.900000000000002,1.3038208415021248,0.49222104243074616,0.9995555555555555,0.02967008285270453,0.4725377234348791,0.4725377234348791,0.03139744643862347,0.543717799317216,0.11032472845092862,0.44844182349102146,0.954773619724307,1.0,1.1437997119606265,3.0,0.3549480245014218,0.0988300810739832,0.48130442145116353,0.22021597201131055,0.04758878390080798,0.16665895373993614,0.32653582147938087,0.4137174173406771,0.4961245852503115,0.5033477883147435,0.3797468320518485,0.18969363817504176,0.9853755718731034,0.29298883349805055,0.004742608257350148,0.7479646942534665,1.0919001023650563,1.0264699977604221,1.1211187846062207,0.7280112875078351,0.0,0.0,1.0,0.0,0.0,,,,,,,2.029836658615375,0.027661339429734266,0.23711214274541703,0.2431156032941038,0.5253300908630036,1.6332340797908884,1.3669105358694564,0.0,0.0,0.3563039947322498,0.0845985990579987,0.7533291554408946,1.1184281880423914,0.6354265746449563,0.0,0.0,1.0,0.0,0.0,,,,,,1.9336342584379296,0.024142595499206485,0.20313298115765183,0.3834329096045812,0.18398831162810073,0.9944942389742789,0.2986103494695015,0.0030640156264229424,0.18942535130975185,0.104420938661481,0.5415374213168507,0.16461628871191655,0.0,0.0,,,,,,,,,,,,
d2_fast_target_single_obstacle,M43,11,1.0,0.0,1.0,19.650000000000002,1.336775485114281,0.5212848869548069,0.9997222222222222,0.029513507346605194,0.4725377234348791,0.4725377234348791,0.030753842740551766,0.528738415857145,0.10838190236058004,0.4589338649360662,0.9477815782298205,1.0,1.1324512520783798,3.0,0.3428619040862535,0.10099617451906984,0.4861650050573847,0.22829704789645602,0.06509214170270249,0.20892872585427838,0.33693141751627936,0.4124096098614583,0.48491466094448626,0.5033566444784907,0.38204558148757567,0.18894191983638975,0.9872747782144853,0.2921961114115135,0.003735068371961443,0.7419773180228592,1.09505339294162,1.0288738697277302,1.1255633763430508,0.7222285038228268,0.0,0.0,1.0,0.0,0.0,,,,,,,2.1322560313454133,0.018969308094038833,0.18558563008762796,0.3341168913239736,0.5316412026364499,1.3542911006127012,1.0463005834367691,0.0,0.0,0.33180512797752953,0.09012340577965586,0.7406788868908798,1.1278594967074123,0.6193741409394871,0.0,0.0,1.0,0.0,0.0,,,,,,2.0238008941651606,1.4006747524793657e-06,0.3456119087182825,0.37647580690945454,0.17831064523804982,0.9972137481942266,0.2937978500504035,0.001574000817226411,0.17069724723369714,0.09433673039044776,0.5476603260033891,0.18730569637246605,0.0,0.0,,,,,,,,,,,,
d2_fast_target_single_obstacle,M43,12,1.0,0.0,1.0,20.150000000000002,1.248405908154012,0.5143386617844107,0.9996111111111111,0.02996336522989703,0.4725377234348791,0.4725377234348791,0.03126664673437576,0.56890640538454,0.11060227399089714,0.44227315384974764,0.944846964980328,1.0,1.1339192270883587,3.0,0.3429427746286445,0.10083807558747475,0.4746728099739149,0.22842994885733917,0.061859190476419475,0.16114841033193356,0.33866160718001376,0.4291987265427884,0.4803352404031829,0.503502778362013,0.3855008182436112,0.1911455538160148,0.98695486939595,0.2943133016796293,0.003925362837657362,0.7419971901030906,1.0950761934381898,1.0236865720470092,1.1256364718715364,0.7232964187242868,0.0,0.0,1.0,0.0,0.0,,,,,,,2.1442398350237997,0.020473442030792283,0.21725369830706942,0.2853165408619004,0.5640045076169459,1.2998006729354308,1.16348860834842,0.0,0.0,0.34172790875858705,0.0865151184245491,0.7465105394252246,1.1233698732901891,0.6201652924389651,0.0,0.0,1.0,0.0,0.0,,,,,,2.098102368603591,0.00016552493181549722,0.2552499970570844,0.38898592216402744,0.1849415286532408,0.9963921455873997,0.29967552841315864,0.002004374884778072,0.17831128038848268,0.09701008935311542,0.548983805498837,0.17569482475956488,0.0,0.0,,,,,,,,,,,,
d2_fast_target_single_obstacle,M43,13,1.0,0.0,1.0,20.05,1.262855574183178,0.5808007721231447,0.9995,0.030676428878260727,0.4725377234348791,0.4725377234348791,0.03238044958010832,0.5623383753712827,0.11185123408444808,0.4468951199467141,0.9497089914342798,1.0,1.1312803444739248,3.0,0.3454844964887178,0.10099009885035838,0.4888950999792713,0.2262772605205605,0.062075376258702034,0.18533935373161328,0.3380461584702788,0.40248610025007936,0.49141435872734673,0.5035066448133402,0.3808748893328754,0.18836062318608404,0.9872273241593771,0.2913958639902231,0.0037210216205548754,0.7432404212534217,1.09434555600975,1.030101804875708,1.1244524932863083,0.7210586981286404,0.0,0.0,1.0,0.0,0.0,,,,,,,2.1053734167093765,0.024227711735406804,0.21198612448870335,0.32039664875665064,0.5873632060813619,1.6128187722387577,1.0934440478512666,0.0,0.0,0.3375683159254124,0.08871319522273712,0.7440012037582799,1.1250563900985464,0.619479676091731,0.0,0.0,1.0,0.0,0.0,,,,,,2.065037731941708,0.0002687448504708811,0.29422983464690566,0.3749633571417486,0.17737377293082113,0.9971381041551295,0.2925032065516406,0.0016181105844440098,0.17257689941341234,0.09488922452208198,0.5500880535331673,0.18244582253133837,0.0,0.0,,,,,,,,,,,,
d2_fast_target_single_obstacle,M43,14,0.0,1.0,0.0,20.0,1.2267147429909429,0.47966811661169045,0.9997777777777778,0.031212816820287377,0.4725377234348791,0.4725377234348791,0.033323781045220095,0.5787660259132077,0.11337773987185391,0.4700058670859225,0.9524903847823029,1.0,1.1417092606720352,2.0,0.35670599273486336,0.09885283899548657,0.47579511517147616,0.218471352760861,0.04682858282235097,0.17616711232423712,0.3194545483362333,0.43606052345874446,0.5016403278660702,0.5042382645573745,0.3841017836173325,0.19133039433841453,0.9853790287110037,0.2937831362537494,0.00456023480588194,0.748921882606586,1.0912928993156243,1.023993085726713,1.1201592440184736,0.7275216739617858,0.0,0.0,1.0,0.0,0.0,,,,,,,2.090847373954379,0.025270817836229663,0.25104558794225795,0.2669778153300652,0.5784176131967046,1.6283668262595228,1.3721677856648005,0.0,0.0,0.3565086182040163,0.08454710110189778,0.7534129251738256,1.1183919991864575,0.6365155333533971,0.0,0.0,1.0,0.0,0.0,,,,,,1.929536618714366,0.02868000743449599,0.2031054168011435,0.38429039563801964,0.18440037954452515,0.9944863530061849,0.2989816021959597,0.003065426200783096,0.18418295616935781,0.09977572353319979,0.5421676258672029,0.17387369443023948,0.0,0.0,,,,,,,,,,,,
d2_fast_target_single_obstacle,M43,15,0.0,1.0,0.0,20.35,1.3247099042038397,0.4886544485969234,0.9996666666666667,0.028217794533447544,0.4725377234348791,0.4725377234348791,0.03171945528404817,0.5342227708164364,0.11226755266009004,0.46692867508118996,0.9521147868075504,1.0,1.1423499080162933,2.0,0.3535127279540825,0.09877680470030961,0.4793204149197397,0.22038995097427555,0.048737988663588486,0.17600443625059844,0.31334221541425505,0.4322253276644275,0.4957438588855975,0.5036492654307224,0.3804092814491868,0.1890719047176796,0.9862750283636956,0.29198115573586714,0.004365978086445222,0.7475669955211606,1.0919530035460427,1.025571867183914,1.1212144730358518,0.7279529647201012,0.0,0.0,1.0,0.0,0.0,,,,,,,2.075143135969446,0.0263872128776791,0.24050795517766232,0.26870628811428,0.5419503491385882,1.6277190428652872,1.3644649591794027,0.0,0.0,0.3562166239135462,0.08462206768296618,0.7532925869601077,1.1184444288454851,0.635421742910208,0.0,0.0,1.0,0.0,0.0,,,,,,1.935222820844799,0.023097045113654246,0.20311673618231774,0.3830774718776643,0.18381777210869168,0.9944966907778193,0.2984567314283733,0.0030638843548001266,0.18429546498614688,0.09943508794694748,0.5414989238527083,0.17477052321419725,0.0,0.0,,,,,,,,,,,,
d2_fast_target_single_obstacle,M62,10,0.0,1.0,0.0,19.900000000000002,1.3038208415021248,0.49222104243074616,0.9995555555555555,0.02967008285270453,0.4725377234348791,0.4725377234348791,0.03139744643862347,0.543717799317216,0.11032472845092862,0.44844182349102146,0.954773619724307,1.0,1.1437997119606265,3.0,0.3549480245014218,0.0988300810739832,0.48130442145116353,0.22021597201131055,0.04758878390080798,0.16665895373993614,0.32653582147938087,0.4137174173406771,0.4961245852503115,0.5033477883147435,0.3797468320518485,0.18969363817504176,0.9853755718731034,0.29298883349805055,0.004742608257350148,0.7479646942534665,1.0919001023650563,1.0264699977604221,1.1211187846062207,0.7280112875078351,0.0,0.0,1.0,0.0,0.0,0.46301595927886907,0.33950700312242116,0.27587239145165526,0.4520099265155846,0.5175333903919407,0.060563515789299756,2.029836658615375,0.027661339429734266,0.23711214274541703,0.2431156032941038,0.5253300908630036,1.6332340797908884,1.3669105358694564,0.13208331965523015,0.179106177070479,0.3563039947322498,0.0845985990579987,0.7533291554408946,1.1184281880423914,0.6354265746449563,0.0,0.0,1.0,0.0,0.0,0.4491848786797716,0.35495662103513553,0.25464495166254625,0.5903845287382,0.07105630678666013,1.9336342584379296,0.024142595499206485,0.20313298115765183,0.3834329096045812,0.18398831162810073,0.9944942389742789,0.2986103494695015,0.0030640156264229424,0.18942535130975185,0.104420938661481,0.5415374213168507,0.16461628871191655,0.0,0.0,,,,,,,,,,,,
d2_fast_target_single_obstacle,M62,11,1.0,0.0,1.0,19.650000000000002,1.336775485114281,0.5212848869548069,0.9997222222222222,0.029513507346605194,0.4725377234348791,0.4725377234348791,0.030753842740551766,0.528738415857145,0.10838190236058004,0.4589338649360662,0.9477815782298205,1.0,1.1324512520783798,3.0,0.3428619040862535,0.10099617451906984,0.4861650050573847,0.22829704789645602,0.06509214170270249,0.20892872585427838,0.33693141751627936,0.4124096098614583,0.48491466094448626,0.5033566444784907,0.38204558148757567,0.18894191983638975,0.9872747782144853,0.2921961114115135,0.003735068371961443,0.7419773180228592,1.09505339294162,1.0288738697277302,1.1255633763430508,0.7222285038228268,0.0,0.0,1.0,0.0,0.0,0.4907940690425028,0.33774189216961525,0.33415707967700975,0.48612308095363305,0.5434208783160449,0.06652018864518795,2.1322560313454133,0.018969308094038833,0.18558563008762796,0.3341168913239736,0.5316412026364499,1.3542911006127012,1.0463005834367691,0.1128069431914737,0.16316767754924744,0.33180512797752953,0.09012340577965586,0.7406788868908798,1.1278594967074123,0.6193741409394871,0.0,0.0,1.0,0.0,0.0,0.4908261987242217,0.3484163577580537,0.34359077694640516,0.6347892671106085,0.08045341735355822,2.0238008941651606,1.4006747524793657e-06,0.3456119087182825,0.37647580690945454,0.17831064523804982,0.9972137481942266,0.2937978500504035,0.001574000817226411,0.17069724723369714,0.09433673039044776,0.5476603260033891,0.18730569637246605,0.0,0.0,,,,,,,,,,,,
d2_fast_target_single_obstacle,M62,12,1.0,0.0,1.0,20.150000000000002,1.248405908154012,0.5143386617844107,0.9996111111111111,0.02996336522989703,0.4725377234348791,0.4725377234348791,0.03126664673437576,0.56890640538454,0.11060227399089714,0.44227315384974764,0.944846964980328,1.0,1.1339192270883587,3.0,0.3429427746286445,0.10083807558747475,0.4746728099739149,0.22842994885733917,0.061859190476419475,0.16114841033193356,0.33866160718001376,0.4291987265427884,0.4803352404031829,0.503502778362013,0.3855008182436112,0.1911455538160148,0.98695486939595,0.2943133016796293,0.003925362837657362,0.7419971901030906,1.0950761934381898,1.0236865720470092,1.1256364718715364,0.7232964187242868,0.0,0.0,1.0,0.0,0.0,0.48459148871174185,0.34812223417987326,0.31563846868123013,0.47811442308478774,0.5322593412113672,0.06416806676970574,2.1442398350237997,0.020473442030792283,0.21725369830706942,0.2853165408619004,0.5640045076169459,1.2998006729354308,1.16348860834842,0.12195294501691337,0.1543965479605359,0.34172790875858705,0.0865151184245491,0.7465105394252246,1.1233698732901891,0.6201652924389651,0.0,0.0,1.0,0.0,0.0,0.47528435854009643,0.36863905373446965,0.30387658499855935,0.606320542857081,0.07535428133812326,2.098102368603591,0.00016552493181549722,0.2552499970570844,0.38898592216402744,0.1849415286532408,0.9963921455873997,0.29967552841315864,0.002004374884778072,0.17831128038848268,0.09701008935311542,0.548983805498837,0.17569482475956488,0.0,0.0,,,,,,,,,,,,
d2_fast_target_single_obstacle,M62,13,1.0,0.0,1.0,20.05,1.262855574183178,0.5808007721231447,0.9995,0.030676428878260727,0.4725377234348791,0.4725377234348791,0.03238044958010832,0.5623383753712827,0.11185123408444808,0.4468951199467141,0.9497089914342798,1.0,1.1312803444739248,3.0,0.3454844964887178,0.10099009885035838,0.4888950999792713,0.2262772605205605,0.062075376258702034,0.18533935373161328,0.3380461584702788,0.40248610025007936,0.49141435872734673,0.5035066448133402,0.3808748893328754,0.18836062318608404,0.9872273241593771,0.2913958639902231,0.0037210216205548754,0.7432404212534217,1.09434555600975,1.030101804875708,1.1244524932863083,0.7210586981286404,0.0,0.0,1.0,0.0,0.0,0.4904293852393837,0.3128532564416568,0.3330869054270656,0.4873428075586838,0.5329896982334599,0.06508360279295967,2.1053734167093765,0.024227711735406804,0.21198612448870335,0.32039664875665064,0.5873632060813619,1.6128187722387577,1.0934440478512666,0.11249917747679748,0.17093248070184844,0.3375683159254124,0.08871319522273712,0.7440012037582799,1.1250563900985464,0.619479676091731,0.0,0.0,1.0,0.0,0.0,0.49276247146577096,0.31672061720865957,0.33427983078408,0.6052135488324232,0.07609345491553432,2.065037731941708,0.0002687448504708811,0.29422983464690566,0.3749633571417486,0.17737377293082113,0.9971381041551295,0.2925032065516406,0.0016181105844440098,0.17257689941341234,0.09488922452208198,0.5500880535331673,0.18244582253133837,0.0,0.0,,,,,,,,,,,,
