success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_final,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,eta_min,sigma_omega,k_t,r0,lambda_curl,scene,method,seed
False,31.1,0.7284417529555267,0.2011181222176818,True,88.50711825559691,2577.2244898199015,0.02941992783791285,72.68979645731757,0.012706475152008739,0.2741805382392652,0.002129214985776311,0.002129214985776311,145.96036048603517,0,0.0,True,2.525819461760735,False,False,31.35,0.05,5.0,0.6,1.2,0.3,s4_narrow_passage,M7,0
False,31.5,0.7377598034410326,0.20540753237832765,True,88.11888445496427,2536.914782566117,0.02997502081598668,72.49950125746906,0.012699615890886688,0.27419565402517126,0.0021642308021141304,0.0021642308021141304,145.31761782365228,0,0.0,True,2.5258043459748287,False,False,32.0,0.05,5.0,0.6,1.2,0.3,s4_narrow_passage,M7,1
False,31.25,0.7387218134825193,0.19459079620947067,True,88.2517301124656,2541.1570364483555,0.02941992783791285,72.67630546907712,0.012705561432764773,0.27418255946237285,0.0021338304961218066,0.0021338304961218066,145.33214054019567,0,0.0,True,2.525817440537627,False,False,31.75,0.05,5.0,0.6,1.2,0.3,s4_narrow_passage,M7,2
False,30.35,0.7272204498562445,0.2132461151461887,True,97.10967762739034,3182.9471941426673,0.03649736330835415,72.66355166135675,0.012704752600267573,0.2741843432160889,0.0021379520675323263,0.0021379520675323263,156.06362397852305,0,0.0,True,2.525815656783911,False,False,30.6,0.05,5.0,0.6,1.2,0.5,s4_narrow_passage,M7,0
False,30.650000000000002,0.7254672905543227,0.20611439460809652,True,97.18651082302512,3186.7651661761706,0.03635859006383569,72.5853241985059,0.012701129816910251,0.2741923054889985,0.0021565885902505764,0.0021565885902505764,156.62067347227503,0,0.0,True,2.5258076945110015,False,False,31.1,0.05,5.0,0.6,1.2,0.5,s4_narrow_passage,M7,1
False,30.450000000000003,0.7332213897893449,0.20781602940683225,True,97.38593069294308,3202.3467765385503,0.036219816819317234,72.56805991328604,0.012700916004261454,0.27419285938389143,0.0021571229758065333,0.0021571229758065333,156.77907074968056,0,0.0,True,2.5258071406161084,False,False,30.85,0.05,5.0,0.6,1.2,0.5,s4_narrow_passage,M7,2
False,32.2,0.7285132007686295,0.2134469923231265,True,87.84186861651717,2550.163412226283,0.030668887038578962,72.64752287559772,0.012852591877099766,0.2756608120158869,0.00212698016950808,0.00212698016950808,145.5857407384986,0,0.0,True,2.524339187984113,False,False,31.900000000000002,0.05,5.0,0.6,1.5,0.3,s4_narrow_passage,M7,0
False,32.7,0.7378666239577585,0.2078775273090753,True,87.44261665305541,2513.3076378641135,0.030391340549542047,72.6767978861329,0.0128546829182972,0.27565630136183206,0.0021158083142596195,0.0021158083142596195,145.02392435213045,0,0.0,True,2.5243436986381678,False,False,32.5,0.05,5.0,0.6,1.5,0.3,s4_narrow_passage,M7,1
False,32.550000000000004,0.7386902173409282,0.21033017906695176,True,87.78542922215478,2527.2405261915624,0.029558701082431308,72.59137444332724,0.012850453113478854,0.2756656306009236,0.0021370752029888926,0.0021370752029888926,145.37026337074988,0,0.0,True,2.5243343693990763,False,False,32.300000000000004,0.05,5.0,0.6,1.5,0.3,s4_narrow_passage,M7,2
False,31.35,0.7278446036099997,0.216668008674553,True,96.79157490614257,3186.8859110747658,0.03663613655287261,72.61140775212091,0.012851060809016773,0.2756642462150611,0.0021343065455533185,0.0021343065455533185,155.93035950665438,0,0.0,True,2.5243357537849387,False,False,31.0,0.05,5.0,0.6,1.5,0.5,s4_narrow_passage,M7,0
