scene,method,seed_mean,success_rate,collisions_rate,no_collision_rate,completion_time_mean,min_obs_distance_mean,min_agent_distance_mean,queue_stability_mean,corridor_activation_mean,queue_activation_mean,queue_mode_mean,env_pressure_mean,env_pressure_peak_mean,env_anisotropy_mean,form_anisotropy_mean,tensor_axis_alignment_mean,xi_axis_alignment_mean,mode_entropy_mean,dominant_mode_switches_mean,progress_mean,caution_mean,reshape_mean,spacing_mean,xi_feedback_crowding_mean_mean,xi_feedback_crowding_peak_mean,xi_feedback_slot_order_readiness_mean,xi_feedback_lateral_order_readiness_mean,xi_feedback_forward_room_mean_mean,xi_feedback_obstacle_block_mean_mean,xi_feedback_release_ready_mean,guard_release_signal_mean,queue_guard_decay_mean,directional_release_signal_mean,passage_push_strength_mean,nav_scale_mean,safe_scale_mean,directional_scale_mean,guard_scale_mean,forward_speed_along_axis_mean,magnetic_drive_intent_mean,magnetic_release_intent_mean,magnetic_queue_scale_mean,magnetic_effective_drive_mean,magnetic_transport_release_proxy_mean,spring_chain_storage_mean,spring_head_release_mean,spring_rear_support_mean,spring_link_compression_mean,spring_transport_hold_mean,spring_recover_state_mean,effective_lane_count_mean,entry_flux_mean,entry_flux_peak_mean,risk_load_mean,risk_load_peak_mean,unified_r_peak_mean,unified_r_late_mean,unified_e_mean,unified_e_peak_mean,late_progress_mean,late_caution_mean,late_nav_scale_mean,late_guard_scale_mean,late_forward_speed_along_axis_mean,late_magnetic_drive_intent_mean,late_magnetic_release_intent_mean,late_magnetic_queue_scale_mean,late_magnetic_effective_drive_mean,late_magnetic_transport_release_proxy_mean,late_spring_chain_storage_mean,late_spring_head_release_mean,late_spring_rear_support_mean,late_spring_transport_hold_mean,late_spring_recover_state_mean,late_effective_lane_count_mean,late_entry_flux_mean,late_risk_load_mean,late_xi_feedback_release_ready_mean,late_guard_release_signal_mean,late_queue_guard_decay_mean,late_directional_release_signal_mean,late_passage_push_strength_mean,mode_weight_encircle_mean,mode_weight_corridor_mean,mode_weight_queue_mean,mode_weight_recover_mean,post_exit_available_rate,post_exit_steps_mean,post_exit_agents_past_exit_ratio_mean,post_exit_progress_mean,post_exit_caution_mean,post_exit_nav_scale_mean,post_exit_guard_scale_mean,post_exit_forward_speed_along_axis_mean,post_exit_guard_over_nav_rate_mean,post_exit_caution_over_progress_rate_mean,post_exit_mode_weight_encircle_mean,post_exit_mode_weight_corridor_mean,post_exit_mode_weight_queue_mean,post_exit_mode_weight_recover_mean
c_geo_directional_passage_lite,M43,14.5,1.0,0.0,1.0,33.94,0.3620730869221068,0.3739896476081577,0.9999682539682538,0.6457033839271451,0.0,0.6457033839271451,0.10791851438219247,0.35438821267471987,0.30197214578492015,0.9358787702765765,0.9844325723780984,1.0,1.2309868335035357,9.6,0.5332640745077641,0.17859112479705272,0.2929788333430128,0.14685455908152298,0.025416924075442614,0.13860700894936578,0.5527432316628849,0.8126723547106032,0.5046853830571703,0.5332829903855205,0.5422990195413526,0.5895214327270619,0.7889826217698966,0.5916656104243254,0.04466166306248664,0.794611869703221,1.0781877643980908,0.949699587484061,1.0807700074948374,0.3875810682991414,0.7258210623997956,0.23352156727327208,0.7172153904213308,0.6844413711640207,0.0,,,,,,,1.3899104286477413,0.4546562438271355,0.91683033652272,0.22830859300276357,0.4982764163109432,14.646144575561092,11.467282733628117,0.0,0.0,0.6151375390379704,0.13481420333159191,0.8288182533480729,1.0756480643939565,0.5230290848572446,0.6565121571399427,0.4026835240919008,0.743341651534952,0.7840946689074252,0.0,,,,,,1.2754633702847074,0.6180264599366682,0.1317958498048394,0.5897236030154613,0.8632845539437459,0.8133843711261189,0.844120790113729,0.05606199335310193,0.14801618751523543,0.3049594252354682,0.22146215517630913,0.32556223207298723,1.0,229.2,0.874886176780271,0.6160743437083419,0.14818033484372664,0.825866807031991,1.0753622745042986,0.5387069411292335,1.0,0.0,0.0864386150206343,0.24183548362643364,0.27916511484507506,0.392560786507857
c_geo_directional_passage_lite,M59,14.5,0.0,0.0,1.0,42.0,1.688854828863202,0.4290637249073317,0.9999682539682538,0.1218676889108679,0.0,0.1218676889108679,0.00886016577242341,0.1802313424563492,0.016890275761817137,0.8939981524654164,0.9954055779245661,1.0,1.2798346309192499,3.0,0.4019452451487971,0.09601337000721356,0.28288325043106777,0.1650584156416415,0.020128254232294272,0.09922118727485063,0.6982974535809124,0.7241435267288618,0.5025339265430926,0.5170542469708913,0.5653082323463895,0.30997626089256813,0.9672471421392723,0.41013287845407403,0.013284126002658997,0.7769654440929034,1.0721724509756565,0.936898799694702,1.090782128602903,0.038576678592695125,0.052743741805569976,0.026157209102423078,0.8827203535689312,0.16075337134752388,0.08100277203999931,0.24804663387401873,0.46676239285734,0.10715283245689866,0.08881845554080284,0.18713262540727152,0.02346906789950012,1.6279452825429779,0.09262187504341243,0.15145623536561192,0.08752821320837154,0.3641760592151674,-0.5540906893656494,-0.6997350324073748,0.24699491937567922,0.3079483545823883,0.45466221964142567,0.12135336997238966,0.7838657888055338,1.0906792766214963,0.07939678032491357,0.1266193976049489,0.05905919581410114,0.8072592730965533,0.28283818335469285,0.1049186850212881,0.31047446350408237,0.5658651513188986,0.12858806037988277,0.30116992102850865,0.03986580471498688,1.0434001318120716,0.039781336440138634,0.10531250795430909,0.6509741868269743,0.4156492638642713,0.9176013013124515,0.492912377281708,0.030686419093866303,0.3872646726271277,0.12526058065672094,0.20726513414852513,0.2802096125676262,0.0,0.0,,,,,,,,,,,,
c_geo_directional_passage_lite,M61,14.5,0.0,0.0,1.0,42.0,1.8382730298131364,0.4290637249073317,0.9999682539682538,0.10776582776316887,0.0,0.10776582776316887,0.008759762751651638,0.147024824888765,0.015475047737730443,0.8964115703588693,0.9953560265827394,1.0,1.2805801244109263,3.0,0.4005978034184695,0.09605754200468997,0.28366010471675385,0.16522408863490448,0.02008873499101811,0.09938967433315471,0.6884804902956582,0.7276515524562435,0.5025909128359588,0.5168667247550498,0.5632757234594805,0.30770484859679464,0.9693484945811484,0.40976618793599745,0.012937156378354107,0.7765678387629735,1.07223706232292,0.9372528013230083,1.0908732487491974,0.03067047396937183,0.05033604380189862,0.026091026373605046,0.8834977659314822,0.15234177644602556,0.08289992003204157,0.24597771547356392,0.4656583914468272,0.10562912734447442,0.08652051085308823,0.1867603747309368,0.023621528522921452,1.620036564112059,0.08760961905522377,0.1605449900270699,0.08647655933635982,0.36417542973116845,-0.7782512095385925,-0.8259296648252661,0.24531372359303635,0.30550809839832144,0.44691615144439645,0.11715521344297442,0.7828262722821995,1.090958930733286,0.04550556496682653,0.11050126559455949,0.05533881627657254,0.8172156895829239,0.24246954639178928,0.10277737095973372,0.2980344481445018,0.5708975196994451,0.12093830587074295,0.29532269784936577,0.03957787922635249,1.0452923580409643,0.019047975468645277,0.0993832101988199,0.6591965096246054,0.40674355930574535,0.9302411906679042,0.49171132317941185,0.02743900778161972,0.3897870362958714,0.12328299022406394,0.20699007817833026,0.27993989530173435,0.0,0.0,,,,,,,,,,,,
c_geo_directional_passage_lite,M62,14.5,0.0,0.0,1.0,42.0,0.7427362796235055,0.4240794562952505,0.9999682539682538,0.4627694078263002,0.0,0.4627694078263002,0.08245955760949474,0.3586805514380287,0.16414009980600225,0.903149978263676,0.992158636314224,1.0,1.2200938651387379,4.1,0.46772559556552984,0.1577691516058695,0.3048945277494943,0.15394868268717438,0.0238898171264807,0.12129096720293944,0.5554903810623202,0.7522958868300804,0.5045122216429997,0.553923365517976,0.5247456481434539,0.4210679833805873,0.8429134568000638,0.46897960828813334,0.031548570140863964,0.7813045061837628,1.0775474116813915,0.9529794526478594,1.0846717754779458,0.22467957182803405,0.2414773886913916,0.051572570089030344,0.8016350181657579,0.36178250297931436,0.17380730061682498,0.3140397713508459,0.4800131518550959,0.1370321856462475,0.18460487329383668,0.32573841458791,0.06099012408767136,1.568971859115693,0.2658286219711924,0.7556585200362775,0.19069762033018828,0.4661735286081079,6.715239773434732,3.3770563167668954,0.2504854537435427,0.3261502772607863,0.6086714260340934,0.29638228284823204,0.7905271879364388,1.0688326794100484,0.5852141825682428,0.6638907232177369,0.09375590665196751,0.6638078955583684,0.6980606319403246,0.2655666378267641,0.42821031215150107,0.5581682945219925,0.17631619751932773,0.6797282461381934,0.16402413752416212,1.144196051957699,0.573696994207112,0.386863468937981,0.5201420964869505,0.7077378871300032,0.5687135322507991,0.6300855114784326,0.061795820398574966,0.2666749158314959,0.2631559196276199,0.1939090818018367,0.2762600827390475,0.1,0.3,0.3333333333333333,0.6164596213864484,0.3198528114552693,0.784380545803987,1.072913787244481,0.5748309897580236,1.0,0.0,0.03522540794978935,0.3486574690335032,0.241872379286293,0.37424474373041444
s4_narrow_passage_hard,M43,14.5,0.0,1.0,0.0,46.205,0.20633625741433578,0.2648683048747148,0.9943833333333334,0.6583243315002706,0.0,0.6583243315002706,0.10633827325063676,0.4517346938745511,0.23312323885823613,0.9377571044822492,0.9747918053486474,1.0,1.2391154728247686,8.4,0.5300990356126654,0.17443062990707697,0.2887717958092657,0.14885378410353836,0.02825930330449903,0.1415845086336335,0.5339206185331313,0.843713579928209,0.5047377488147556,0.5519358525313527,0.5419627868356232,0.5838730807353729,0.8077263497648932,0.5825084938180478,0.04029996303370708,0.7942609661953355,1.0782634189223,0.9473903711048773,1.081869581256946,0.2956259515637674,0.6624395939414692,0.20387047794160756,0.7108136675004384,0.6228282839725178,0.0,,,,,,,1.354578050784695,0.3629969803640537,2.0,0.23139113252656332,0.5405400492684942,16.547960352686143,13.25563298568089,0.0,0.0,0.5964563719159209,0.10667953169908448,0.8304020794529989,1.077077239435552,0.3971904953233669,0.5043435694959006,0.33183148868294754,0.7463883628793238,0.6575229986857106,0.0,,,,,,1.3279398287914963,0.5407084359613556,0.1451143494626359,0.5876340329218905,0.8432530098828336,0.8901190838980909,0.8306379386903137,0.03479198042712041,0.1397014843126185,0.2907580104302659,0.22860229166254759,0.340938213594568,1.0,345.5,0.9151751745707459,0.601895418203743,0.12655470863983015,0.8271120920506329,1.0764923231239663,0.43935253045192424,1.0,0.0,0.11021926591113576,0.1962416455817698,0.279498713825037,0.41404037468205745
s4_narrow_passage_hard,M59,14.5,0.0,0.0,1.0,60.0,1.7473274511210402,0.5851281222865108,0.9999722222222223,0.22537246500797753,0.0,0.22537246500797753,0.01486382615450999,0.16797590038616889,0.017425849510823786,0.8977664093515347,0.9953591097576586,1.0,1.3001743374471741,3.0,0.4174153381141988,0.10515854176606272,0.26033556661738827,0.1655206468888228,0.021164646396460624,0.1091300088887494,0.7158492048064866,0.77784598544856,0.5025909617956261,0.529264712521778,0.582336312004524,0.3392672509092668,0.951710051546612,0.42431389147271237,0.01748227690718483,0.7784080050203872,1.0737060076759974,0.9276668591544309,1.0910363557888525,0.02040190318086721,0.07583367889249716,0.03294977430487271,0.8503833676579781,0.18884109770683194,0.08477019732760248,0.2742437218661665,0.48383899359605387,0.11776436795929232,0.11273477779517385,0.21606176646035583,0.02628099245214254,1.52886759839529,0.058677087379168366,0.2107512592217322,0.09841811587083121,0.3679469626169011,-0.8132831347040028,-0.8218993684244584,0.26180467661870194,0.3080409185639798,0.4532955332860492,0.12364225638202228,0.7828924064416429,1.090788340104667,0.0025283773977859093,0.1289807131732313,0.051558405768463746,0.7853010851348247,0.2611036279660734,0.0971031963156756,0.33267255308675026,0.536709596506188,0.142528814088207,0.31437626007901537,0.038140487092646266,1.0318109553103803,0.002219000628661532,0.12061590062108614,0.6369026957389968,0.41004808880538796,0.915615324099004,0.46926575366315343,0.02828582186986885,0.3368655097327522,0.1407213308409384,0.22290579854659337,0.29950736087971597,0.0,0.0,,,,,,,,,,,,
s4_narrow_passage_hard,M61,14.5,0.0,0.0,1.0,60.0,1.9007233008062925,0.5851281222866358,0.9999722222222223,0.1710030433363312,0.0,0.1710030433363312,0.013190333594775675,0.13433697683719062,0.024158109915933403,0.900757177400554,0.996115711878673,1.0,1.3022842902954967,3.0,0.41435322728197865,0.10291190224763694,0.253781976897272,0.1657091656788951,0.02078937328013434,0.10731921425812929,0.7318408664930892,0.7808054563561951,0.5025007543736905,0.5259271431382568,0.588318744848922,0.33649348946920987,0.9583405275252866,0.4257279563844902,0.015984794892755522,0.7781475815549169,1.0734349933247587,0.9244930798285361,1.0911400411233925,0.015022253243287343,0.06741062349589008,0.03159830283471462,0.8587615729091695,0.17192082181376062,0.08633277105590542,0.2638819853157651,0.48877392059485764,0.11107585712111072,0.09977196077002856,0.21173501023314048,0.026090370578111012,1.5196354005045725,0.05555503453145433,0.22008781646824005,0.09254980591675621,0.36794689287487425,-1.0152271883001496,-1.018093223609329,0.2586542752834757,0.3050218604895562,0.44381465062545844,0.11593882646756193,0.7823114630114347,1.0910387372180723,7.810185052441597e-05,0.10510412682653165,0.04698634725123742,0.8116658978891891,0.2221210238388535,0.09743915443812162,0.3019465705050691,0.5514709684660588,0.12335868033421286,0.297745193914132,0.03685081793650824,1.037424091615811,0.0006104499367076955,0.1038410122745365,0.6573806272272424,0.4017393569628246,0.9341806346685149,0.47214870689209204,0.023790201812128865,0.34628491057138566,0.13640882273161464,0.22183463699404388,0.2954716297029558,0.0,0.0,,,,,,,,,,,,
s4_narrow_passage_hard,M62,14.5,0.1,0.9,0.1,52.015,0.23014560458726044,0.4281394320655661,0.9999722222222223,0.5483617281296287,0.0,0.5483617281296287,0.10511102007206474,0.4549346362959512,0.23124354951553175,0.9034820350650727,0.9876057958336872,1.0,1.2219215870649427,7.0,0.5034049114719729,0.16657351491167288,0.3017419365183474,0.15041641395351532,0.02446199946593181,0.1296751724584612,0.5538908270761126,0.7781087239917239,0.5050573510257037,0.533996010259491,0.5339278018135085,0.5187178928744849,0.8189273495642467,0.5391988395734824,0.03686715557074951,0.7890829249540203,1.0776317721204811,0.9524412229244236,1.0827290276744335,0.26420907218763867,0.26536578655195375,0.06520033044427236,0.7750678407708164,0.4458862625127562,0.24109283001520715,0.3534537268057451,0.5430726309279982,0.15821933370376837,0.2105719496621695,0.43016228371333626,0.14657158279280114,1.504156931087577,0.32093441039727844,0.9473371000183235,0.1987296121528221,0.4744586131572451,14.931508253990538,10.346333995813913,0.24655525192943584,0.3310674138867597,0.6195583423152475,0.19331141077730088,0.8164725077975685,1.0734969126593499,0.5361356175119654,0.3743648802293582,0.11584227716331326,0.720599260901249,0.7479608177841148,0.4676472120382195,0.4549852572429767,0.7720561293744196,0.21239575642459876,0.8002907449286948,0.44656543161922374,1.242793613495407,0.6588370149789503,0.2207261095181554,0.5653652917597833,0.8572039689743246,0.7151000294050478,0.7951353546598886,0.054783944738456436,0.20963881942571852,0.2745260244976949,0.2128964780576652,0.3029386780189213,1.0,229.0,0.867166546311265,0.6175710283062056,0.15067855899767996,0.825662902673359,1.0752770601985826,0.48995255060961895,1.0,0.0,0.08277964977949114,0.23251567217846297,0.2785545268113002,0.40615015123074566
s4_narrow_passage_medium,M43,14.5,1.0,0.0,1.0,32.465,0.41106130925466483,0.3788825184691914,0.9999833333333333,0.6427497017047981,0.0,0.6427497017047981,0.10907848298386884,0.3509170291876838,0.31265973141741266,0.9294328126870803,0.9852243019662137,1.0,1.2262962838280198,8.8,0.5344218265690757,0.17916245502840172,0.29948505323780994,0.14621931704658442,0.02565460982382558,0.13882080477451064,0.5503388421592863,0.79710225998133,0.5055728871599612,0.5297250434382194,0.5384112336241573,0.5905060638523589,0.7859214891790348,0.5934262735836888,0.04534587541540189,0.7949490477711932,1.0780511292205648,0.9526845194598547,1.0804206243756214,0.40214562382228075,0.7341442261559934,0.23600900153866705,0.7168973081681522,0.6909751712678951,0.0,,,,,,,1.440698657070684,0.47096582325562847,0.9480762132164227,0.22962727802365457,0.49386062391987035,14.420035645251778,11.41281023147987,0.0,0.0,0.6156191328801177,0.13594144607115377,0.828731089920641,1.0755119415996,0.5205832760333243,0.6559910964354077,0.4001848678559329,0.7368191853204383,0.7754907850539614,0.0,,,,,,1.311367241790492,0.6204841835329697,0.13413535059676635,0.5800461443596558,0.8603593097829773,0.8086737593427404,0.8407839917391293,0.05747314683041162,0.15004357729320672,0.30875338217566606,0.2191960969385546,0.32200694359257265,1.0,218.2,0.8693605813720444,0.61670856343592,0.14857941359718754,0.8259877309190256,1.0752483536578723,0.5374381459706348,1.0,0.0,0.08486284003624407,0.24514139880867672,0.2771134323596418,0.39288232879543744
s4_narrow_passage_medium,M59,14.5,0.0,0.0,1.0,40.0,1.6850613159699346,0.49035820287857657,0.9999750000000001,0.1038321242354185,0.0,0.1038321242354185,0.007918548303902342,0.18140623496622355,0.020841413878834404,0.8760115282519422,0.9951161351621899,1.0,1.273239038035459,3.0,0.3979234747309538,0.09492325246143259,0.29358180281389107,0.1653786667270352,0.02116516952436258,0.09927169326395947,0.6860485991949526,0.7017439075723176,0.5028918599669825,0.5151364779645746,0.5564877079851088,0.3016527705171921,0.9700525514913106,0.4046705967946698,0.01255722218359106,0.7761364555492698,1.0721210212236774,0.9416041365123944,1.0909582666998694,0.04186876908333291,0.048554135969711275,0.024869597826106024,0.8889542889787411,0.15499800399602084,0.0797776435599687,0.24234935929504414,0.45793219384242995,0.10452824794276754,0.08390452257554892,0.17345082804416617,0.02189185568070296,1.755360287410987,0.09780087917494915,0.1515341560289185,0.08618447913135333,0.36678682823023917,-0.5019616670471857,-0.7181014669576418,0.24500436166348777,0.3090045622734935,0.4517285739856772,0.11917517281116581,0.7836455971048093,1.0907367141795008,0.11464362838182604,0.11995657832846482,0.05978177375635677,0.8253419297503989,0.28502617026559407,0.10772656268426603,0.29364432912682525,0.5710926773560202,0.118671210185374,0.28868972256443276,0.03929344490471347,1.057711891269514,0.051188364791831066,0.09358975226877772,0.6569148297501811,0.4126342416712977,0.9226417354697434,0.4987654280073402,0.030244189210097493,0.4010495567064759,0.12354458411659577,0.2032210592797134,0.2721847998972149,0.0,0.0,,,,,,,,,,,,
