success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_any,inside_final,gmax_success,radius_success,sigma_success,no_collision,obs_collision,agent_collision,dwell_success,dwell_geom_success,dwell_success_no_collision,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,time_to_inside,time_to_gmax,time_to_radius,time_to_full_geom,success_hold_time,post_success_violation_count,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate,scene,method,seed,k_s,k_t,r0
False,17.85,0.9281655527600197,0.30337307428281496,True,91.98459388213942,683.7336593659181,0.03349979192675822,71.99277771935407,0.09723457396715862,0.6973287683705838,0.00011291341462970848,0.00011291341462970848,123.78250083486006,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.102671231629416,False,False,24.0,23.650000000000002,24.0,20.450000000000003,40.0,22.200000000000003,0,72.4893173373361,2.099484895161443,1.0,s4_narrow_passage_medium,M7,20,3.4,1.3,1.7
False,17.95,0.8618931704138684,0.3192412777700971,True,92.86425518034387,706.1311461940243,0.031835205992509365,72.05739032594951,0.08862781300429733,0.703655539118854,0.006334649226109492,0.006334649226109492,124.4403802235204,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.096344460881146,False,False,23.75,23.75,23.75,20.55,40.0,22.1,0,72.49087615811206,2.0994793330205064,1.0,s4_narrow_passage_medium,M7,21,3.4,1.3,1.7
False,17.6,0.8244383986765269,0.32550678306870096,True,92.45659310325883,723.4251878902452,0.03745318352059925,72.04794176357625,0.08861295591335404,0.7036669820189759,0.0064161049652954934,0.0064161049652954934,123.9400523532892,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.096333017981024,False,False,23.450000000000003,23.35,23.450000000000003,20.200000000000003,40.0,22.450000000000003,0,72.32347972988505,2.0994871958264842,1.0,s4_narrow_passage_medium,M7,22,3.4,1.3,1.7
False,17.25,0.7623114128952577,0.30177739044894564,True,92.76106044016636,665.2130187301053,0.04723262588431128,72.07398317176008,0.08864097556996987,0.7036435436586989,0.006481549780642401,0.006481549780642401,123.20264248652657,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.096356456341301,False,False,23.35,23.150000000000002,23.35,19.900000000000002,40.0,22.8,0,72.37098540848643,2.0994912033021764,1.0,s4_narrow_passage_medium,M7,23,3.4,1.3,1.7
False,17.2,0.8032810151315102,0.32259902098288495,True,92.94822287043337,731.6802534157587,0.046608406158967955,72.05254577787895,0.08860824581972075,0.7036704313390317,0.006249182480259798,0.006249182480259798,124.05498141987735,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.096329568660968,False,False,23.450000000000003,23.05,23.450000000000003,20.1,40.0,22.85,0,72.30499754400884,2.099489239494844,1.0,s4_narrow_passage_medium,M7,24,3.4,1.3,1.7
False,17.5,0.7758023115757993,0.32440735090791967,True,93.30127712221918,704.6054522364595,0.041822721598002495,72.01996914376812,0.0972241148931931,0.697336017579977,0.00013475350226944648,0.00013475350226944648,124.24468785129126,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.102663982420023,False,False,23.5,23.0,23.5,20.1,40.0,22.55,0,72.39423863597456,2.099490935333475,1.0,s4_narrow_passage_medium,M7,25,3.4,1.3,1.7
False,17.75,0.8526538752920481,0.3256854846831438,True,92.11480365968856,750.5163771960819,0.03766125676238036,72.02719359727634,0.09723216482648954,0.6973304732647646,0.0001388379901921696,0.0001388379901921696,123.77964988512623,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.102669526735235,False,False,23.25,23.25,23.25,20.35,40.0,22.3,0,72.52477136723118,2.099485418683501,1.0,s4_narrow_passage_medium,M7,26,3.4,1.3,1.7
False,17.55,0.9022023864980484,0.30477299498820437,True,92.16888610895677,705.6127792006469,0.030378693300041615,72.02623064216023,0.09723501445137755,0.6973284315967779,0.0001241887241157631,0.0001241887241157631,123.39053725625955,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.102671568403222,False,False,23.900000000000002,23.3,23.900000000000002,20.150000000000002,40.0,22.5,0,72.42687057661715,2.0994884408496266,1.0,s4_narrow_passage_medium,M7,27,3.4,1.3,1.7
False,17.8,0.9302283816179309,0.31806116220622266,True,92.30868010176052,664.5994170610907,0.03058676654182272,72.0621454917759,0.0886217765432193,0.703660060654466,0.006487661573080774,0.006487661573080774,123.88901679044052,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.0963399393455338,False,False,23.75,23.35,23.75,20.400000000000002,40.0,22.25,0,72.44536967080319,2.0994827222483843,1.0,s4_narrow_passage_medium,M7,28,3.4,1.3,1.7
False,17.75,0.8178120658253809,0.31198012975509654,True,92.54066926504362,687.0525577240119,0.03953391593841032,72.02471026137808,0.08862726455460128,0.7036564934607578,0.006466131162036604,0.006466131162036604,123.92134499968907,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.096343506539242,False,False,23.55,23.450000000000003,23.55,20.3,40.0,22.3,0,72.43955075247415,2.099485485930772,1.0,s4_narrow_passage_medium,M7,29,3.4,1.3,1.7
True,17.7,0.8607046165293413,0.3587118889809413,False,92.97842028954204,820.9399108438809,0.0357885975863504,72.04399058253152,0.08867467092786836,0.7036215592763208,0.00628719005076155,0.00628719005076155,123.97722753900322,0,0.0,True,True,True,False,True,True,False,False,True,True,True,2.096378440723679,False,True,23.900000000000002,23.1,23.900000000000002,20.25,40.0,22.35,0,72.48821461127027,2.0994629893796666,1.0,s4_narrow_passage_medium,M7,30,3.4,1.3,1.7
False,17.45,0.8563596277260264,0.30772123795956524,True,92.31142101489694,687.1441615421562,0.03141905950894715,72.02174079836593,0.09722287906722878,0.6973371849486675,9.717428489234889e-05,9.717428489234889e-05,123.42261569481576,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1026628150513322,False,False,23.5,23.200000000000003,23.5,20.05,40.0,22.6,0,72.39639092998705,2.099490617140057,1.0,s4_narrow_passage_medium,M7,31,3.4,1.3,1.7
True,17.75,0.9301615560220122,0.360671305041218,False,92.684648960969,820.9608828106182,0.03724511027881815,72.01896346921741,0.09709685743518774,0.6974285220956727,0.00024127692178775424,0.00024127692178775424,124.04818721451012,0,0.0,True,True,True,False,True,True,False,False,True,True,True,2.102571477904327,False,True,23.3,23.200000000000003,23.3,20.35,40.0,22.3,0,72.48514606742488,2.09947352982621,1.0,s4_narrow_passage_medium,M7,32,3.4,1.3,1.7
False,17.8,0.8673997536987603,0.3036568794119316,True,92.12063911098679,681.4294498282758,0.033707865168539325,72.03702896097633,0.09722546239207787,0.6973353663283247,0.00010125479446457887,0.00010125479446457887,123.80477013703333,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.102664633671675,False,False,23.900000000000002,23.6,23.900000000000002,20.400000000000002,40.0,22.25,0,72.46098809496726,2.099486926129833,1.0,s4_narrow_passage_medium,M7,33,3.4,1.3,1.7
False,17.650000000000002,0.9026256135428457,0.323800561404693,True,92.49323549930581,824.2077185516001,0.03162713275072826,72.46976641998552,0.0968331580054188,0.697623597974601,0.0004857162782883868,0.0004857162782883868,123.62797079116248,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1023764020253988,False,False,23.35,23.05,23.35,20.200000000000003,40.0,22.400000000000002,0,72.44109313273759,2.0994699858174015,1.0,s4_narrow_passage_medium,M7,34,3.4,1.3,1.7
False,17.6,0.7847069366044204,0.3159636516644969,True,92.78343097493295,715.1719480050513,0.04681647940074907,72.03470458651321,0.09724302740402252,0.6973227217519521,0.00010793789629244873,0.00010793789629244873,124.03683407624702,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1026772782480476,False,False,23.400000000000002,23.3,23.400000000000002,20.200000000000003,40.0,22.450000000000003,0,72.41806230706388,2.0994902421777444,1.0,s4_narrow_passage_medium,M7,35,3.4,1.3,1.7
False,17.75,0.8747112876702217,0.3129200725790048,True,92.42747041263661,693.0273471097092,0.03786933000416146,72.0921828229742,0.08862325452393226,0.7036566691179681,0.0065333617979213545,0.0065333617979213545,123.97222660102611,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.0963433308820316,False,False,23.85,23.3,23.85,20.35,40.0,22.3,0,72.46088387885742,2.0994825794423178,1.0,s4_narrow_passage_medium,M7,36,3.4,1.3,1.7
False,17.8,0.9425233736764118,0.33430191512469826,True,92.36463294963323,780.9179081612942,0.03620474406991261,72.07670688349651,0.08863206377912008,0.7036513000785908,0.006459551282553726,0.006459551282553726,123.82902800049973,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.096348699921409,False,False,25.1,23.25,25.1,20.35,40.0,22.25,0,72.47587130271828,2.099462456003539,1.0,s4_narrow_passage_medium,M7,37,3.4,1.3,1.7
False,17.85,0.9130389586015315,0.3039542189590308,True,91.794295625299,691.123044397672,0.03682896379525593,72.01292257830046,0.09724839695474062,0.6973187694675073,0.00015660716916281097,0.00015660716916281097,123.56033020427287,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1026812305324927,False,False,24.1,23.6,24.1,20.450000000000003,40.0,22.200000000000003,0,72.4662886398979,2.0994868647708667,1.0,s4_narrow_passage_medium,M7,38,3.4,1.3,1.7
False,17.900000000000002,0.8382943225657924,0.30375869745282746,True,92.735107198505,697.4594227393798,0.04119850187265917,72.01238253307558,0.09721395027064107,0.6973435377100624,0.00015348340430920278,0.00015348340430920278,124.23143235435796,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1026564622899375,False,False,24.0,23.6,24.0,20.450000000000003,40.0,22.150000000000002,0,72.46960484785896,2.0994862678051094,1.0,s4_narrow_passage_medium,M7,39,3.4,1.3,1.7
False,17.900000000000002,0.8093925947444942,0.3216961842051035,True,92.59148946543662,722.231227386232,0.045151893466500205,72.02499334476731,0.1090288934471399,0.7383457393876155,0.00021400620530751517,0.00021400620530751517,124.15905026639273,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.0616542606123844,False,False,23.700000000000003,23.200000000000003,23.700000000000003,20.400000000000002,40.0,22.150000000000002,0,72.50031661970147,2.0584496267664663,1.0,s4_narrow_passage_medium,M7,10,3.4,1.3,1.8
False,18.05,0.8854367705415302,0.33524587849589277,True,91.74777470442466,717.5986406037964,0.028922180607573865,72.1191994486575,0.09991029292502608,0.744662623035607,0.00665067980514409,0.00665067980514409,123.74314445772903,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.055337376964393,False,False,23.55,23.450000000000003,23.55,20.55,40.0,22.0,0,72.59142849710219,2.058437556030598,1.0,s4_narrow_passage_medium,M7,11,3.4,1.3,1.8
True,18.05,0.7980644792987153,0.3480917469411636,False,92.7317133249486,779.8455789140961,0.04744069912609238,72.00184494484195,0.10900270873236421,0.7383628837270519,0.000275479029038698,0.000275479029038698,124.1722476939687,0,0.0,True,True,True,False,True,True,False,False,True,True,True,2.061637116272948,False,True,25.25,23.5,25.25,20.5,40.0,22.0,0,72.52504602894274,2.058444278625688,1.0,s4_narrow_passage_medium,M7,12,3.4,1.3,1.8
False,17.85,0.9152329343188963,0.30459379052971874,True,91.82136123009967,680.4666207690744,0.030378693300041615,72.02407120532897,0.09989435068470855,0.7446787654455495,0.006101827279252903,0.006101827279252903,123.53013710279174,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.0553212345544503,False,False,23.950000000000003,23.450000000000003,23.950000000000003,20.35,40.0,22.200000000000003,0,72.54198961593266,2.0584483429594864,1.0,s4_narrow_passage_medium,M7,13,3.4,1.3,1.8
False,17.8,0.9428716998164479,0.32992216564021837,True,92.05265142754291,686.9895159982411,0.025593008739076155,72.02824480518146,0.0998891886974324,0.7446812451553706,0.006550484444704667,0.006550484444704667,123.71347620193744,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.0553187548446292,False,False,24.25,23.35,24.25,20.3,40.0,22.25,0,72.49549737733514,2.058446111195342,1.0,s4_narrow_passage_medium,M7,14,3.4,1.3,1.8
False,18.1,0.8888590975066812,0.32386362602121394,True,92.17875776352828,696.0198357675267,0.04015813566375364,72.01317800437079,0.10902819726746105,0.7383462246541513,0.0002391393487006464,0.0002391393487006464,124.27736748240653,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.0616537753458486,False,False,23.700000000000003,23.6,23.700000000000003,20.6,40.0,21.950000000000003,0,72.5758862947878,2.0584438274600125,1.0,s4_narrow_passage_medium,M7,15,3.4,1.3,1.8
False,17.85,0.8613424228162725,0.3256673614705807,True,92.32832487067898,696.8060230747316,0.038909696213067,72.04836386245434,0.09988035832388704,0.7446868709923075,0.0065824824743350736,0.0065824824743350736,124.02734455125989,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.0553131290076925,False,False,23.75,23.35,23.75,20.35,40.0,22.200000000000003,0,72.53117183597583,2.05844456279107,1.0,s4_narrow_passage_medium,M7,16,3.4,1.3,1.8
False,17.85,0.8062287316723873,0.3313513103367976,True,92.88087119511097,780.0427002541514,0.041406575114440285,72.06454471312028,0.09989954598602285,0.7446723153780468,0.006480741033636604,0.006480741033636604,124.12812473911082,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.055327684621953,False,False,25.0,23.450000000000003,25.0,20.25,40.0,22.200000000000003,0,72.53962426950017,2.0584376518163237,1.0,s4_narrow_passage_medium,M7,17,3.4,1.3,1.8
False,18.150000000000002,0.9708929730696678,0.31485521493933977,True,91.63186437795653,702.7944879164618,0.038909696213067,72.03498320126872,0.09986877577155473,0.7446963762876492,0.0061363645667504955,0.0061363645667504955,123.76061278705208,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.0553036237123505,False,False,24.150000000000002,23.55,24.150000000000002,20.650000000000002,40.0,21.900000000000002,0,72.60432305589005,2.058434752113966,1.0,s4_narrow_passage_medium,M7,18,3.4,1.3,1.8
False,17.7,0.8446030256558401,0.3151147248590332,True,92.52480466741876,684.0265838830232,0.03974198918019143,72.04148078094566,0.10902562156945768,0.7383477525235689,0.0002275174253325644,0.0002275174253325644,123.83977971427952,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.061652247476431,False,False,23.3,23.200000000000003,23.3,20.200000000000003,40.0,22.35,0,72.48503997133531,2.0584558537157993,1.0,s4_narrow_passage_medium,M7,19,3.4,1.3,1.8
False,18.0,0.9366281234579008,0.3346708233753454,True,92.06890511081575,781.9280907535202,0.03162713275072826,72.12409055634551,0.09991648853990287,0.7446577919410853,0.006605541375467627,0.006605541375467627,124.43990047946812,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.0553422080589145,False,False,23.8,23.3,23.8,20.55,40.0,22.05,0,72.42006075738384,2.0585216045370736,1.0,s4_narrow_passage_medium,M7,20,3.4,1.3,1.8
False,18.150000000000002,0.871894319602508,0.31209466943407205,True,92.60888805733845,713.127486648342,0.032251352476071575,72.0291576636006,0.10899985567850344,0.7383649116287555,0.0002914387932418576,0.0002914387932418576,124.42241512135004,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.0616350883712444,False,False,23.8,23.6,23.8,20.700000000000003,40.0,21.900000000000002,0,72.6030779133201,2.05843710440113,1.0,s4_narrow_passage_medium,M7,21,3.4,1.3,1.8
False,17.8,0.8621087014098963,0.3267586355985716,True,92.20443967348461,727.449899583963,0.03682896379525593,72.03590439376396,0.1090099232073623,0.7383580712695386,0.00027816115266738684,0.00027816115266738684,123.97309357165638,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.0616419287304613,False,False,23.5,23.400000000000002,23.5,20.3,40.0,22.25,0,72.4290750446544,2.058465828364663,1.0,s4_narrow_passage_medium,M7,22,3.4,1.3,1.8
False,16.95,0.7563490010199339,0.30407300234877116,True,92.88832109100879,671.0705732003241,0.05347482313774449,72.02993981668963,0.1089981729986973,0.7383663970841191,0.00018308083297753015,0.00018308083297753015,123.0251157092554,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.061633602915881,False,False,23.6,23.1,23.6,19.8,40.0,23.1,0,72.42785788522178,2.0584613707276294,1.0,s4_narrow_passage_medium,M7,23,3.4,1.3,1.8
False,17.85,0.8122771446866064,0.3234814554988544,True,92.81364303137687,709.6600412999896,0.04078235538909696,72.04539292392752,0.1090289839077266,0.7383456044697133,0.00022512512091910948,0.00022512512091910948,124.2608431993397,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.0616543955302866,False,False,23.650000000000002,23.150000000000002,23.650000000000002,20.35,40.0,22.200000000000003,0,72.42870980258462,2.058448833690692,1.0,s4_narrow_passage_medium,M7,24,3.4,1.3,1.8
False,17.5,0.747033651656597,0.32025502699082614,True,93.46048005702454,793.3162305619969,0.05305867665418227,72.07555932803803,0.09990561994007334,0.7446682998904585,0.006197523433771443,0.006197523433771443,124.12668823474246,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.0553317001095412,False,False,22.85,22.75,22.85,20.0,40.0,22.55,0,72.50464675056269,2.058446858759027,1.0,s4_narrow_passage_medium,M7,25,3.4,1.3,1.8
False,17.75,0.8103582249375141,0.32502789277681193,True,92.45070395121724,697.8942232341133,0.04411152725759467,72.00335578486813,0.10901357999696726,0.7383556130954702,0.0002523276561663423,0.0002523276561663423,123.99789547960194,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.0616443869045296,False,False,23.1,23.1,23.1,20.25,40.0,22.3,0,72.49300900772046,2.0584517163467844,1.0,s4_narrow_passage_medium,M7,26,3.4,1.3,1.8
False,17.8,0.9047794002691141,0.3042652792222913,True,91.90383059883766,689.4190136053046,0.02725759467332501,72.02489003589248,0.10900307780098907,0.7383630915919254,0.0002348196256404673,0.0002348196256404673,123.46342336810312,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.0616369084080746,False,False,23.700000000000003,23.450000000000003,23.700000000000003,20.3,40.0,22.25,0,72.55206580374939,2.0584507750238528,1.0,s4_narrow_passage_medium,M7,27,3.4,1.3,1.8
False,18.0,0.9429367115984768,0.3265351777049391,True,92.17599082541315,698.5963231098686,0.028922180607573865,72.0553325457776,0.10902776738666992,0.7383463809381463,0.00025152236512870224,0.00025152236512870224,124.05186791312781,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.0616536190618535,False,False,23.900000000000002,23.5,23.900000000000002,20.5,40.0,22.05,0,72.56277526930435,2.0584456908305815,1.0,s4_narrow_passage_medium,M7,28,3.4,1.3,1.8
False,17.95,0.8499855828428025,0.30815089771546583,True,92.31061234865943,667.8260377260409,0.03870162297128589,72.06906079343068,0.099874756684017,0.7446906716480058,0.0065092533724283004,0.0065092533724283004,123.96663996378678,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.055309328351994,False,False,23.85,23.35,23.85,20.450000000000003,40.0,22.1,0,72.57506380948682,2.0584426045923885,1.0,s4_narrow_passage_medium,M7,29,3.4,1.3,1.8
True,17.900000000000002,0.874435433859672,0.38894703932521824,False,92.77579451101175,780.7013656001733,0.033083645443196,72.03640582151061,0.10902510574682824,0.7383479883191567,0.0002519025308464182,0.0002519025308464182,124.07039844597145,0,0.0,True,True,True,False,True,True,False,False,True,True,True,2.061652011680843,False,True,23.650000000000002,23.150000000000002,23.650000000000002,20.35,40.0,22.150000000000002,0,72.61141537388642,2.0584447485257917,1.0,s4_narrow_passage_medium,M7,30,3.4,1.3,1.8
False,17.7,0.8909801204297823,0.31863510241009635,True,92.06859065775892,688.1524657474702,0.03204327923429047,72.06785171756344,0.09989305146752035,0.7446769109636172,0.00657324577587686,0.00657324577587686,123.49160404077918,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.0553230890363827,False,False,23.55,23.25,23.55,20.200000000000003,40.0,22.35,0,72.52580257943256,2.0584422365748014,1.0,s4_narrow_passage_medium,M7,31,3.4,1.3,1.8
True,17.95,0.9210479595571159,0.38518855560975346,False,92.56907649166027,765.5564110796989,0.03391593841032043,71.99925723897609,0.10900202129563719,0.7383633005801471,0.0002785534481102527,0.0002785534481102527,124.19259656191312,0,0.0,True,True,True,False,True,True,False,False,True,True,True,2.0616366994198527,False,True,23.6,23.25,23.6,20.450000000000003,40.0,22.1,0,72.64984079150528,2.058444710655035,1.0,s4_narrow_passage_medium,M7,32,3.4,1.3,1.8
False,17.900000000000002,0.7792378243794376,0.3050918141908377,True,92.46348114202671,695.4476723103213,0.03953391593841032,71.9988004563737,0.10901008659217555,0.7383586328458979,0.00019660939930012935,0.00019660939930012935,124.03676941733193,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.061641367154102,False,False,23.6,23.5,23.6,20.400000000000002,40.0,22.150000000000002,0,72.5439337463664,2.0584543807936404,1.0,s4_narrow_passage_medium,M7,33,3.4,1.3,1.8
False,17.85,0.9247769611301038,0.33201234225086174,True,92.23733405704995,775.1482773683485,0.02725759467332501,72.0400143579779,0.10901912272026759,0.7383521081965728,0.00024946844955243584,0.00024946844955243584,123.77722730827269,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.061647891803427,False,False,23.650000000000002,23.150000000000002,23.650000000000002,20.35,40.0,22.200000000000003,0,72.608772716206,2.0584457358544137,1.0,s4_narrow_passage_medium,M7,34,3.4,1.3,1.8
False,17.8,0.8439199611952646,0.312439347214828,True,92.46949552805559,740.0641312151208,0.04119850187265917,72.02264772371139,0.09986581300349673,0.7446990890432669,0.006354086030912299,0.006354086030912299,124.13407260903011,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.055300910956733,False,False,23.650000000000002,23.25,23.650000000000002,20.3,40.0,22.25,0,72.51562887157566,2.0584501203884584,1.0,s4_narrow_passage_medium,M7,35,3.4,1.3,1.8
False,17.95,0.8944317230933752,0.3211682742264799,True,92.29122898242056,701.8074934952429,0.03495630461922597,72.04042187168041,0.0998839418928489,0.7446852473538551,0.006246831827780474,0.006246831827780474,124.11445419588715,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.0553147526461446,False,False,23.75,23.35,23.75,20.450000000000003,40.0,22.1,0,72.56199350193818,2.0584427213896217,1.0,s4_narrow_passage_medium,M7,36,3.4,1.3,1.8
True,18.0,0.9700102675844258,0.34667528849223767,False,92.13652454496584,751.9922742040211,0.03266749895963379,72.08741219902562,0.09989913222225723,0.7446721261630443,0.006595198647524451,0.006595198647524451,123.97296140126639,0,0.0,True,True,True,False,True,True,False,False,True,True,True,2.0553278738369554,False,True,25.3,23.3,25.3,20.5,40.0,22.05,0,72.66830003293403,2.058430425463935,1.0,s4_narrow_passage_medium,M7,37,3.4,1.3,1.8
