scene,method,t_pred,split,success_rate,collision_rate,obs_collision_rate,agent_collision_rate,completion_time_mean,current_center_error_mean,predicted_center_error_mean,input_sat_mean,gmax_mean,radius_error_final_mean,time_to_gmax_mean,time_to_radius_mean
s6_fast_target,M4,0.0,tuning,0.0,1.0,0.0,1.0,60.0,2.7609527055106633,2.7609527055106633,0.33435100379313537,312.38573140711424,0.07395896318023872,60.0,22.75
s6_fast_target,M4,0.3,tuning,0.0,1.0,0.0,1.0,35.56666666666667,2.674063187321791,2.9069254457997027,0.3400869645665649,310.34777315732816,0.008233481056111991,60.0,22.483333333333334
s6_fast_target,M4,0.7,tuning,0.0,1.0,0.0,1.0,28.650000000000002,2.5587764502449697,3.1021213526616838,0.34785826625959854,307.39346348111974,0.11624217086067024,60.0,22.133333333333336
s6_fast_target,M4,1.0,tuning,0.0,1.0,0.0,1.0,27.416666666666668,2.4728253727345186,3.249031901105543,0.35345545378850957,305.0378966242557,0.1963416844935022,60.0,21.933333333333337
s6_fast_target,M4,1.3,tuning,0.0,1.0,0.0,1.0,26.666666666666668,2.387249268344466,3.396317041415258,0.3593301878064576,302.5577916569733,0.27567785021558205,60.0,21.75
s6_fast_target,M4,1.5,tuning,0.0,1.0,0.0,1.0,26.283333333333335,2.3303828046643646,3.4946911566843935,0.3632620964011472,300.8573831842487,0.3281563725486583,60.0,21.666666666666668
s6_fast_target,M7,0.0,tuning,0.0,1.0,0.0,1.0,60.0,2.7613599611951223,2.7613599611951223,0.33435100379313537,312.4574568893054,0.07367584021642459,60.0,22.700000000000003
s6_fast_target,M7,0.3,tuning,0.0,1.0,0.0,1.0,35.43333333333334,2.674224394449372,2.9070866416315506,0.3400407068183921,310.337105396524,0.008268555365506044,60.0,22.416666666666668
s6_fast_target,M7,0.7,tuning,0.0,1.0,0.0,1.0,28.600000000000005,2.5588364595081874,3.102181309637546,0.34785826625959854,307.35811721333255,0.1162192115097298,60.0,22.100000000000005
s6_fast_target,M7,1.0,tuning,0.0,1.0,0.0,1.0,27.36666666666667,2.472816767875489,3.249023174988204,0.35350171153668236,305.05011910430056,0.19629016391396803,60.0,21.883333333333336
s6_fast_target,M7,1.3,tuning,0.0,1.0,0.0,1.0,26.600000000000005,2.387371750428379,3.3964393098078696,0.359237672310112,303.10697234208334,0.27580592722951075,60.0,21.71666666666667
s6_fast_target,M7,1.5,tuning,0.0,1.0,0.0,1.0,26.21666666666667,2.3334172507931608,3.497725091810032,0.3631233231566287,303.8080924646454,0.3283485161932787,60.0,21.633333333333336
s6_fast_target,M9,0.0,tuning,0.0,1.0,0.0,1.0,28.21666666666667,2.2853025725104064,2.2853025725104064,0.3591451568137663,272.44646499018717,0.2820629995178143,60.0,22.183333333333337
s6_fast_target,M9,0.3,tuning,0.0,1.0,0.0,1.0,27.383333333333336,2.1797739025456515,2.4126364985766156,0.3655287260616153,267.16537830447277,0.37116729627529477,60.0,22.01666666666667
s6_fast_target,M9,0.7,tuning,0.0,1.0,0.0,1.0,26.600000000000005,2.0402268647887793,2.5835728978956856,0.3737626052363771,259.44779117518846,0.48595823215757666,60.0,21.8
s6_fast_target,M9,1.0,tuning,0.0,1.0,0.0,1.0,26.133333333333336,1.9361573620343488,2.7123659620730654,0.3799611434915348,253.1090571764527,0.568930899881544,60.0,21.666666666666668
s6_fast_target,M9,1.3,tuning,0.0,1.0,0.0,1.0,25.78333333333333,1.832310911071995,2.8413820804795584,0.3863447127393839,246.2605873481817,0.6490978326205616,60.0,21.55
s6_fast_target,M9,1.5,tuning,0.0,1.0,0.0,1.0,25.566666666666666,1.7630561175060844,2.9273690071044025,0.3902766213340734,241.3955825047918,0.7009058452987006,60.0,21.46666666666667
