scene,method,success_rate,completion_time_mean,completion_time_std,collision_rate,min_obs_distance_mean,min_agent_distance_mean,gmax_mean,radius_var_mean,control_cost_mean,control_smoothness_mean,input_sat_mean,stall_steps_mean,inside_any_rate,inside_final_rate,gmax_success_rate,radius_success_rate,sigma_success_rate,no_collision_rate,dwell_success_rate,radius_error_final_mean,success_geom_final_rate,success_no_collision_rate,gmax_reach_time_mean
s4_narrow_passage,M1,0.0,11.783333333333333,0.0763762615825977,1.0,0.6509220465901746,1.7616661088539346e-13,359.9998162253255,4.5341353314762546e-23,81.59631024216672,0.2809940279086395,0.21107410491257284,871.6666666666666,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.7999999990110407,0.0,0.0,60.0
s4_narrow_passage,M3,0.0,42.31666666666667,4.575569181351471,1.0,0.7307195277126161,0.0006055133687166053,179.9992235097004,7.582305104168703e-05,174.7143929271106,9207.545905194429,0.044268665001387736,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.781142432719392,0.0,0.0,60.0
s4_narrow_passage,M4,0.6666666666666666,18.516666666666666,0.16072751268321456,0.3333333333333333,0.31683276530243126,0.5152796259561335,73.89445134754914,0.1808492519996623,91.76164761282077,1990.6624873845838,0.06170783606254047,0.0,1.0,1.0,1.0,0.0,1.0,0.6666666666666666,1.0,1.836963610039679,0.0,0.6666666666666666,19.05
s4_narrow_passage,M5,0.0,27.983333333333334,0.12583057392117908,1.0,0.7314036939130529,0.3227354248856874,85.90524076041737,0.21988352056540317,93.63353419029772,2680.7862849727644,0.046304005920991764,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.8567304262545654,0.0,0.0,28.01666666666667
s4_narrow_passage,M6,0.0,18.516666666666666,0.16072751268321456,1.0,0.32058817835832465,0.3511440081414177,74.01636923792485,0.025419349462557046,96.59502680633393,2335.047897601382,0.06170783606254047,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.441568331460987,0.0,0.0,19.05
s4_narrow_passage,M7,0.0,28.05,0.14999999999999902,1.0,0.7315074692760447,0.3048296459021282,69.30554806711665,0.02009196701626113,89.97254643977602,2492.423160899127,0.046165232676473315,194.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.4487317104224497,0.0,0.0,28.133333333333336
s5_dense_tracking_easy,M1,0.0,17.400000000000002,0.0,1.0,0.61053779207358,0.0,360.0,3.0814879110195774e-33,141.08434129818144,0.7091838133205602,0.24857502405803536,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.5450623711101814,0.0,0.0,75.0
s5_dense_tracking_easy,M3,0.0,25.266666666666666,0.028867513459481953,1.0,1.1397746785315588,0.000498737754646529,233.86439322656966,0.0001725031059725563,264.8429226775119,8576.486174230367,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,1.0,0.0,1.0,2.772250475102623,0.0,0.0,44.51666666666667
s5_dense_tracking_easy,M4,0.0,17.283333333333335,0.11547005383792475,1.0,-0.3355113763587559,0.4071941070892983,270.3586901341,0.2702022155476813,119.86805539152122,2.473987219646238,0.21607817010881636,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.8604193668087734,0.0,0.0,75.0
s5_dense_tracking_easy,M5,0.0,17.333333333333332,0.02886751345948221,1.0,-0.0649122754556039,0.29864159655700756,271.7394487408858,0.27216248695120726,121.1836231779219,0.49330164694743456,0.21744762750758753,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.8649003653746702,0.0,0.0,75.0
