step,time,agent,x,y,ux,uy
0,0.0,0,-6.088267075925242,0.1919980287804448,0.7614981097226184,-0.012094879693546723
1,0.05,0,-6.050192170439111,0.19139328479576748,0.7614981097226184,-0.012094879693546723
2,0.1,0,-6.0121172649529795,0.19078854081109015,0.7614981097226186,-0.012094879693546723
3,0.15000000000000002,0,-5.974042359466848,0.19018379682641282,0.7614981097226186,-0.012094879693546726
4,0.2,0,-5.935967453980717,0.18957905284173548,0.7614981097226186,-0.012094879693546726
5,0.25,0,-5.897892548494585,0.18897430885705815,0.7614981097226186,-0.012094879693546728
6,0.30000000000000004,0,-5.859817643008454,0.18836956487238082,0.7614981097226184,-0.012094879693546726
7,0.35000000000000003,0,-5.821742737522323,0.1877648208877035,0.7614981097226184,-0.012094879693546728
8,0.4,0,-5.783667832036191,0.18716007690302616,0.7614981097226186,-0.012094879693546728
9,0.45,0,-5.74559292655006,0.18655533291834883,0.7614981097226186,-0.012094879693546732
10,0.5,0,-5.707518021063929,0.1859505889336715,0.7614981097226184,-0.012094879693546728
11,0.55,0,-5.669443115577797,0.18534584494899417,0.7614981097226184,-0.012094879693546732
12,0.6000000000000001,0,-5.631368210091666,0.18474110096431684,0.7614981097226184,-0.012094879693546732
13,0.65,0,-5.593293304605535,0.1841363569796395,0.7614981097226184,-0.012094879693546733
14,0.7000000000000001,0,-5.555218399119403,0.18353161299496218,0.7614981097226186,-0.012094879693546733
15,0.75,0,-5.517143493633272,0.18292686901028485,0.7614981097226186,-0.012094879693546737
16,0.8,0,-5.479068588147141,0.18232212502560752,0.7614981097226186,-0.012094879693546737
17,0.8500000000000001,0,-5.440993682661009,0.1817173810409302,0.7614981097226184,-0.012094879693546737
18,0.9,0,-5.402918777174878,0.18111263705625286,0.7614981097226184,-0.012094879693546737
19,0.9500000000000001,0,-5.3648438716887465,0.18050789307157553,0.7614981097226184,-0.012094879693546738
20,1.0,0,-5.326768966202615,0.1799031490868982,0.7614981097226186,-0.012094879693546742
21,1.05,0,-5.288694060716484,0.17929840510222086,0.7614981097226186,-0.012094879693546742
22,1.1,0,-5.2506191552303525,0.17869366111754353,0.7614981097226184,-0.012094879693546738
23,1.1500000000000001,0,-5.212544249744221,0.1780889171328662,0.7614981097226184,-0.012094879693546742
24,1.2000000000000002,0,-5.17446934425809,0.17748417314818887,0.7614981097226184,-0.012094879693546742
25,1.25,0,-5.1363944387719584,0.17687942916351154,0.7614981097226184,-0.012094879693546744
26,1.3,0,-5.098319533285827,0.1762746851788342,0.7614981097226186,-0.012094879693546745
27,1.35,0,-5.060244627799696,0.17566994119415688,0.7614981097226186,-0.012094879693546747
28,1.4000000000000001,0,-5.022169722313564,0.17506519720947955,0.7614981097226184,-0.012094879693546747
29,1.4500000000000002,0,-4.984094816827433,0.17446045322480222,0.7614981097226184,-0.012094879693546747
30,1.5,0,-4.946019911341302,0.1738557092401249,0.7614981097226184,-0.012094879693546747
31,1.55,0,-4.90794500585517,0.17325096525544756,0.7614981097226184,-0.012094879693546749
32,1.6,0,-4.869870100369039,0.17264622127077023,0.7614981097226186,-0.012094879693546752
33,1.6500000000000001,0,-4.831795194882908,0.1720414772860929,0.7614981097226184,-0.012094879693546749
34,1.7000000000000002,0,-4.793720289396776,0.17143673330141557,0.7614981097226184,-0.012094879693546749
35,1.75,0,-4.755645383910645,0.17083198931673824,0.7614981097226184,-0.012094879693546752
36,1.8,0,-4.717570478424514,0.1702272453320609,0.7614981097226184,-0.012094879693546754
37,1.85,0,-4.679495572938382,0.16962250134738358,0.7614981097226186,-0.012094879693546754
38,1.9000000000000001,0,-4.641420667452251,0.16901775736270624,0.7614981097226186,-0.012094879693546754
