eta_min,sigma_omega,k_t,r0,lambda_curl,success_rate,collision_rate,completion_time_mean,min_obs_distance_mean,min_agent_distance_mean,gmax_mean,radius_var_mean,input_sat_mean,control_smoothness_mean,gmax_reach_time_mean
0.1,5.0,0.9,1.2,0.5,0.0,1.0,26.283333333333335,0.7341910151378229,0.22015135730178645,72.5738633007527,0.013369040973739107,0.034415764640577294,3206.787853854303,27.383333333333336
0.1,8.0,0.9,1.2,0.5,0.0,1.0,26.350000000000005,0.7340823853361872,0.2102574792329243,72.59679429074511,0.013381795580182335,0.035248404107688036,3217.9121269028983,27.433333333333337
0.1,5.0,0.9,1.2,0.3,0.0,1.0,26.75,0.7350397953068079,0.2383828290049559,72.65083908793166,0.013428749306993238,0.02743084466648164,2713.469343623739,27.883333333333336
0.1,8.0,0.9,1.2,0.3,0.0,1.0,26.833333333333332,0.7293831988686401,0.21217532092719346,72.63351745700128,0.013410487721968874,0.027985937644555463,2745.4199556930457,27.900000000000002
0.1,5.0,0.9,1.5,0.5,0.0,1.0,27.333333333333332,0.7344034770100848,0.22460095099693414,72.61761410275524,0.013708172749216851,0.033721898417985015,3165.755891155072,28.083333333333332
0.1,8.0,0.9,1.5,0.5,0.0,1.0,27.416666666666668,0.7345405930982837,0.21841652159959649,72.57341853254235,0.013612726099750921,0.03404570265519474,3172.8147935764687,28.01666666666667
0.1,5.0,0.6,1.2,0.5,0.0,1.0,27.61666666666667,0.7340923771753189,0.20089320570318694,72.63341307338338,0.012704179706567576,0.03478582662595985,3192.6012067742727,28.5
0.1,8.0,0.6,1.2,0.5,0.0,1.0,27.75,0.7338945693850739,0.19738608900774238,72.55973514348791,0.012701025849249486,0.034970857618651124,3214.5574099447476,28.5
0.1,5.0,0.9,1.5,0.3,0.0,1.0,27.900000000000002,0.7349602849534017,0.22214557248868805,72.58882143738879,0.013617812114080441,0.026135627717642704,2626.4798154302603,28.533333333333335
0.1,8.0,0.9,1.5,0.3,0.0,1.0,27.916666666666668,0.7349816744213934,0.21100697542792157,72.66983335586521,0.013802847479994171,0.026320658710333983,2635.821524027429,28.55
0.1,5.0,0.6,1.2,0.3,0.0,1.0,28.283333333333335,0.7348842071807381,0.2005704255568843,72.62500801591987,0.012703791549148366,0.02650568970302526,2653.564764088716,29.166666666666668
0.1,8.0,0.6,1.2,0.3,0.0,1.0,28.400000000000002,0.7349259289434226,0.19494724799845034,72.65124569918652,0.012704145731723347,0.02650568970302526,2640.1707061678385,29.166666666666668
0.1,5.0,0.6,1.5,0.5,0.0,1.0,28.683333333333337,0.7341047400470441,0.21129140923731915,72.58093857375222,0.012850280713324364,0.035525950596724955,3185.598692003383,28.850000000000005
