method,success_rate,collision_rate,completion_time_mean,min_obs_distance_mean,min_agent_distance_mean,gmax_mean,input_sat_mean,control_smoothness_mean
M4,0.0,1.0,19.580000000000002,0.6856137363457993,0.34524360986205427,72.05309918597459,0.03351373855120733,1430.6944996405807
M5,0.0,1.0,25.885,0.7347354469366663,0.3086601855843494,72.11298924561174,0.0337496530668887,1743.9923150448565
M6,0.0,1.0,19.580000000000002,0.6826928225678717,0.2806387922055835,72.620063158713,0.033721898417985015,3222.778067439128
M7,0.0,1.0,25.9,0.7371672826572058,0.22298323539557896,72.61875308003464,0.033458229253399946,3196.5788567144923
