success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_final,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,scene,method,seed,t_pred,beta_lead,r_c
False,60.0,inf,0.5548487882416225,True,272.06031168335016,0.026289449471199513,0.3454066056064391,311.0301787238305,0.3222506286047888,2.874355172555535,2.75900793718668,2.75900793718668,310.7604589471035,0,0.0,False,0.07435517255553536,False,False,60.0,s6_fast_target,M4,0,0.0,0.35,2.8
False,60.0,inf,0.5188798022296531,True,271.85679800902227,0.027032153324836893,0.33069664168748264,311.9333265754462,0.3359148702791263,2.873783994515231,2.761362867754124,2.761362867754124,310.7215058277152,0,0.0,False,0.07378399451523121,False,False,60.0,s6_fast_target,M4,1,0.0,0.35,2.8
False,60.0,inf,0.5072372345679398,True,271.72776749785635,0.02510657757360241,0.3269497640854843,314.19368892206603,0.3408316630859716,2.8737377224699494,2.762487311591187,2.762487311591187,310.64815863714955,0,0.0,False,0.07373772246994958,False,False,60.0,s6_fast_target,M4,2,0.0,0.35,2.8
False,60.0,inf,0.5548487882416225,True,272.06031168335016,0.026289449471199513,0.3454066056064391,311.0301787238305,0.3222506286047888,2.874355172555535,2.75900793718668,2.75900793718668,310.7604589471035,0,0.0,False,0.07435517255553536,False,False,60.0,s6_fast_target,M5,0,0.0,0.35,2.8
False,60.0,inf,0.5188798022296531,True,271.85679800902227,0.027032153324836893,0.33069664168748264,311.9333265754462,0.3359148702791263,2.873783994515231,2.761362867754124,2.761362867754124,310.7215058277152,0,0.0,False,0.07378399451523121,False,False,60.0,s6_fast_target,M5,1,0.0,0.35,2.8
False,60.0,inf,0.5072372345679398,True,271.72776749785635,0.02510657757360241,0.3269497640854843,314.19368892206603,0.3408316630859716,2.8737377224699494,2.762487311591187,2.762487311591187,310.64815863714955,0,0.0,False,0.07373772246994958,False,False,60.0,s6_fast_target,M5,2,0.0,0.35,2.8
False,60.0,inf,0.5542475433841666,True,272.0322134658525,0.024856462919109677,0.3452678323619206,311.2425462492539,0.3142187954666427,2.8737309763322547,2.7596607240232767,2.7596607240232767,310.746518421691,0,0.0,False,0.0737309763322549,False,False,60.0,s6_fast_target,M6,0,0.0,0.35,2.8
False,60.0,inf,0.5180478032226242,True,271.83613175584054,0.02585083291178955,0.33069664168748264,311.9850638055474,0.32398367754420915,2.8736517959908077,2.76164273218248,2.76164273218248,310.70846177071087,0,0.0,False,0.07365179599080784,False,False,60.0,s6_fast_target,M6,1,0.0,0.35,2.8
False,60.0,inf,0.5059301722763588,True,271.70908391814334,0.024065058335751153,0.32708853733000276,314.14476061311484,0.32887818635804317,2.873644748326211,2.762776427379611,2.762776427379611,310.6364156083916,0,0.0,False,0.07364474832621104,False,False,60.0,s6_fast_target,M6,2,0.0,0.35,2.8
False,60.0,inf,0.5542475433841666,True,272.0322134658525,0.024856462919109677,0.3452678323619206,311.2425462492539,0.3142187954666427,2.8737309763322547,2.7596607240232767,2.7596607240232767,310.746518421691,0,0.0,False,0.0737309763322549,False,False,60.0,s6_fast_target,M7,0,0.0,0.35,2.8
