success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_final,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,eta_min,sigma_omega,k_t,r0,lambda_curl,scene,method,seed
False,19.700000000000003,0.7042116483808816,0.3597335572726189,True,86.53316638275068,1473.5736883232153,0.03330557868442964,71.9886735539525,0.04652648360833223,0.48239302626807695,3.5406466985433266e-05,3.5406466985433266e-05,121.21246373499136,0,0.0,True,2.3176069737319227,False,False,22.1,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M4,0
False,19.8,0.713748257309444,0.3575469037689181,True,86.61163427402795,1477.848355433321,0.03358312517346656,72.06459273482623,0.04653268604473864,0.4823866240215539,2.9759483475119376e-05,2.9759483475119376e-05,121.17225212111126,0,0.0,True,2.317613375978446,False,False,22.200000000000003,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M4,1
False,19.55,0.5665304194584653,0.3340016680471651,True,86.33977556139946,1493.3677246308605,0.035248404107688036,71.9908164677932,0.04651941265934819,0.48239593094145256,7.095098248515503e-05,7.095098248515503e-05,120.50265819548169,0,0.0,True,2.317604069058547,False,False,21.5,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M4,2
False,19.75,0.6449928035517736,0.33618761134641467,True,86.82508618698984,1465.4373005847492,0.03691368304190952,71.9987007888388,0.046492989471190245,0.4824278273823412,3.0623867994881e-05,3.0623867994881e-05,121.36811389974123,0,0.0,True,2.3175721726176586,False,False,21.75,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M4,3
False,19.900000000000002,0.6975486479676782,0.3403435271907317,True,86.2093815835645,1436.9907477065892,0.033166805439911184,71.98541411302232,0.04652502271908638,0.4823943844864425,3.6595391949268497e-05,3.6595391949268497e-05,120.60435962173466,0,0.0,True,2.3176056155135574,False,False,21.8,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M4,4
False,19.25,0.7165521071168459,0.33769847959101584,True,86.42996584460604,1448.5930049557464,0.03275048570635582,72.12473587187587,0.040640483281112694,0.48872727830927043,0.006368342093781248,0.006368342093781248,120.61014694264281,0,0.0,True,2.311272721690729,False,False,21.25,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M4,5
False,19.6,0.691671380406045,0.3373691215014049,True,85.41302963270728,1363.5000292294412,0.03358312517346656,72.1391118206759,0.040646715009309116,0.48872074806836685,0.006409077364220714,0.006409077364220714,119.67061323782815,0,0.0,True,2.3112792519316327,False,False,21.6,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M4,6
False,19.8,0.7054630422799042,0.35741207770819083,True,85.31282140052036,1412.4850381098713,0.0324729392173189,72.04142740110105,0.04649708124788337,0.48242358015541864,3.132901065872741e-05,3.132901065872741e-05,119.48652397627149,0,0.0,True,2.317576419844581,False,False,21.75,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M4,7
False,19.5,0.716986200773045,0.3374900715008011,True,86.86817787578431,1417.3595359088363,0.03330557868442964,72.19783662137701,0.0406318873127059,0.48873747657260114,0.006441712413683712,0.006441712413683712,120.99450795335662,0,0.0,True,2.3112625234273985,False,False,21.400000000000002,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M4,8
False,18.95,0.6984328562139102,0.3546530806932816,True,85.68403163063611,1317.7895715231768,0.030807660283097418,71.99968248628302,0.040624462727883365,0.4887454620396407,0.006300286322709974,0.006300286322709974,119.36696942406604,0,0.0,True,2.3112545379603593,False,False,20.8,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M4,9
